Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2021-12-12,Binance Coin,BNB,570.82,95214089646.9,166801148
2022-01-02,Binance Coin,BNB,531.4,88637570485.46,166801148
2021-12-26,Binance Coin,BNB,546.99,91239389442.48,166801148
2021-12-19,Binance Coin,BNB,529.97,88399940789.77,166801148
2021-12-05,Binance Coin,BNB,557.78,93038857104.01,166801148
2021-11-28,Binance Coin,BNB,611.37,101976683739.37,166801148
2022-01-09,Binance Coin,BNB,438.8,73192856244.13,166801148
2021-11-21,Binance Coin,BNB,585.29,97627756571.23,166801148
2021-11-14,Binance Coin,BNB,650.92,108573881513.51,166801148
2021-11-07,Binance Coin,BNB,650.45,108496484780.49,166801148
2021-10-17,Binance Coin,BNB,470.63,78500881098.01,166801148
2021-10-31,Binance Coin,BNB,524.36,87464591883.46,166801148
2021-10-24,Binance Coin,BNB,476.63,79502953196.65,166801148
2021-10-10,Binance Coin,BNB,405.07,68107150217.45,168137036
2021-09-26,Binance Coin,BNB,344.18,57869701517.48,168137036
2021-09-19,Binance Coin,BNB,408.47,68679211877.59,168137036
2021-09-12,Binance Coin,BNB,416.68,70059881720.23,168137036
2021-09-05,Binance Coin,BNB,504.62,84845287773.55,168137036
2021-08-29,Binance Coin,BNB,480.28,80753365779.87,168137036
2021-08-15,Binance Coin,BNB,414.6,69708780300.69,168137036
2021-10-03,Binance Coin,BNB,430.51,72384475441.52,168137036
2021-08-08,Binance Coin,BNB,342.06,57513752130.17,168137036
2021-07-25,Binance Coin,BNB,302.44,50850719806.21,168137036
2021-07-18,Binance Coin,BNB,302.48,51250407821.83,169433764
2021-07-04,Binance Coin,BNB,307.73,47216226923.6,153432897
2021-08-01,Binance Coin,BNB,333.48,56071010565.43,168137036
2021-06-27,Binance Coin,BNB,290.57,44582539627.56,153432897
2021-06-20,Binance Coin,BNB,340.07,52177493482.09,153432897
2021-05-23,Binance Coin,BNB,262.95,40344516407.09,153432897
2021-06-13,Binance Coin,BNB,366.65,56256011121.22,153432897
2021-06-06,Binance Coin,BNB,393.82,60424976235.95,153432897
2021-05-30,Binance Coin,BNB,325.78,49985988837.23,153432897
2021-07-11,Binance Coin,BNB,322.03,49410249319.0,153432897
2021-05-16,Binance Coin,BNB,562.83,86356615319.47,153432897
2021-05-09,Binance Coin,BNB,662.23,101607648677.76,153432897
2021-05-02,Binance Coin,BNB,622.1,95450760763.81,153432897
2021-04-25,Binance Coin,BNB,505.08,77495435715.04,153432897
2021-04-18,Binance Coin,BNB,481.03,73806479141.25,153432897
2021-04-04,Binance Coin,BNB,351.62,54337497318.26,154532785
2021-04-11,Binance Coin,BNB,525.39,81189295175.02,154532785
2021-03-28,Binance Coin,BNB,269.19,41598879255.91,154532785
2021-02-28,Binance Coin,BNB,209.57,32386116331.48,154532785
2021-03-21,Binance Coin,BNB,264.89,40933596276.01,154532785
2021-03-14,Binance Coin,BNB,264.64,40895052331.8,154532785
2021-02-07,Binance Coin,BNB,68.59,10599484196.39,154532785
2021-03-07,Binance Coin,BNB,240.18,37115563234.61,154532785
2021-02-21,Binance Coin,BNB,293.92,45420831168.45,154532785
2021-02-14,Binance Coin,BNB,136.43,21082369583.06,154532785
2021-08-22,Binance Coin,BNB,449.05,75502522647.04,168137036
