Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2022-05-15,Binance USD,BUSD,1.0,17743577941.18,17735417590
2022-05-08,Binance USD,BUSD,1.0,17328366096.42,17323320501
2022-05-01,Binance USD,BUSD,1.0,17709746262.92,17689269894
2022-04-03,Binance USD,BUSD,0.9995,17781604302.98,17790453699
2022-04-24,Binance USD,BUSD,1.0,17565627263.13,17558654054
2022-04-17,Binance USD,BUSD,0.9988,17431792074.01,17452873283
2022-03-27,Binance USD,BUSD,1.0,17582026844.83,17566012234
2022-03-20,Binance USD,BUSD,0.9994,17794988349.19,17806035748
2022-04-10,Binance USD,BUSD,1.0,17944888123.56,17931601772
2022-03-13,Binance USD,BUSD,1.0,18014031267.03,18008290774
2022-03-06,Binance USD,BUSD,1.0,17964396110.36,17952166488
2022-02-27,Binance USD,BUSD,0.9992,18124158489.77,18138248436
2022-02-20,Binance USD,BUSD,0.9989,18089648881.54,18110422295
2022-02-13,Binance USD,BUSD,0.9987,17569100319.11,17592568656
2022-01-30,Binance USD,BUSD,1.0,14999289261.42,14984573516
2022-01-23,Binance USD,BUSD,1.0,14029380716.55,14014646584
2022-02-06,Binance USD,BUSD,0.9999,16520648299.56,16522327497
2021-12-12,Binance USD,BUSD,1.0,13801008384.01,13800014686
2022-01-16,Binance USD,BUSD,0.9995,14440486040.68,14447199773
2022-01-02,Binance USD,BUSD,0.9995,14625354832.86,14633196848
2021-12-26,Binance USD,BUSD,0.9999,14632314648.34,14633196848
2021-12-19,Binance USD,BUSD,0.9999,14376828695.35,14377988824
2021-12-05,Binance USD,BUSD,0.9993,13588403503.31,13598465810
2021-11-28,Binance USD,BUSD,1.0,12980404027.32,12970571288
2022-01-09,Binance USD,BUSD,1.0,14035630997.49,14024581523
2021-11-21,Binance USD,BUSD,1.0,12973295593.79,12970571288
2021-11-14,Binance USD,BUSD,1.0,12694574047.66,12694721882
2021-11-07,Binance USD,BUSD,1.0,13616516562.77,13608731064
2021-10-17,Binance USD,BUSD,1.0,13062633057.83,13057877155
2021-10-31,Binance USD,BUSD,0.9997,13615664431.83,13619701327
2021-10-24,Binance USD,BUSD,1.0,12868213595.21,12864768287
2021-10-10,Binance USD,BUSD,1.0,13192054653.6,13182583775
2021-09-26,Binance USD,BUSD,1.0,13694222195.73,13689325309
2021-09-19,Binance USD,BUSD,1.0,12835135501.96,12833444459
2021-09-12,Binance USD,BUSD,0.9996,12462556427.2,12468092358
2021-09-05,Binance USD,BUSD,0.9998,12604234548.17,12606863534
2021-08-29,Binance USD,BUSD,1.0,12181357793.43,12175987734
2021-08-15,Binance USD,BUSD,0.9998,12045531817.64,12047405939
2021-10-03,Binance USD,BUSD,0.9997,13103985082.07,13107973510
2021-08-08,Binance USD,BUSD,0.9995,12246229869.15,12252758178
2021-07-25,Binance USD,BUSD,0.9996,11784474861.3,11789037210
2021-07-18,Binance USD,BUSD,1.0,11202748538.94,11197269019
2021-07-04,Binance USD,BUSD,0.9994,10676277026.37,10682980595
2021-08-01,Binance USD,BUSD,1.0,12227406453.63,12225898274
2021-06-27,Binance USD,BUSD,1.0,9951227530.45,9946112282
2021-06-20,Binance USD,BUSD,1.0,9461325790.75,9451605492
2021-05-23,Binance USD,BUSD,1.0,8616499779.1,8615478723
2021-06-13,Binance USD,BUSD,0.9995,9573005226.78,9577984008
2021-06-06,Binance USD,BUSD,1.0,9653439792.24,9647663214
2021-07-11,Binance USD,BUSD,1.0,10698982832.83,10696171448
2021-05-30,Binance USD,BUSD,0.9995,8605048903.57,8609694339
2021-08-22,Binance USD,BUSD,1.0,12287897800.57,12285640552
