Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2021-11-14,Bitcoin Cash,BCH,678.74,12828749038.11,18900750
2021-10-17,Bitcoin Cash,BCH,611.69,11546388666.1,18876163
2021-10-24,Bitcoin Cash,BCH,617.86,11666031637.01,18881450
2021-10-10,Bitcoin Cash,BCH,586.64,11069352861.43,18868988
2021-09-26,Bitcoin Cash,BCH,503.67,9497413984.22,18856519
2021-09-05,Bitcoin Cash,BCH,764.2,14395929745.59,18837969
2021-09-19,Bitcoin Cash,BCH,609.28,11485211571.69,18850356
2021-09-12,Bitcoin Cash,BCH,647.33,12198494777.03,18844338
2021-08-29,Bitcoin Cash,BCH,660.17,12432021418.81,18831475
2021-08-15,Bitcoin Cash,BCH,703.19,13233118496.35,18818794
2021-10-03,Bitcoin Cash,BCH,570.5,10761235991.61,18862838
2021-08-08,Bitcoin Cash,BCH,556.1,10461252669.52,18811944
2021-07-18,Bitcoin Cash,BCH,439.65,8262378761.42,18793056
2021-07-04,Bitcoin Cash,BCH,526.43,9886724704.55,18780713
2021-07-25,Bitcoin Cash,BCH,456.02,8572907551.26,18799219
2021-08-01,Bitcoin Cash,BCH,527.84,9926443814.55,18805725
2021-06-27,Bitcoin Cash,BCH,476.89,8953538053.98,18774956
2021-06-20,Bitcoin Cash,BCH,557.53,10464300951.53,18769050
2021-05-23,Bitcoin Cash,BCH,556.14,10424482331.72,18744356
2021-06-13,Bitcoin Cash,BCH,614.35,11527111106.22,18762950
2021-06-06,Bitcoin Cash,BCH,657.5,12332675566.51,18757044
2021-05-30,Bitcoin Cash,BCH,663.51,12441347900.39,18750750
2021-07-11,Bitcoin Cash,BCH,498.21,9359953643.61,18787025
2021-05-16,Bitcoin Cash,BCH,1168.73,21901141021.21,18739281
2021-05-09,Bitcoin Cash,BCH,1428.53,26759773845.5,18732400
2021-05-02,Bitcoin Cash,BCH,974.66,18250673622.11,18725256
2021-04-25,Bitcoin Cash,BCH,757.71,14183512109.47,18718950
2021-04-18,Bitcoin Cash,BCH,965.68,18070348498.02,18712513
2021-04-04,Bitcoin Cash,BCH,566.51,10593146374.15,18698856
2021-04-11,Bitcoin Cash,BCH,696.61,13030518062.53,18705656
2021-03-28,Bitcoin Cash,BCH,501.0,9364900285.31,18692281
2021-02-28,Bitcoin Cash,BCH,459.91,8585347124.75,18667269
2021-03-21,Bitcoin Cash,BCH,526.56,9839886405.58,18687075
2021-03-14,Bitcoin Cash,BCH,557.76,10418853978.44,18679913
2021-02-07,Bitcoin Cash,BCH,445.17,8301841440.08,18648713
2021-03-07,Bitcoin Cash,BCH,516.17,9638804979.85,18673575
2021-02-21,Bitcoin Cash,BCH,707.59,13206381300.99,18663825
2021-02-14,Bitcoin Cash,BCH,724.02,13506911307.47,18655550
2021-08-22,Bitcoin Cash,BCH,672.62,12661912984.57,18824813
2021-01-31,Bitcoin Cash,BCH,399.77,7452675943.77,18642413
2021-01-24,Bitcoin Cash,BCH,440.1,8201974858.11,18636475
2021-01-17,Bitcoin Cash,BCH,478.77,8919517290.65,18630075
2021-01-10,Bitcoin Cash,BCH,603.6,11227411339.17,18600863
2021-01-03,Bitcoin Cash,BCH,421.79,7845655333.38,18600863
2020-12-27,Bitcoin Cash,BCH,338.18,6290438770.71,18600863
2020-12-20,Bitcoin Cash,BCH,348.16,6476086511.26,18600863
2020-12-13,Bitcoin Cash,BCH,275.35,5121143076.24,18598769
2020-12-06,Bitcoin Cash,BCH,286.36,5324074006.72,18592494
2020-11-29,Bitcoin Cash,BCH,283.93,5277249777.39,18586350
2020-11-22,Bitcoin Cash,BCH,286.99,5332294479.07,18579850
2020-11-15,Bitcoin Cash,BCH,241.37,4482952486.66,18573100
2020-11-08,Bitcoin Cash,BCH,270.7,5026016750.95,18566894
2020-11-01,Bitcoin Cash,BCH,267.56,4966023215.63,18560700
2020-10-25,Bitcoin Cash,BCH,271.08,5030282185.6,18556488
2020-10-18,Bitcoin Cash,BCH,249.81,4635633151.81,18556475
2020-10-11,Bitcoin Cash,BCH,239.67,4447414005.29,18556419
2020-10-04,Bitcoin Cash,BCH,221.39,4108245727.71,18556400
2020-09-27,Bitcoin Cash,BCH,228.81,4245976157.43,18556394
2020-09-20,Bitcoin Cash,BCH,226.42,4193940565.37,18523188
2020-09-13,Bitcoin Cash,BCH,221.83,4107511805.74,18516819
2020-09-06,Bitcoin Cash,BCH,228.45,4228811551.55,18510619
2020-08-30,Bitcoin Cash,BCH,279.07,5163998625.2,18504344
2020-08-23,Bitcoin Cash,BCH,284.96,5271151843.69,18498056
2020-08-16,Bitcoin Cash,BCH,307.87,5692960148.47,18491725
2020-08-02,Bitcoin Cash,BCH,283.78,5244023472.11,18479056
2020-07-26,Bitcoin Cash,BCH,246.82,4559569200.5,18472925
2020-07-12,Bitcoin Cash,BCH,236.77,4370801099.75,18460188
2020-07-05,Bitcoin Cash,BCH,221.84,4093899884.33,18454019
2020-08-09,Bitcoin Cash,BCH,300.4,5553014744.13,18485350
2020-07-19,Bitcoin Cash,BCH,227.1,4193704830.33,18466625
2020-06-28,Bitcoin Cash,BCH,222.71,4108529537.47,18447706
2020-06-21,Bitcoin Cash,BCH,231.29,4265282304.63,18441538
2020-06-14,Bitcoin Cash,BCH,238.76,4401606562.41,18435125
2020-06-07,Bitcoin Cash,BCH,254.34,4687107479.81,18428863
2020-05-31,Bitcoin Cash,BCH,239.88,4419143462.33,18422538
2020-05-24,Bitcoin Cash,BCH,224.83,4140554843.17,18416200
2020-05-17,Bitcoin Cash,BCH,241.19,4440347514.97,18410006
2020-05-10,Bitcoin Cash,BCH,232.8,4284298805.01,18403513
2020-04-26,Bitcoin Cash,BCH,246.27,4529068651.93,18390994
2020-04-19,Bitcoin Cash,BCH,233.59,4294510926.2,18384919
2020-04-12,Bitcoin Cash,BCH,235.79,4333473010.43,18378375
2020-04-05,Bitcoin Cash,BCH,232.0,4261855110.55,18370225
2020-03-29,Bitcoin Cash,BCH,206.46,3790187136.12,18357663
2020-03-22,Bitcoin Cash,BCH,203.67,3736418940.7,18345250
2020-03-15,Bitcoin Cash,BCH,178.31,3268904772.35,18332575
2020-03-08,Bitcoin Cash,BCH,276.2,5060001279.95,18320075
2020-05-03,Bitcoin Cash,BCH,252.54,4646164981.03,18397413
2020-03-01,Bitcoin Cash,BCH,313.3,5735791486.26,18307463
2020-02-23,Bitcoin Cash,BCH,401.64,7347916975.02,18294988
2020-01-19,Bitcoin Cash,BCH,338.31,6167961887.44,18231950
2020-02-16,Bitcoin Cash,BCH,415.94,7604392975.72,18282400
2020-02-09,Bitcoin Cash,BCH,449.81,8218049195.2,18269900
2020-02-02,Bitcoin Cash,BCH,378.27,6906342984.26,18257563
2020-01-26,Bitcoin Cash,BCH,347.0,6330863260.05,18244675
2020-01-12,Bitcoin Cash,BCH,268.24,4887148233.15,18219513
2019-12-01,Bitcoin Cash,BCH,216.17,3922144119.0,18143825
2020-01-05,Bitcoin Cash,BCH,224.1,4080035773.48,18206600
2019-12-29,Bitcoin Cash,BCH,212.96,3874556156.19,18194175
2019-11-24,Bitcoin Cash,BCH,205.15,3719555397.51,18131013
2019-12-22,Bitcoin Cash,BCH,196.66,3575561678.56,18181275
2019-12-15,Bitcoin Cash,BCH,207.36,3767572455.39,18168813
2019-12-08,Bitcoin Cash,BCH,214.36,3891948419.08,18156438
2019-11-17,Bitcoin Cash,BCH,268.74,4869324517.06,18118875
2019-10-13,Bitcoin Cash,BCH,224.12,4046676733.88,18055588
2019-09-29,Bitcoin Cash,BCH,220.43,3974487247.26,18030588
2019-11-10,Bitcoin Cash,BCH,293.48,5313685658.36,18106063
2019-11-03,Bitcoin Cash,BCH,292.71,5296136970.28,18093425
2019-10-27,Bitcoin Cash,BCH,261.25,4723673729.2,18080938
2019-10-20,Bitcoin Cash,BCH,224.93,4063978003.77,18068088
2019-10-06,Bitcoin Cash,BCH,223.41,4031015784.73,18042975
2019-09-22,Bitcoin Cash,BCH,308.3,5554995552.26,18018038
2019-09-15,Bitcoin Cash,BCH,304.23,5477821378.49,18005363
2019-09-01,Bitcoin Cash,BCH,282.33,5076312771.38,17980125
2019-08-25,Bitcoin Cash,BCH,305.6,5490872606.32,17967400
2019-08-18,Bitcoin Cash,BCH,316.51,5682902162.51,17954913
2019-08-11,Bitcoin Cash,BCH,336.2,6032155087.54,17942350
2019-08-04,Bitcoin Cash,BCH,333.67,5982644434.3,17929638
2019-07-28,Bitcoin Cash,BCH,310.46,5562469265.82,17917013
2019-07-21,Bitcoin Cash,BCH,320.86,5744869635.01,17904338
2019-09-08,Bitcoin Cash,BCH,307.01,5523893244.04,17992563
2019-07-14,Bitcoin Cash,BCH,282.84,5060555564.49,17891713
2019-07-07,Bitcoin Cash,BCH,411.81,7362894509.27,17879363
2019-06-30,Bitcoin Cash,BCH,399.47,7137232211.41,17866738
2019-06-23,Bitcoin Cash,BCH,475.02,8481134641.45,17854375
2019-06-09,Bitcoin Cash,BCH,381.17,6795928981.94,17829300
2019-06-02,Bitcoin Cash,BCH,443.77,7906527803.35,17816663
2019-05-26,Bitcoin Cash,BCH,432.84,7706274016.54,17803950
2019-05-19,Bitcoin Cash,BCH,421.49,7498997883.94,17791500
2019-05-12,Bitcoin Cash,BCH,354.03,6294245389.8,17778850
2019-05-05,Bitcoin Cash,BCH,293.95,5222388151.39,17766400
2019-04-28,Bitcoin Cash,BCH,255.47,4535543219.69,17753713
2019-06-16,Bitcoin Cash,BCH,428.32,7642032028.34,17841838
2019-04-21,Bitcoin Cash,BCH,290.48,5153508007.37,17741338
2019-04-14,Bitcoin Cash,BCH,288.65,5117349386.62,17728738
2019-04-07,Bitcoin Cash,BCH,319.6,5662007844.39,17716113
2019-03-31,Bitcoin Cash,BCH,168.94,2990730945.18,17703175
2019-03-24,Bitcoin Cash,BCH,165.94,2935530185.43,17690713
2019-03-17,Bitcoin Cash,BCH,156.08,2759201462.94,17678238
2019-03-10,Bitcoin Cash,BCH,132.84,2346643091.69,17665475
2019-02-17,Bitcoin Cash,BCH,124.69,2197907884.57,17627538
2019-03-03,Bitcoin Cash,BCH,131.56,2322338738.88,17652813
2019-02-10,Bitcoin Cash,BCH,127.59,2247451284.57,17615088
2019-02-24,Bitcoin Cash,BCH,130.27,2297963404.87,17640325
2019-02-03,Bitcoin Cash,BCH,118.83,2091663603.1,17602425
2019-01-27,Bitcoin Cash,BCH,122.9,2161816591.47,17589888
2019-01-20,Bitcoin Cash,BCH,123.89,2177598900.14,17577375
2019-01-13,Bitcoin Cash,BCH,126.35,2219291824.6,17564663
2019-01-06,Bitcoin Cash,BCH,166.84,2928444441.06,17552288
2018-12-30,Bitcoin Cash,BCH,163.62,2869903437.91,17539825
2018-12-16,Bitcoin Cash,BCH,81.64,1429835839.93,17514125
2018-12-09,Bitcoin Cash,BCH,109.62,1918499081.37,17501688
2018-12-02,Bitcoin Cash,BCH,172.11,3010194660.91,17489600
2018-11-25,Bitcoin Cash,BCH,184.58,3225994892.63,17477150
2018-11-18,Bitcoin Cash,BCH,386.25,6746081388.23,17465475
2018-11-11,Bitcoin Cash,BCH,533.34,9308507867.76,17453200
2018-11-04,Bitcoin Cash,BCH,560.18,9769868992.53,17440500
2018-12-23,Bitcoin Cash,BCH,197.66,3464468332.26,17527163
2018-10-28,Bitcoin Cash,BCH,441.08,7687031523.16,17427600
2018-10-21,Bitcoin Cash,BCH,447.85,7799357920.49,17415075
2018-10-14,Bitcoin Cash,BCH,439.23,7643830412.19,17402650
2018-10-07,Bitcoin Cash,BCH,517.47,8998850691.53,17390150
2018-09-30,Bitcoin Cash,BCH,529.93,9208791087.34,17377525
2018-09-23,Bitcoin Cash,BCH,488.65,8485331558.84,17364938
2018-09-16,Bitcoin Cash,BCH,449.16,7793979471.34,17352350
2018-09-09,Bitcoin Cash,BCH,481.18,8343616254.94,17339738
2018-09-02,Bitcoin Cash,BCH,645.88,11191425039.78,17327413
2018-08-26,Bitcoin Cash,BCH,522.88,9053490778.59,17314525
2018-07-29,Bitcoin Cash,BCH,828.98,14311866563.99,17264450
2018-07-22,Bitcoin Cash,BCH,788.67,13605908368.36,17251800
2018-07-15,Bitcoin Cash,BCH,722.97,12463683144.64,17239463
2018-07-08,Bitcoin Cash,BCH,751.35,12943531335.46,17226988
2018-08-19,Bitcoin Cash,BCH,569.93,9860904947.83,17302075
2018-08-05,Bitcoin Cash,BCH,709.22,12253191128.72,17277025
2018-06-24,Bitcoin Cash,BCH,749.37,12890452772.55,17201825
2018-06-17,Bitcoin Cash,BCH,852.1,14646868570.1,17189113
2018-06-10,Bitcoin Cash,BCH,939.55,16138142000.13,17176525
2018-06-03,Bitcoin Cash,BCH,1170.4,20088725030.36,17164013
2018-05-27,Bitcoin Cash,BCH,996.92,17098548974.37,17151313
2018-08-12,Bitcoin Cash,BCH,570.96,9871595610.23,17289488
2018-05-20,Bitcoin Cash,BCH,1291.77,22139404425.52,17138763
2018-05-13,Bitcoin Cash,BCH,1493.13,25571632031.25,17126250
2018-05-06,Bitcoin Cash,BCH,1765.69,30217561067.86,17113700
2018-04-29,Bitcoin Cash,BCH,1440.3,24630734736.9,17101088
2018-04-22,Bitcoin Cash,BCH,1201.22,20527052900.78,17088475
2018-04-15,Bitcoin Cash,BCH,780.83,13332957594.83,17075463
2018-04-08,Bitcoin Cash,BCH,655.26,11180539730.17,17062850
2018-04-01,Bitcoin Cash,BCH,643.03,10963857058.65,17050388
2018-07-01,Bitcoin Cash,BCH,739.42,12728748267.05,17214388
2018-03-25,Bitcoin Cash,BCH,966.88,16473443673.1,17037800
2018-03-18,Bitcoin Cash,BCH,938.12,15971703987.1,17025313
2018-03-11,Bitcoin Cash,BCH,1145.17,19482405554.79,17012688
2018-03-04,Bitcoin Cash,BCH,1289.08,21914233031.3,16999938
2018-02-25,Bitcoin Cash,BCH,1178.1,20012915872.01,16987413
2018-02-18,Bitcoin Cash,BCH,1487.46,25249628748.66,16974988
2018-02-04,Bitcoin Cash,BCH,1165.38,19752882682.03,16949675
2018-01-28,Bitcoin Cash,BCH,1746.25,29576617427.6,16937188
2018-01-21,Bitcoin Cash,BCH,1776.64,30068660780.81,16924413
2018-01-14,Bitcoin Cash,BCH,2553.32,43181925878.42,16912100
2018-01-07,Bitcoin Cash,BCH,2786.88,47096266034.81,16899275
2017-12-31,Bitcoin Cash,BCH,2533.01,42774236530.93,16886713
2017-12-24,Bitcoin Cash,BCH,2903.12,48988237688.25,16874325
2017-12-17,Bitcoin Cash,BCH,1862.88,31409971010.31,16861013
2018-02-11,Bitcoin Cash,BCH,1217.64,20654171634.51,16962438
2017-12-10,Bitcoin Cash,BCH,1323.07,22291644759.81,16848425
2017-12-03,Bitcoin Cash,BCH,1559.93,26263314821.01,16836250
2017-11-26,Bitcoin Cash,BCH,1735.66,29200980119.29,16824150
2017-11-19,Bitcoin Cash,BCH,1172.05,19703715143.46,16811363
2017-11-12,Bitcoin Cash,BCH,1388.86,23332947816.82,16800075
2017-11-05,Bitcoin Cash,BCH,630.7,10573190957.24,16764175
2017-10-29,Bitcoin Cash,BCH,451.92,7569660906.76,16749838
2017-10-22,Bitcoin Cash,BCH,331.66,5541349513.58,16707938
2017-09-17,Bitcoin Cash,BCH,419.86,6964753012.18,16588113
2017-09-10,Bitcoin Cash,BCH,537.07,8900563272.64,16572538
2017-10-15,Bitcoin Cash,BCH,314.95,5260114446.08,16701613
2017-10-08,Bitcoin Cash,BCH,342.21,5707261396.96,16677550
2017-10-01,Bitcoin Cash,BCH,415.15,6909645336.97,16643663
2017-09-24,Bitcoin Cash,BCH,421.03,6994246278.62,16612238
2017-09-03,Bitcoin Cash,BCH,607.43,10058458982.68,16558963
2017-08-27,Bitcoin Cash,BCH,620.9,10274652063.01,16548100
2017-08-20,Bitcoin Cash,BCH,712.87,11764310194.35,16502675
2017-08-13,Bitcoin Cash,BCH,298.05,4914960174.4,16490225
2017-08-06,Bitcoin Cash,BCH,220.66,3637260519.3,16483825
