Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2021-02-07,Bitcoin SV,BSV,183.06,3413439218.9,18646552
2021-02-14,Bitcoin SV,BSV,262.4,4894524187.59,18652983
2021-01-31,Bitcoin SV,BSV,173.86,3240799554.89,18640233
2021-01-17,Bitcoin SV,BSV,199.1,3708781663.35,18627845
2021-01-10,Bitcoin SV,BSV,253.71,4724425629.07,18621727
2021-01-03,Bitcoin SV,BSV,171.39,3190473983.67,18615214
2020-12-27,Bitcoin SV,BSV,167.3,3113350011.74,18609102
2020-12-20,Bitcoin SV,BSV,182.79,3400418236.31,18602739
2020-12-13,Bitcoin SV,BSV,168.6,3135308111.7,18596645
2021-01-24,Bitcoin SV,BSV,174.95,3260068492.22,18634145
2020-12-06,Bitcoin SV,BSV,178.55,3319363315.52,18590427
2020-11-29,Bitcoin SV,BSV,168.2,3125816707.24,18584164
2020-11-22,Bitcoin SV,BSV,177.87,3304390067.03,18577864
2020-11-15,Bitcoin SV,BSV,154.43,2868014231.91,18571502
2020-11-08,Bitcoin SV,BSV,166.88,3098111984.43,18565239
2020-11-01,Bitcoin SV,BSV,164.64,3055524326.97,18559177
2020-10-25,Bitcoin SV,BSV,180.93,3357213842.29,18554920
2020-10-18,Bitcoin SV,BSV,160.37,2975705375.31,18554920
2020-10-11,Bitcoin SV,BSV,172.03,3191988665.4,18554758
2020-10-04,Bitcoin SV,BSV,162.8,3020789065.71,18554758
2020-09-27,Bitcoin SV,BSV,170.55,3164484229.09,18554758
2020-09-20,Bitcoin SV,BSV,154.47,2861106004.1,18521633
2020-09-13,Bitcoin SV,BSV,162.76,3013571235.47,18515290
2020-09-06,Bitcoin SV,BSV,163.5,3026277242.17,18509090
2020-08-30,Bitcoin SV,BSV,196.5,3635826063.29,18502802
2020-08-23,Bitcoin SV,BSV,194.86,3604258775.9,18496552
2020-08-16,Bitcoin SV,BSV,222.83,4120229904.67,18490321
2020-08-02,Bitcoin SV,BSV,217.82,4024751708.4,18477746
2020-07-26,Bitcoin SV,BSV,190.04,3510240761.52,18471483
2020-07-12,Bitcoin SV,BSV,185.91,3431722770.84,18458865
2020-07-05,Bitcoin SV,BSV,153.75,2837147462.43,18452621
2020-08-09,Bitcoin SV,BSV,224.05,4141285772.57,18484165
2020-07-19,Bitcoin SV,BSV,172.0,3175901836.88,18465077
2020-06-28,Bitcoin SV,BSV,159.37,2939839115.57,18446271
2020-06-21,Bitcoin SV,BSV,172.49,3180782081.8,18440052
2020-06-14,Bitcoin SV,BSV,180.02,3318372440.9,18433708
2020-06-07,Bitcoin SV,BSV,194.07,3576181987.23,18427383
2020-05-31,Bitcoin SV,BSV,193.14,3557790466.16,18421146
2020-05-24,Bitcoin SV,BSV,184.94,3405577681.17,18414927
2020-05-17,Bitcoin SV,BSV,191.73,3529408778.66,18408540
2020-05-10,Bitcoin SV,BSV,185.9,3420862669.59,18402058
2020-04-26,Bitcoin SV,BSV,195.75,3599743357.2,18389815
2020-04-19,Bitcoin SV,BSV,195.77,3598945829.1,18383402
2020-04-12,Bitcoin SV,BSV,192.97,3546256467.21,18377202
2020-04-05,Bitcoin SV,BSV,174.86,3211817401.41,18367527
2020-03-29,Bitcoin SV,BSV,148.39,2723746297.07,18355065
2020-03-22,Bitcoin SV,BSV,157.78,2894145362.51,18342440
2020-03-15,Bitcoin SV,BSV,122.95,2253595392.72,18329977
2020-03-08,Bitcoin SV,BSV,197.95,3625901373.83,18317327
2020-05-03,Bitcoin SV,BSV,208.62,3837664273.22,18395852
2020-03-01,Bitcoin SV,BSV,228.52,4182980992.03,18304827
2020-02-23,Bitcoin SV,BSV,294.39,5385055786.22,18292290
2020-01-19,Bitcoin SV,BSV,276.92,5046171376.21,18222577
2020-02-16,Bitcoin SV,BSV,285.87,5225615842.17,18279852
2020-02-09,Bitcoin SV,BSV,350.09,6395258536.58,18267490
2020-02-02,Bitcoin SV,BSV,276.74,5051860964.6,18254727
2020-01-26,Bitcoin SV,BSV,274.2,4996615972.79,18222577
2020-01-12,Bitcoin SV,BSV,165.01,2981519770.23,18068415
2019-12-01,Bitcoin SV,BSV,104.29,1884411960.68,18068415
2020-01-05,Bitcoin SV,BSV,110.87,2003156469.14,18068415
2019-12-29,Bitcoin SV,BSV,100.36,1813274573.35,18068415
2019-11-24,Bitcoin SV,BSV,100.41,1814217167.92,18068415
2019-12-22,Bitcoin SV,BSV,88.04,1590712640.58,18068415
2019-12-15,Bitcoin SV,BSV,93.48,1689052392.75,18068415
2019-12-08,Bitcoin SV,BSV,97.45,1760696830.28,18068415
2019-11-17,Bitcoin SV,BSV,124.34,2246662177.65,18068415
2019-10-13,Bitcoin SV,BSV,86.66,1547249914.41,17854986
2019-09-29,Bitcoin SV,BSV,82.71,1476698555.96,17854986
2019-11-10,Bitcoin SV,BSV,134.75,2434718388.39,18068415
2019-11-03,Bitcoin SV,BSV,129.58,2341224259.14,18068415
2019-10-27,Bitcoin SV,BSV,140.47,2538038523.61,18068415
2019-10-20,Bitcoin SV,BSV,94.7,1690943191.46,17854986
2019-10-06,Bitcoin SV,BSV,82.15,1466721705.85,17854986
2019-09-22,Bitcoin SV,BSV,119.95,2141659237.66,17854986
2019-09-15,Bitcoin SV,BSV,119.8,2138947005.14,17854986
2019-09-01,Bitcoin SV,BSV,129.65,2314946418.42,17854986
2019-08-25,Bitcoin SV,BSV,132.94,2373713767.69,17854986
2019-08-18,Bitcoin SV,BSV,136.6,2439016943.87,17854986
2019-08-11,Bitcoin SV,BSV,145.84,2603968439.09,17854986
2019-08-04,Bitcoin SV,BSV,150.5,2687245449.4,17854986
2019-07-28,Bitcoin SV,BSV,147.87,2640158079.96,17854986
2019-07-21,Bitcoin SV,BSV,176.7,3154961436.56,17854986
2019-09-08,Bitcoin SV,BSV,135.53,2419929880.67,17854986
2019-07-14,Bitcoin SV,BSV,126.4,2256919347.69,17854986
2019-07-07,Bitcoin SV,BSV,199.55,3563006593.27,17854986
2019-06-30,Bitcoin SV,BSV,194.2,3467494146.96,17854986
2019-06-23,Bitcoin SV,BSV,237.37,4237495801.84,17852148
2019-06-09,Bitcoin SV,BSV,185.37,3304678226.89,17827298
2019-06-02,Bitcoin SV,BSV,191.97,3419756287.17,17814373
2019-05-26,Bitcoin SV,BSV,106.08,1888474994.25,17801636
2019-05-05,Bitcoin SV,BSV,53.66,953140152.94,17764123
2019-04-28,Bitcoin SV,BSV,54.28,963545504.27,17751398
2019-06-16,Bitcoin SV,BSV,212.17,3785005960.4,17839661
2019-04-21,Bitcoin SV,BSV,56.63,1004489952.59,17739161
2019-05-19,Bitcoin SV,BSV,65.58,1166554606.14,17788711
2019-05-12,Bitcoin SV,BSV,57.75,1026678560.48,17776598
2019-04-14,Bitcoin SV,BSV,71.05,1259417047.63,17726686
2019-04-07,Bitcoin SV,BSV,86.41,1526953180.18,17670348
2019-03-31,Bitcoin SV,BSV,64.98,1148254868.52,17670348
2019-03-24,Bitcoin SV,BSV,65.92,1164798628.45,17670348
2019-03-17,Bitcoin SV,BSV,68.47,1209844855.07,17670348
2019-03-10,Bitcoin SV,BSV,66.81,1180167565.53,17664048
2019-02-17,Bitcoin SV,BSV,62.87,1108140608.42,17626573
2019-03-03,Bitcoin SV,BSV,65.41,1154648587.69,17651586
2019-02-10,Bitcoin SV,BSV,66.61,1173301756.9,17613923
2019-02-24,Bitcoin SV,BSV,61.2,1079526122.23,17638911
2019-02-03,Bitcoin SV,BSV,63.72,1121559772.35,17601461
2019-01-27,Bitcoin SV,BSV,71.83,1263392930.85,17588911
2019-01-20,Bitcoin SV,BSV,75.34,1324247114.63,17576286
2019-01-13,Bitcoin SV,BSV,77.44,1360198444.65,17563823
2019-01-06,Bitcoin SV,BSV,90.38,1586211999.9,17551311
2018-12-30,Bitcoin SV,BSV,88.56,1553228295.25,17538648
2018-12-16,Bitcoin SV,BSV,77.34,1354525811.23,17513123
2018-12-09,Bitcoin SV,BSV,97.42,1702607764.33,17477861
2018-12-02,Bitcoin SV,BSV,100.37,1754285184.08,17477861
2018-12-23,Bitcoin SV,BSV,106.97,1874808177.47,17526286
