Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2013-04-28,Bitcoin,BTC,134.21,1488566971.96,11091325
2014-06-22,Bitcoin,BTC,602.27,7788611993.35,12932025
2014-05-25,Bitcoin,BTC,571.59,7325371160.59,12815825
2014-06-29,Bitcoin,BTC,602.72,7813285930.13,12963475
2014-06-08,Bitcoin,BTC,656.14,8445491366.27,12871475
2014-05-11,Bitcoin,BTC,438.89,5598957083.42,12757200
2014-06-15,Bitcoin,BTC,592.94,7649365737.79,12900800
2014-05-18,Bitcoin,BTC,446.26,5706167060.01,12786525
2014-05-04,Bitcoin,BTC,436.4,5554781871.21,12728550
2014-04-27,Bitcoin,BTC,436.39,5542719717.83,12701300
2014-03-23,Bitcoin,BTC,561.27,7045873880.14,12553400
2014-04-20,Bitcoin,BTC,498.17,6312898134.7,12672225
2014-04-13,Bitcoin,BTC,414.06,5234669425.31,12642200
2014-04-06,Bitcoin,BTC,460.5,5808862088.79,12614275
2014-03-30,Bitcoin,BTC,460.27,5791425431.84,12582575
2014-06-01,Bitcoin,BTC,630.23,8094127199.29,12843150
2022-05-15,Bitcoin,BTC,31305.11,596074575228.33,19040806
2022-05-08,Bitcoin,BTC,34059.26,648302121215.01,19034531
2022-05-01,Bitcoin,BTC,38469.09,731986764311.88,19027918
2022-04-24,Bitcoin,BTC,39469.29,750755023763.85,19021243
2022-04-17,Bitcoin,BTC,39716.95,755201997822.58,19014600
2022-04-03,Bitcoin,BTC,46453.57,882703992270.52,19001856
2022-03-27,Bitcoin,BTC,46820.49,889385706663.3,18995650
2022-03-20,Bitcoin,BTC,41247.82,783260570383.75,18989137
2022-04-10,Bitcoin,BTC,42207.67,802293412896.67,19008237
2022-03-13,Bitcoin,BTC,37849.66,718481905385.96,18982518
2022-03-06,Bitcoin,BTC,38419.98,729062407067.32,18976125
2022-02-27,Bitcoin,BTC,37709.78,715351995827.54,18969931
2022-02-20,Bitcoin,BTC,38431.38,728812385562.03,18963993
2022-02-13,Bitcoin,BTC,42197.52,799950408997.28,18957287
2022-02-06,Bitcoin,BTC,42412.43,803744511638.35,18950681
2022-01-30,Bitcoin,BTC,37917.6,718325967803.38,18944393
2022-01-23,Bitcoin,BTC,36276.8,687012848062.33,18938075
2021-12-12,Bitcoin,BTC,50098.34,946823114554.82,18899293
2022-01-16,Bitcoin,BTC,43113.88,816211499220.99,18931525
2022-01-02,Bitcoin,BTC,47345.22,895688387523.14,18918243
2021-12-26,Bitcoin,BTC,50809.52,960899995734.94,18911812
2021-12-19,Bitcoin,BTC,46707.01,883011296029.51,18905325
2021-12-05,Bitcoin,BTC,49368.85,932695365142.4,18892387
2021-11-28,Bitcoin,BTC,57248.46,1081180416261.97,18885756
2022-01-09,Bitcoin,BTC,41911.6,793156354743.99,18924506
2021-11-21,Bitcoin,BTC,58730.48,1109182665918.5,18885981
2021-11-14,Bitcoin,BTC,65466.84,1235578996842.01,18873356
2021-11-07,Bitcoin,BTC,63326.99,1194778776481.15,18866818
2021-10-17,Bitcoin,BTC,61553.62,1160143314184.57,18847687
2021-10-31,Bitcoin,BTC,61318.96,1156485845063.09,18860168
2021-10-24,Bitcoin,BTC,60930.84,1148743134467.63,18853231
2021-10-10,Bitcoin,BTC,54771.58,1031909532688.09,18840237
2021-09-26,Bitcoin,BTC,43208.54,813490665612.76,18827081
2021-09-19,Bitcoin,BTC,47260.22,889472404519.7,18820743
2021-09-12,Bitcoin,BTC,46063.27,866636671661.82,18814050
2021-09-05,Bitcoin,BTC,51753.41,973354882472.78,18807550
2021-08-29,Bitcoin,BTC,48829.83,918057300166.44,18801156
2021-08-15,Bitcoin,BTC,47047.0,883882942187.64,18787231
2021-10-03,Bitcoin,BTC,48199.95,907791525235.93,18833868
2021-08-08,Bitcoin,BTC,43798.12,822545074286.18,18780375
2021-07-25,Bitcoin,BTC,35350.19,663401935102.72,18766575
2021-07-18,Bitcoin,BTC,31796.81,596513309276.77,18760162
2021-07-04,Bitcoin,BTC,35287.78,661574836314.86,18747987
2021-08-01,Bitcoin,BTC,39974.9,750472428208.37,18773593
2021-06-27,Bitcoin,BTC,34649.64,649461677014.11,18743675
2021-06-20,Bitcoin,BTC,35698.3,668968868769.75,18739518
2021-05-23,Bitcoin,BTC,34770.58,650686270744.27,18713700
2021-06-13,Bitcoin,BTC,39097.86,732465659891.77,18734162
2021-06-06,Bitcoin,BTC,35862.38,671652557855.13,18728612
2021-05-30,Bitcoin,BTC,35678.13,667976638398.14,18722300
2021-07-11,Bitcoin,BTC,34240.19,642138104626.48,18753931
2021-05-16,Bitcoin,BTC,46456.06,869279076502.07,18711856
2021-05-09,Bitcoin,BTC,58232.32,1089244557675.55,18705156
2021-05-02,Bitcoin,BTC,56631.08,1058862005057.49,18697543
2021-04-25,Bitcoin,BTC,49004.25,915955943256.31,18691356
2021-04-18,Bitcoin,BTC,56216.19,1050445401609.72,18685818
2021-04-04,Bitcoin,BTC,58758.56,1097232660348.16,18673581
2021-04-11,Bitcoin,BTC,60204.96,1124635848775.45,18680118
2021-03-28,Bitcoin,BTC,55950.75,1044446559059.05,18667250
2021-02-28,Bitcoin,BTC,45137.77,841428977514.57,18641350
2021-03-21,Bitcoin,BTC,57523.42,1073480856312.03,18661631
2021-03-14,Bitcoin,BTC,59302.32,1106226132524.59,18654012
2021-02-07,Bitcoin,BTC,38903.44,724478833211.1,18622487
2021-03-07,Bitcoin,BTC,51206.69,954880954584.64,18647581
2021-02-21,Bitcoin,BTC,57539.94,1072421529570.02,18637862
2021-02-14,Bitcoin,BTC,48717.29,907551330153.22,18628937
2021-08-22,Bitcoin,BTC,49321.65,926961622395.31,18794212
2021-01-31,Bitcoin,BTC,33114.36,616452744533.28,18615875
2021-01-24,Bitcoin,BTC,32289.38,600888568009.5,18609481
2021-01-17,Bitcoin,BTC,35791.28,665831621390.99,18603181
2021-01-10,Bitcoin,BTC,38356.44,713304617760.95,18596737
2021-01-03,Bitcoin,BTC,32782.02,609409213147.03,18589737
2020-12-27,Bitcoin,BTC,26272.29,488213268382.01,18582818
2020-12-20,Bitcoin,BTC,23477.3,436129331482.26,18576643
2020-12-13,Bitcoin,BTC,19142.38,355479173805.7,18570268
2020-12-06,Bitcoin,BTC,19345.12,359123541247.06,18564037
2020-11-29,Bitcoin,BTC,18177.48,337336592123.07,18557937
2020-11-22,Bitcoin,BTC,18370.0,340790183317.33,18551450
2020-11-15,Bitcoin,BTC,15955.59,295790551597.89,18538368
2020-11-08,Bitcoin,BTC,15479.57,286955182899.01,18537675
2020-11-01,Bitcoin,BTC,13737.11,254569759062.59,18531537
2020-10-25,Bitcoin,BTC,13031.17,241444607827.29,18528231
2020-10-18,Bitcoin,BTC,11483.36,212766341397.05,18528231
2020-10-11,Bitcoin,BTC,11384.18,210928035777.0,18528168
2020-10-04,Bitcoin,BTC,10669.58,197687817851.48,18528168
2020-09-27,Bitcoin,BTC,10775.27,199646001248.2,18528168
2020-09-20,Bitcoin,BTC,10938.27,202308927892.35,18495512
2020-09-13,Bitcoin,BTC,10323.76,190870759062.08,18488500
2020-09-06,Bitcoin,BTC,10280.35,189997214393.29,18481587
2020-08-30,Bitcoin,BTC,11711.51,216373660045.36,18475306
2020-08-23,Bitcoin,BTC,11664.85,215439967321.34,18469162
2020-08-16,Bitcoin,BTC,11892.8,219576092170.36,18462937
2020-08-02,Bitcoin,BTC,11053.61,203936136729.63,18449725
2020-07-26,Bitcoin,BTC,9905.17,182685328095.43,18443437
2020-07-12,Bitcoin,BTC,9276.5,170977422928.13,18431243
2020-07-05,Bitcoin,BTC,9073.94,167181726153.66,18424375
2020-08-09,Bitcoin,BTC,11675.74,215490364254.78,18456250
2020-07-19,Bitcoin,BTC,9185.82,169360219986.11,18437143
2020-06-28,Bitcoin,BTC,9143.58,168401806136.91,18417487
2020-06-21,Bitcoin,BTC,9303.63,171289415078.63,18411031
2020-06-14,Bitcoin,BTC,9386.79,172763239787.2,18404937
2020-06-07,Bitcoin,BTC,9758.85,179540253701.4,18397681
2020-05-31,Bitcoin,BTC,9461.06,173997151929.68,18390875
2020-05-24,Bitcoin,BTC,8790.37,161610414642.63,18384943
2020-05-17,Bitcoin,BTC,9670.74,177745404470.08,18379712
2020-05-10,Bitcoin,BTC,8756.43,160884755210.8,18373325
