Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2014-06-22,BlackCoin,BLK,0.1329,9910765.23,74572408
2014-05-25,BlackCoin,BLK,0.1543,11503699.43,74543736
2014-06-29,BlackCoin,BLK,0.1288,9606417.97,74578992
2014-06-08,BlackCoin,BLK,0.1583,11803603.99,74543768
2014-05-11,BlackCoin,BLK,0.1169,8709915.87,74530048
2014-06-15,BlackCoin,BLK,0.1211,9023648.67,74544672
2014-05-18,BlackCoin,BLK,0.08454,6301694.01,74537360
2014-05-04,BlackCoin,BLK,0.1327,9885921.42,74523368
2014-04-27,BlackCoin,BLK,0.1351,10065265.26,74516680
2014-04-20,BlackCoin,BLK,0.2382,17752058.78,74511072
2014-04-13,BlackCoin,BLK,0.1608,11980876.32,74505744
2014-06-01,BlackCoin,BLK,0.2047,15261384.8,74543768
2016-01-17,BlackCoin,BLK,0.02498,1878739.61,75210881
2016-01-03,BlackCoin,BLK,0.0266,2000104.7,75183721
2015-12-27,BlackCoin,BLK,0.02609,1961088.04,75170120
2015-12-20,BlackCoin,BLK,0.02692,2023526.3,75156521
2015-12-13,BlackCoin,BLK,0.02739,2058062.08,75142955
2015-11-29,BlackCoin,BLK,0.02451,1841337.14,75115856
2015-11-15,BlackCoin,BLK,0.02239,1680922.56,75088717
2015-10-18,BlackCoin,BLK,0.02411,1808826.85,75034393
2015-11-08,BlackCoin,BLK,0.02475,1857949.1,75075160
2015-11-01,BlackCoin,BLK,0.02762,2072928.36,75061583
2015-10-25,BlackCoin,BLK,0.0266,1995988.59,75047981
2015-09-27,BlackCoin,BLK,0.02727,2045417.53,75001040
2015-10-11,BlackCoin,BLK,0.02621,1965928.8,75020825
2015-10-04,BlackCoin,BLK,0.02969,2226930.84,75007570
2015-09-20,BlackCoin,BLK,0.02533,1899468.46,74994952
2015-09-13,BlackCoin,BLK,0.02585,1938719.57,74991518
2015-07-26,BlackCoin,BLK,0.03337,2501655.72,74964724
2015-09-06,BlackCoin,BLK,0.02355,1765810.87,74985629
2015-08-30,BlackCoin,BLK,0.02265,1698580.98,74982315
2015-08-23,BlackCoin,BLK,0.02762,2071085.6,74978557
2015-08-02,BlackCoin,BLK,0.03193,2393743.76,74968102
2015-07-12,BlackCoin,BLK,0.04556,3414823.42,74954851
2015-06-28,BlackCoin,BLK,0.04823,3614763.39,74944466
2015-07-19,BlackCoin,BLK,0.03274,2454053.94,74958713
2015-07-05,BlackCoin,BLK,0.04808,3603459.86,74949379
2015-06-14,BlackCoin,BLK,0.03707,2777351.62,74931387
2015-05-24,BlackCoin,BLK,0.03738,2800081.58,74911471
2015-06-07,BlackCoin,BLK,0.03288,2463532.46,74920529
2015-05-31,BlackCoin,BLK,0.03313,2481636.91,74916494
2015-06-21,BlackCoin,BLK,0.05248,3932944.75,74938648
2014-12-21,BlackCoin,BLK,0.02935,2193904.23,74739408
2014-11-30,BlackCoin,BLK,0.0275,2055106.24,74722664
2014-11-16,BlackCoin,BLK,0.03186,2380655.17,74713697
2014-11-09,BlackCoin,BLK,0.03503,2616757.97,74708414
2014-11-02,BlackCoin,BLK,0.03025,2259691.94,74704213
2014-10-26,BlackCoin,BLK,0.03261,2436049.77,74700219
2014-10-12,BlackCoin,BLK,0.04433,3311296.18,74690838
2014-10-19,BlackCoin,BLK,0.03961,2958952.7,74695198
2014-11-23,BlackCoin,BLK,0.02781,2077888.55,74718402
2014-10-05,BlackCoin,BLK,0.04511,3368722.21,74684537
2014-09-07,BlackCoin,BLK,0.04271,3189201.52,74665839
2014-09-21,BlackCoin,BLK,0.05595,4178248.29,74678695
2014-09-28,BlackCoin,BLK,0.05577,4164713.53,74682630
2014-08-24,BlackCoin,BLK,0.05045,3766674.75,74656689
2014-09-14,BlackCoin,BLK,0.05424,4050493.0,74670990
2014-08-17,BlackCoin,BLK,0.04854,3623323.19,74651986
2014-07-20,BlackCoin,BLK,0.1034,7716406.69,74624440
2014-08-10,BlackCoin,BLK,0.06368,4753749.99,74647338
2014-08-03,BlackCoin,BLK,0.084,6270239.31,74642767
2014-07-27,BlackCoin,BLK,0.1025,7650830.62,74635480
2014-08-31,BlackCoin,BLK,0.04192,3129456.72,74660716
2014-07-13,BlackCoin,BLK,0.1132,8449434.89,74616736
2014-07-06,BlackCoin,BLK,0.1275,9506946.64,74586744
