Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2014-06-22,Bytecoin,BCN,7.831e-05,12230385.92,156170059776
2014-06-29,Bytecoin,BCN,5.421e-05,8488301.11,156594929664
2018-05-27,Bytecoin,BCN,0.006018,1106610735.06,183890481254
2018-05-20,Bytecoin,BCN,0.00945,1737707806.0,183890481254
2018-05-13,Bytecoin,BCN,0.01208,2220524852.79,183888334879
2017-07-16,Bytecoin,BCN,0.001142,209055550.39,183138440747
2017-07-02,Bytecoin,BCN,0.002198,402339915.66,183087501526
2017-07-09,Bytecoin,BCN,0.001556,284921631.04,183112440551
2017-06-25,Bytecoin,BCN,0.002515,460369810.98,183060993956
2017-06-18,Bytecoin,BCN,0.002626,480714196.8,183030840091
2017-06-11,Bytecoin,BCN,0.0034,622202238.66,183007097582
2017-06-04,Bytecoin,BCN,0.002515,460184392.54,182978235018
2017-05-28,Bytecoin,BCN,0.002539,464423066.67,182950636434
2017-05-21,Bytecoin,BCN,0.003822,699215148.48,182921264139
2017-05-07,Bytecoin,BCN,0.000605,110635845.09,182857516408
2016-05-22,Bytecoin,BCN,4.374e-05,7879094.08,180146824004
2016-06-05,Bytecoin,BCN,3.841e-05,6931031.61,180425252450
2016-04-03,Bytecoin,BCN,6.29e-05,11300257.18,179667922925
2016-04-10,Bytecoin,BCN,4.6e-05,8268234.03,179754563390
2016-04-24,Bytecoin,BCN,3.689e-05,6638063.87,179931057367
2016-04-17,Bytecoin,BCN,3.841e-05,6907176.99,179843214469
2016-03-27,Bytecoin,BCN,4.665e-05,8377381.16,179573947563
2016-03-20,Bytecoin,BCN,3.313e-05,5945869.35,179479564952
2016-03-13,Bytecoin,BCN,3.236e-05,5805158.97,179382883456
2016-02-21,Bytecoin,BCN,3.381e-05,6054484.25,179083350098
2016-03-06,Bytecoin,BCN,3.014e-05,5403628.47,179284248112
2016-02-14,Bytecoin,BCN,4.246e-05,7600002.15,178981782802
2016-02-07,Bytecoin,BCN,3.737e-05,6684806.88,178876352850
2016-02-28,Bytecoin,BCN,3.252e-05,5827785.1,179185467779
2016-01-31,Bytecoin,BCN,3.53e-05,6311417.5,178771626985
2016-01-24,Bytecoin,BCN,3.387e-05,6051208.41,178661090054
2016-01-17,Bytecoin,BCN,3.372e-05,6020015.82,178549893755
2016-01-10,Bytecoin,BCN,3.353e-05,5983192.12,178436797915
2016-01-03,Bytecoin,BCN,3.131e-05,5582979.15,178318882394
2015-12-27,Bytecoin,BCN,3.129e-05,5575055.92,178199681458
2015-12-20,Bytecoin,BCN,2.913e-05,5187029.31,178077521776
2015-12-13,Bytecoin,BCN,2.96e-05,5267029.18,177953681479
2015-12-06,Bytecoin,BCN,2.698e-05,4796969.45,177827651695
2015-11-29,Bytecoin,BCN,2.6e-05,4620060.85,177700368961
2015-11-22,Bytecoin,BCN,2.431e-05,4316043.29,177568059797
2015-11-15,Bytecoin,BCN,2.625e-05,4657555.29,177434994716
2015-11-08,Bytecoin,BCN,3.015e-05,5345350.03,177299574307
2015-11-01,Bytecoin,BCN,3.569e-05,6323254.07,177162046571
2015-10-25,Bytecoin,BCN,3.314e-05,5867136.7,177021910499
2015-10-18,Bytecoin,BCN,2.977e-05,5264770.35,176876535199
2015-10-11,Bytecoin,BCN,2.838e-05,5015438.35,176731169366
2015-10-04,Bytecoin,BCN,2.786e-05,4919436.18,176585392990
2015-09-27,Bytecoin,BCN,2.932e-05,5172315.15,176430296446
2015-09-20,Bytecoin,BCN,3.572e-05,6296478.67,176278133386
2015-09-13,Bytecoin,BCN,5.436e-05,9573460.46,176119484069
2015-07-26,Bytecoin,BCN,5.908e-05,10334669.11,174930644991
2015-09-06,Bytecoin,BCN,6.374e-05,11216099.81,175958667898
2015-08-30,Bytecoin,BCN,6.068e-05,10666421.87,175794738682
2015-08-23,Bytecoin,BCN,6.181e-05,10855524.6,175626569071
2015-08-16,Bytecoin,BCN,7.462e-05,13091675.08,175454196695
2015-08-09,Bytecoin,BCN,7.544e-05,13222786.79,175281265633
2015-08-02,Bytecoin,BCN,7.298e-05,12779532.0,175104345872
2015-07-19,Bytecoin,BCN,5.027e-05,8783657.97,174740904263
2015-07-12,Bytecoin,BCN,4.818e-05,8405102.39,174446816576
2015-07-05,Bytecoin,BCN,3.727e-05,6498122.53,174352776384
2015-06-28,Bytecoin,BCN,2.925e-05,5093505.49,174155866569
2015-06-14,Bytecoin,BCN,2.84e-05,4934860.99,173758883836
2015-06-07,Bytecoin,BCN,2.904e-05,5040095.0,173553009808
2015-05-31,Bytecoin,BCN,3.63e-05,6292826.11,173342089382
2015-06-21,Bytecoin,BCN,2.924e-05,5086827.18,173955598772
2015-05-24,Bytecoin,BCN,2.677e-05,4634331.95,173123504484
2015-05-17,Bytecoin,BCN,2.618e-05,4526843.61,172907505616
2015-05-10,Bytecoin,BCN,2.645e-05,4568146.3,172684462195
2015-05-03,Bytecoin,BCN,2.644e-05,4556355.8,172326622560
2015-04-26,Bytecoin,BCN,2.404e-05,4140437.16,172220018456
2015-04-19,Bytecoin,BCN,2.55e-05,4386437.72,171985675869
2015-04-05,Bytecoin,BCN,1.568e-05,2688900.56,171490524117
2015-02-15,Bytecoin,BCN,9.802e-06,1662723.62,169631103601
2015-02-08,Bytecoin,BCN,1.132e-05,1916534.08,169342051630
2015-02-01,Bytecoin,BCN,9.645e-06,1630360.47,169040452566
2015-01-25,Bytecoin,BCN,1.32e-05,2228171.58,168742355013
2015-03-29,Bytecoin,BCN,1.227e-05,2100854.64,171240294729
2014-10-12,Bytecoin,BCN,1.46e-05,2387991.62,163552865621
2014-09-07,Bytecoin,BCN,1.774e-05,2864421.73,161454922088
2014-09-28,Bytecoin,BCN,1.509e-05,2455419.9,162747242245
2014-09-21,Bytecoin,BCN,1.671e-05,2711853.49,162319678268
2014-09-14,Bytecoin,BCN,1.714e-05,2775220.27,161888027274
2014-08-17,Bytecoin,BCN,1.678e-05,2687201.33,160099016797
2014-07-20,Bytecoin,BCN,3.743e-05,5921677.83,158188109824
2014-08-31,Bytecoin,BCN,1.619e-05,2607405.45,161013004164
2014-08-03,Bytecoin,BCN,2.347e-05,3734020.27,159129388950
2014-07-13,Bytecoin,BCN,3.761e-05,5924638.69,157510975488
2014-07-06,Bytecoin,BCN,4.447e-05,6985899.05,157091430400
2013-06-23,Bytecoin,BTE,0.01238,11370.84,918850
