Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2022-05-15,Cardano,ADA,0.5975,20167153400.05,33752565071
2022-05-08,Cardano,ADA,0.7396,25012203839.58,33820262544
2022-05-01,Cardano,ADA,0.7903,26676154076.97,33752565071
2022-04-24,Cardano,ADA,0.8863,29916574843.12,33752565071
2022-04-03,Cardano,ADA,1.19,40012506060.12,33739028516
2022-04-17,Cardano,ADA,0.9175,30966833579.45,33752555544
2022-03-27,Cardano,ADA,1.18,39869330421.37,33726172421
2022-03-20,Cardano,ADA,0.8771,29569834894.15,33713492092
2022-04-10,Cardano,ADA,1.03,34795020604.4,33752565071
2022-03-13,Cardano,ADA,0.791,26646535268.33,33687369574
2022-03-06,Cardano,ADA,0.8238,27739380365.39,33674446475
2022-02-27,Cardano,ADA,0.8583,28881334293.49,33648103490
2022-02-20,Cardano,ADA,0.9329,31370229673.3,33626509428
2022-02-13,Cardano,ADA,1.05,35153676037.03,33613521329
2022-02-06,Cardano,ADA,1.14,38433324420.14,33579503408
2022-01-30,Cardano,ADA,1.04,34824144096.38,33566307384
2022-01-23,Cardano,ADA,1.12,37644141351.37,33539825364
2021-12-12,Cardano,ADA,1.35,45038273235.44,33428994929
2022-01-16,Cardano,ADA,1.41,47180439513.25,33526676951
2022-01-02,Cardano,ADA,1.38,46129061735.77,33485491062
2021-12-26,Cardano,ADA,1.46,48735884302.66,33471413723
2021-12-19,Cardano,ADA,1.24,42517012629.67,34159510418
2021-12-05,Cardano,ADA,1.38,45909141522.15,33313246915
2021-11-28,Cardano,ADA,1.59,53063159815.76,33313246915
2022-01-09,Cardano,ADA,1.17,39340035970.11,33513387744
2021-11-21,Cardano,ADA,1.84,61288481315.91,33313246915
2021-11-14,Cardano,ADA,2.04,67957824618.31,33298738703
2021-11-07,Cardano,ADA,2.02,67297292605.33,33284645198
2021-10-17,Cardano,ADA,2.16,70973835949.63,32904527669
2021-10-31,Cardano,ADA,1.97,65378981994.98,33271310416
2021-10-24,Cardano,ADA,2.12,69870632222.32,32904527669
2021-10-10,Cardano,ADA,2.2,70394554935.84,32038100544
2021-09-26,Cardano,ADA,2.21,70755984056.52,32038100544
2021-09-19,Cardano,ADA,2.28,73092414722.89,32025787327
2021-09-12,Cardano,ADA,2.58,82681831819.46,32025787327
2021-09-05,Cardano,ADA,2.91,93187277515.33,32014049408
2021-08-29,Cardano,ADA,2.86,91806666152.88,32145348141
2021-08-15,Cardano,ADA,2.17,69656279630.58,32112195710
2021-10-03,Cardano,ADA,2.25,72177771731.76,32038100544
2021-08-08,Cardano,ADA,1.43,45828707112.81,32096753647
2021-07-25,Cardano,ADA,1.23,39362500129.5,32041069499
2021-07-18,Cardano,ADA,1.18,37926948421.57,32041069499
2021-07-04,Cardano,ADA,1.46,46583637655.56,31946328269
2021-08-01,Cardano,ADA,1.32,42274401646.46,32081226995
2021-06-27,Cardano,ADA,1.34,42654792252.72,31946328269
2021-06-20,Cardano,ADA,1.43,45657297092.32,31946328269
2021-05-23,Cardano,ADA,1.33,42345452943.9,31948309441
2021-06-13,Cardano,ADA,1.56,49783857547.19,31946342227
2021-06-06,Cardano,ADA,1.68,53617195304.14,31948309441
2021-05-30,Cardano,ADA,1.58,50391384963.26,31948309441
2021-07-11,Cardano,ADA,1.35,43068287170.48,31946328269
2021-05-16,Cardano,ADA,2.31,73772243227.06,31948309441
2021-05-09,Cardano,ADA,1.77,56566463236.9,31948309441
2021-05-02,Cardano,ADA,1.33,42389411930.29,31948309441
2021-04-25,Cardano,ADA,1.09,34767757835.28,31948309441
2021-04-18,Cardano,ADA,1.28,40750096835.49,31948309441
2021-04-04,Cardano,ADA,1.19,38063850600.58,31948309441
2021-04-11,Cardano,ADA,1.27,40470031448.36,31948309441
2021-03-28,Cardano,ADA,1.19,38054391213.0,31948309441
2021-02-28,Cardano,ADA,1.31,40696967234.71,31112484646
2021-03-21,Cardano,ADA,1.19,37991018691.37,31948309441
2021-03-14,Cardano,ADA,1.06,33838166627.22,31948309441
2021-02-07,Cardano,ADA,0.6632,20634977898.63,31112484646
2021-03-07,Cardano,ADA,1.13,36209148044.41,31948309441
2021-02-21,Cardano,ADA,1.1,34239897894.76,31112484646
2021-02-14,Cardano,ADA,0.8484,26396411404.87,31112484646
2021-08-22,Cardano,ADA,2.71,87185854706.51,32127741925
2021-01-31,Cardano,ADA,0.3449,10730622858.42,31112484646
2021-01-24,Cardano,ADA,0.3539,11010118426.55,31112484646
2021-01-17,Cardano,ADA,0.3799,11818146766.16,31112484646
2021-01-10,Cardano,ADA,0.3049,9486050469.15,31112484646
2021-01-03,Cardano,ADA,0.205,6377915101.91,31112484646
2020-12-27,Cardano,ADA,0.1544,4804453143.56,31112484646
2020-12-20,Cardano,ADA,0.162,5039863586.81,31112484646
2020-12-13,Cardano,ADA,0.154,4790208946.24,31112484646
2020-12-06,Cardano,ADA,0.1589,4942739300.77,31112484646
2020-11-29,Cardano,ADA,0.1666,5184554213.26,31112484646
2020-11-22,Cardano,ADA,0.1448,4503848489.46,31112484646
2020-11-15,Cardano,ADA,0.1005,3127773189.39,31112484646
2020-11-08,Cardano,ADA,0.1066,3317245142.78,31112484646
2020-11-01,Cardano,ADA,0.0982,3055149296.56,31112484646
2020-10-25,Cardano,ADA,0.1064,3308833126.52,31112484646
2020-10-18,Cardano,ADA,0.1074,3341113201.23,31112484646
2020-10-11,Cardano,ADA,0.1065,3314647790.96,31112484646
2020-10-04,Cardano,ADA,0.09635,2997634376.58,31112484646
2020-09-27,Cardano,ADA,0.1013,3151289578.86,31112484646
2020-09-20,Cardano,ADA,0.08943,2782473260.43,31112484646
2020-09-13,Cardano,ADA,0.09486,2459337148.69,25927070538
2020-09-06,Cardano,ADA,0.09306,2412763133.87,25927070538
2020-08-30,Cardano,ADA,0.1174,3044806864.85,25927070538
2020-08-23,Cardano,ADA,0.1216,3152604458.57,25927070538
2020-08-16,Cardano,ADA,0.1385,3590147102.43,25927070538
2020-08-02,Cardano,ADA,0.1335,3461382969.29,25927070538
2020-07-26,Cardano,ADA,0.1481,3839996381.14,25927070538
2020-07-12,Cardano,ADA,0.1268,3287118881.4,25927070538
2020-07-05,Cardano,ADA,0.09821,2546315062.67,25927070538
2020-08-09,Cardano,ADA,0.1452,3765758411.86,25927070538
2020-07-19,Cardano,ADA,0.1237,3207480247.17,25927070538
2020-06-28,Cardano,ADA,0.08039,2084324972.04,25927070538
2020-06-21,Cardano,ADA,0.07848,2034638633.77,25927070538
2020-06-14,Cardano,ADA,0.07675,1989844415.94,25927070538
2020-06-07,Cardano,ADA,0.08665,2246692653.28,25927070538
2020-05-31,Cardano,ADA,0.07435,1927728436.12,25927070538
2020-05-24,Cardano,ADA,0.05264,1364837948.64,25927070538
