Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2022-01-30,Chainlink,LINK,17.77,8298074554.8,467009550
2022-01-16,Chainlink,LINK,25.55,11933568002.75,467009550
2021-12-26,Chainlink,LINK,23.01,10745755661.49,467009550
2021-11-28,Chainlink,LINK,24.82,11593002817.85,467009554
2022-01-09,Chainlink,LINK,27.57,12873687002.84,467009550
2021-11-21,Chainlink,LINK,29.04,13560165105.32,467009554
2021-11-14,Chainlink,LINK,33.78,15723322069.04,465509554
2021-11-07,Chainlink,LINK,32.35,15010507436.0,464009554
2021-10-17,Chainlink,LINK,26.54,12195790144.14,459509554
2021-10-31,Chainlink,LINK,29.99,13868352159.95,462509554
2021-10-24,Chainlink,LINK,29.77,13724649241.13,461009554
2021-10-10,Chainlink,LINK,25.65,11747457930.04,458009554
2021-09-19,Chainlink,LINK,27.4,12424233355.61,453509554
2021-09-26,Chainlink,LINK,24.6,11194215992.03,455009554
2021-09-05,Chainlink,LINK,33.5,15093614987.86,450509554
2021-09-12,Chainlink,LINK,29.38,13279698402.99,452009554
2021-08-15,Chainlink,LINK,27.9,12445456024.01,446009554
2021-08-29,Chainlink,LINK,25.81,11564767021.48,448009554
2021-10-03,Chainlink,LINK,27.56,12580965599.8,456509554
2021-08-08,Chainlink,LINK,23.05,10243993226.04,444509554
2021-07-25,Chainlink,LINK,16.76,7399549666.9,441509554
2021-07-18,Chainlink,LINK,15.5,6821209438.16,440009554
2021-07-04,Chainlink,LINK,19.26,8418044028.48,437009554
2021-08-01,Chainlink,LINK,22.13,9802400540.33,443009554
2021-06-27,Chainlink,LINK,18.34,7989048357.73,435509554
2021-06-20,Chainlink,LINK,21.74,9433378389.7,434009554
2021-05-23,Chainlink,LINK,20.01,8563775060.46,428009554
2021-06-13,Chainlink,LINK,23.34,10093735516.63,432509554
2021-06-06,Chainlink,LINK,27.55,11874992855.91,431009554
2021-05-30,Chainlink,LINK,26.87,11540751230.46,429509554
2021-07-11,Chainlink,LINK,18.36,8052775502.33,438509554
2021-05-16,Chainlink,LINK,40.74,17374783655.69,426509554
2021-05-02,Chainlink,LINK,39.5,16552912459.35,419009556
2021-04-25,Chainlink,LINK,31.54,13215821773.1,419009556
2021-04-18,Chainlink,LINK,39.07,16368990661.75,419009556
2021-04-04,Chainlink,LINK,30.96,12924960735.92,417509556
2021-05-09,Chainlink,LINK,52.2,21871752692.13,419009556
2021-04-11,Chainlink,LINK,33.92,14212461608.28,419009556
2021-03-28,Chainlink,LINK,26.7,11106204678.96,416009556
2021-02-28,Chainlink,LINK,24.66,10112284118.01,410009556
2021-03-21,Chainlink,LINK,29.27,12133871198.31,414509556
2021-03-14,Chainlink,LINK,28.79,11890307546.33,413009556
2021-02-07,Chainlink,LINK,24.79,10052631510.17,405509556
2021-03-07,Chainlink,LINK,28.55,11747862015.92,411509556
2021-02-21,Chainlink,LINK,34.15,13951721504.7,408509556
2021-02-14,Chainlink,LINK,33.29,13549479222.07,407009556
2021-08-22,Chainlink,LINK,28.02,12540478208.27,447509554
2021-01-31,Chainlink,LINK,22.6,9129983491.14,404009556
2021-01-24,Chainlink,LINK,24.7,9942734312.55,402509556
2021-01-17,Chainlink,LINK,23.17,9301680726.27,401509556
2021-01-10,Chainlink,LINK,16.25,6507250898.17,400509556
2021-01-03,Chainlink,LINK,13.65,5453374284.89,399509556
2020-12-27,Chainlink,LINK,12.13,4833804693.48,398509556
2020-12-20,Chainlink,LINK,13.07,5195479300.22,397509556
2020-12-13,Chainlink,LINK,12.93,5128336927.56,396509556
2020-12-06,Chainlink,LINK,13.49,5336371894.38,395509556
