Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2014-06-22,Counterparty,XCP,1.85,4894980.45,2649215
2014-05-25,Counterparty,XCP,3.18,8432266.21,2649267
2014-06-08,Counterparty,XCP,3.39,8984367.81,2649244
2014-06-29,Counterparty,XCP,1.85,4903121.49,2649171
2014-05-18,Counterparty,XCP,1.75,4636830.57,2649274
2014-05-11,Counterparty,XCP,1.88,4991020.36,2649284
2014-06-15,Counterparty,XCP,2.44,6471128.1,2649229
2014-03-23,Counterparty,XCP,3.5,9270141.48,2648511
2014-04-13,Counterparty,XCP,1.66,4398111.39,2649470
2014-04-06,Counterparty,XCP,2.74,7268562.41,2649656
2014-05-04,Counterparty,XCP,1.12,2954872.01,2649295
2014-03-30,Counterparty,XCP,2.23,5898455.96,2648624
2014-04-27,Counterparty,XCP,1.55,4108026.94,2649302
2014-04-20,Counterparty,XCP,1.68,4462409.75,2649428
2014-06-01,Counterparty,XCP,2.67,7060670.61,2649260
2016-09-25,Counterparty,XCP,5.05,13239642.94,2623077
2016-04-03,Counterparty,XCP,3.32,8725608.83,2627630
2015-12-20,Counterparty,XCP,0.7878,2071045.46,2629005
2015-11-15,Counterparty,XCP,0.9198,2425192.78,2636655
2015-12-06,Counterparty,XCP,0.7545,1986967.48,2633560
2015-11-22,Counterparty,XCP,0.7797,2053896.25,2634102
2015-10-25,Counterparty,XCP,0.8136,2145929.63,2637556
2015-11-01,Counterparty,XCP,1.07,2832257.47,2637242
2015-09-27,Counterparty,XCP,0.8602,2270112.14,2639153
2015-07-26,Counterparty,XCP,1.66,4391461.04,2639846
2015-09-06,Counterparty,XCP,0.8522,2249199.49,2639376
2015-08-23,Counterparty,XCP,0.9999,2639323.7,2639601
2015-09-13,Counterparty,XCP,0.9389,2477882.9,2639274
2015-08-30,Counterparty,XCP,0.9251,2441752.06,2639574
2015-08-16,Counterparty,XCP,1.56,4105563.41,2639685
2015-08-02,Counterparty,XCP,1.86,4914851.37,2639790
2015-08-09,Counterparty,XCP,1.65,4363693.89,2639726
2015-07-19,Counterparty,XCP,1.47,3888335.55,2639923
2015-07-12,Counterparty,XCP,1.54,4056498.84,2640056
2015-07-05,Counterparty,XCP,1.31,3449716.56,2640096
2015-06-28,Counterparty,XCP,1.12,2961837.48,2640179
2015-06-14,Counterparty,XCP,1.37,3614437.85,2640412
2015-05-24,Counterparty,XCP,0.9849,2601243.93,2641094
2015-06-07,Counterparty,XCP,0.9042,2387597.82,2640481
2015-05-31,Counterparty,XCP,0.9074,2396341.48,2640771
2015-06-21,Counterparty,XCP,1.27,3358114.93,2640365
2015-05-10,Counterparty,XCP,0.9486,2505748.19,2641454
2015-05-03,Counterparty,XCP,0.944,2493632.46,2641498
2015-05-17,Counterparty,XCP,0.8676,2291615.67,2641373
2015-04-05,Counterparty,XCP,1.18,3114438.29,2646359
2015-03-22,Counterparty,XCP,1.28,3376738.78,2646359
2015-03-15,Counterparty,XCP,1.27,3371348.65,2646359
2015-04-26,Counterparty,XCP,0.8378,2217172.6,2646359
2015-04-19,Counterparty,XCP,0.9431,2495700.27,2646359
2015-03-08,Counterparty,XCP,1.41,3737978.72,2646359
2015-04-12,Counterparty,XCP,0.9926,2626847.2,2646359
2015-03-01,Counterparty,XCP,1.25,3316135.31,2646359
2015-02-22,Counterparty,XCP,1.25,3311522.19,2646359
2015-02-15,Counterparty,XCP,1.39,3667714.6,2646359
2015-02-08,Counterparty,XCP,1.27,3364300.72,2646359
2015-02-01,Counterparty,XCP,1.97,5210856.97,2646359
2015-01-25,Counterparty,XCP,2.33,6161806.91,2646359
2015-03-29,Counterparty,XCP,1.13,2996941.6,2646359
2015-01-11,Counterparty,XCP,3.12,8253577.32,2646494
2015-01-04,Counterparty,XCP,3.49,9247939.62,2646575
