Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2022-02-20,Crypto.com Coin,CRO,0.4046,10220452260.14,25263013692
2022-02-13,Crypto.com Coin,CRO,0.5047,12749364798.95,25263013692
2022-02-06,Crypto.com Coin,CRO,0.4616,11661744341.53,25263013692
2022-01-30,Crypto.com Coin,CRO,0.4241,10714256823.59,25263013692
2022-01-23,Crypto.com Coin,CRO,0.3779,9546822477.69,25263013692
2021-12-12,Crypto.com Coin,CRO,0.6038,15253257112.44,25263013692
2022-01-16,Crypto.com Coin,CRO,0.4638,11718174784.27,25263013692
2022-01-02,Crypto.com Coin,CRO,0.5877,14847022636.66,25263013692
2021-12-26,Crypto.com Coin,CRO,0.6259,15811859284.42,25263013692
2021-12-19,Crypto.com Coin,CRO,0.5141,12988488249.77,25263013692
2021-12-05,Crypto.com Coin,CRO,0.5639,14246995016.6,25263013692
2021-11-28,Crypto.com Coin,CRO,0.7539,19045906344.66,25263013692
2022-01-09,Crypto.com Coin,CRO,0.4614,11657369434.11,25263013692
2021-11-21,Crypto.com Coin,CRO,0.7294,18427179115.6,25263013692
2021-03-21,Crypto.com Coin,CRO,0.2225,5620703362.35,25263013692
2021-03-14,Crypto.com Coin,CRO,0.186,4489606938.62,24143835615
2021-03-07,Crypto.com Coin,CRO,0.1598,3858154401.4,24143835615
2020-12-20,Crypto.com Coin,CRO,0.06605,1471282845.89,22274885843
2020-12-06,Crypto.com Coin,CRO,0.0638,1406517049.51,22044748857
2020-10-25,Crypto.com Coin,CRO,0.09666,2026048398.92,20960730594
2020-10-18,Crypto.com Coin,CRO,0.1211,2538525320.08,20960730594
2020-11-29,Crypto.com Coin,CRO,0.06618,1451288944.69,21929680364
2020-11-22,Crypto.com Coin,CRO,0.07094,1547614858.23,21814611871
2020-11-15,Crypto.com Coin,CRO,0.06395,1366432411.66,21366210046
2020-11-08,Crypto.com Coin,CRO,0.07477,1586909490.92,21223744292
2020-11-01,Crypto.com Coin,CRO,0.08421,1774246996.23,21070319635
2020-10-11,Crypto.com Coin,CRO,0.1542,3231239412.94,20960730594
2020-10-04,Crypto.com Coin,CRO,0.1489,3120909886.28,20960730594
2020-09-27,Crypto.com Coin,CRO,0.1546,3240349682.06,20960730594
2020-09-20,Crypto.com Coin,CRO,0.1596,3215260619.36,20149771689
2020-09-13,Crypto.com Coin,CRO,0.16,3198579994.73,19996347032
2020-09-06,Crypto.com Coin,CRO,0.1508,2992005645.56,19842922374
2020-08-30,Crypto.com Coin,CRO,0.1783,3511392721.82,19689497717
2020-08-23,Crypto.com Coin,CRO,0.1713,3347205763.83,19536073059
2020-08-16,Crypto.com Coin,CRO,0.1685,3182173951.33,18882648402
2020-08-02,Crypto.com Coin,CRO,0.1637,3041187799.17,18575799087
2020-07-26,Crypto.com Coin,CRO,0.1533,2824396975.44,18422374429
2020-07-12,Crypto.com Coin,CRO,0.1445,2617693018.8,18115525114
2020-07-05,Crypto.com Coin,CRO,0.1302,2339156569.55,17962100457
2020-08-09,Crypto.com Coin,CRO,0.1673,3132581940.99,18729223744
2020-07-19,Crypto.com Coin,CRO,0.1446,2641383957.32,18268949772
2020-06-28,Crypto.com Coin,CRO,0.1194,2110591692.33,17677168950
2020-06-21,Crypto.com Coin,CRO,0.1191,2077221684.2,17436073059
2020-06-14,Crypto.com Coin,CRO,0.1121,1954113590.15,17436073059
2020-06-07,Crypto.com Coin,CRO,0.108,1873371767.36,17348401826
2020-05-31,Crypto.com Coin,CRO,0.08519,1464765905.45,17194977169
2020-05-24,Crypto.com Coin,CRO,0.0737,1223655902.05,16603196347
2020-05-17,Crypto.com Coin,CRO,0.06708,1113725099.64,16603196347
2020-05-10,Crypto.com Coin,CRO,0.06356,1055362971.89,16603196347
2020-04-26,Crypto.com Coin,CRO,0.05531,787115977.36,14231050228
2020-04-19,Crypto.com Coin,CRO,0.05127,729594799.65,14231050228
2020-04-12,Crypto.com Coin,CRO,0.05044,717779628.16,14231050228
2020-04-05,Crypto.com Coin,CRO,0.0487,693009654.23,14231050228
2020-03-29,Crypto.com Coin,CRO,0.04147,590201799.43,14231050228
2020-03-08,Crypto.com Coin,CRO,0.05124,726968495.22,14187214612
2020-05-03,Crypto.com Coin,CRO,0.05994,993835265.27,16581278539
