Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2014-06-22,Dash,DASH,9.46,41683308.99,4407270
2014-05-25,Dash,DASH,15.13,65445424.09,4325709
2014-06-29,Dash,DASH,9.23,40861687.9,4426671
2014-06-08,Dash,DASH,9.5,41481508.52,4367048
2014-05-11,Dash,DASH,2.57,10967002.39,4266030
2014-06-15,Dash,DASH,10.35,45394479.88,4387092
2014-05-18,Dash,DASH,6.38,27439485.61,4301024
2014-05-04,Dash,DASH,1.55,6537964.39,4217081
2014-04-27,Dash,DASH,1.71,7100813.26,4160508
2014-04-20,Dash,DASH,0.7229,2958105.09,4091849
2014-04-13,Dash,DASH,0.539,2164284.82,4015172
2014-03-30,Dash,DASH,0.6625,2561406.3,3866357
2014-06-01,Dash,DASH,12.93,56209180.93,4347579
2020-04-26,Dash,DASH,83.93,793997922.51,9459683
2020-04-19,Dash,DASH,80.84,763803356.06,9447760
2020-03-22,Dash,DASH,63.83,599672686.83,9394619
2020-03-01,Dash,DASH,85.11,796493790.01,9358888
2020-02-23,Dash,DASH,108.15,1010273473.53,9341830
2020-01-19,Dash,DASH,104.79,972138554.79,9276586
2020-02-16,Dash,DASH,111.78,1042859779.2,9329937
2020-02-09,Dash,DASH,127.55,1188529428.0,9318014
2020-02-02,Dash,DASH,115.62,1075967932.85,9306112
2020-01-26,Dash,DASH,111.0,1031071645.26,9288521
2019-10-13,Dash,DASH,70.91,644877127.3,9093803
2019-09-29,Dash,DASH,69.44,629405016.78,9064336
2019-10-06,Dash,DASH,70.54,640641899.09,9081946
2019-09-22,Dash,DASH,91.76,830609846.39,9052417
2019-11-03,Dash,DASH,71.42,652416407.25,9135186
2019-10-27,Dash,DASH,71.76,654270106.88,9117609
2019-10-20,Dash,DASH,69.3,631038167.0,9105708
2019-09-15,Dash,DASH,89.19,806313555.21,9040513
2019-09-01,Dash,DASH,80.07,721956272.69,9016711
2019-08-25,Dash,DASH,91.43,822765307.61,8999233
2019-08-11,Dash,DASH,106.92,959670387.15,8975441
2019-08-04,Dash,DASH,107.2,960930851.96,8963542
2019-08-18,Dash,DASH,95.11,854767038.59,8987307
2019-07-28,Dash,DASH,108.39,969657236.46,8945957
2019-07-21,Dash,DASH,119.04,1063550858.72,8934040
2019-09-08,Dash,DASH,87.75,792223214.42,9028628
2019-07-14,Dash,DASH,124.18,1107983488.3,8922110
2019-07-07,Dash,DASH,157.63,1404511671.68,8910239
2019-06-30,Dash,DASH,156.47,1391438029.67,8892578
2019-06-23,Dash,DASH,174.36,1548410613.0,8880693
2019-06-09,Dash,DASH,142.89,1265537507.14,8856878
2019-06-02,Dash,DASH,165.23,1461466315.8,8844966
2019-05-26,Dash,DASH,162.6,1435374453.26,8827639
2019-05-19,Dash,DASH,169.78,1496694584.77,8815719
2019-05-05,Dash,DASH,119.31,1048975845.36,8791925
2019-04-28,Dash,DASH,110.24,967305377.58,8774913
2019-06-16,Dash,DASH,156.69,1389627506.57,8868780
2019-04-21,Dash,DASH,121.56,1065247639.65,8762978
2019-05-12,Dash,DASH,124.3,1094291042.39,8803817
2019-04-14,Dash,DASH,123.29,1078878135.83,8751064
2019-04-07,Dash,DASH,135.26,1182064053.63,8738892
2019-03-31,Dash,DASH,108.17,943250362.52,8719865
2019-03-24,Dash,DASH,92.61,806372694.81,8707034
2019-03-17,Dash,DASH,93.56,813463649.54,8694187
2019-03-10,Dash,DASH,83.73,726887779.0,8681342
2019-02-17,Dash,DASH,79.75,688790081.41,8636689
2019-03-03,Dash,DASH,81.95,710428399.76,8668531
2019-02-10,Dash,DASH,75.5,651066069.1,8623852
2019-02-24,Dash,DASH,81.52,705066678.8,8649506
2019-02-03,Dash,DASH,66.9,576039391.35,8611031
2019-01-27,Dash,DASH,71.4,613474381.2,8592090
2019-01-20,Dash,DASH,69.89,599612574.23,8579273
2019-01-13,Dash,DASH,70.26,601912035.98,8566436
2019-01-06,Dash,DASH,85.84,734199903.57,8553619
2018-12-30,Dash,DASH,81.79,698091182.88,8534832
2018-12-16,Dash,DASH,63.14,537290072.83,8509151
2018-12-02,Dash,DASH,93.04,789324066.54,8483534
2018-11-25,Dash,DASH,91.45,774065078.92,8464583
2018-12-09,Dash,DASH,76.51,650016794.3,8496339
2018-11-18,Dash,DASH,132.78,1122195145.12,8451738
2018-11-11,Dash,DASH,160.1,1350880073.43,8437465
2018-11-04,Dash,DASH,162.96,1373102041.48,8426105
2018-12-23,Dash,DASH,90.23,768904931.83,8521995
2018-10-28,Dash,DASH,156.44,1315195142.74,8407257
2018-10-21,Dash,DASH,154.56,1297464062.74,8394408
2018-10-14,Dash,DASH,157.42,1319412402.41,8381586
2018-10-07,Dash,DASH,180.25,1508482116.14,8368783
2018-09-30,Dash,DASH,187.65,1566844510.7,8349991
2018-09-23,Dash,DASH,204.9,1708246707.52,8337151
2018-09-16,Dash,DASH,192.62,1603461718.55,8324346
2018-09-09,Dash,DASH,193.36,1607093646.34,8311549
2018-09-02,Dash,DASH,212.33,1762067924.05,8298780
2018-08-26,Dash,DASH,141.74,1173573923.61,8279758
2018-07-29,Dash,DASH,240.42,1976847984.84,8222341
2018-07-22,Dash,DASH,250.58,2057154661.94,8209507
2018-07-15,Dash,DASH,231.64,1898637626.37,8196643
2018-07-08,Dash,DASH,243.54,1993066066.69,8183833
2018-08-19,Dash,DASH,154.56,1277748378.47,8266927
2018-08-05,Dash,DASH,207.02,1706102302.92,8241303
2018-06-24,Dash,DASH,238.04,1940518460.35,8152005
2018-06-17,Dash,DASH,265.77,2163127617.47,8139176
2018-06-10,Dash,DASH,274.04,2226958950.98,8126367
2018-06-03,Dash,DASH,331.19,2687149049.56,8113552
2018-05-27,Dash,DASH,315.97,2557739732.58,8094801
2018-08-12,Dash,DASH,167.91,1385980810.7,8254110
2018-05-20,Dash,DASH,402.08,3249624562.16,8082017
2018-05-13,Dash,DASH,416.84,3363601328.43,8069249
2018-05-06,Dash,DASH,485.22,3909158826.34,8056430
2018-04-29,Dash,DASH,498.69,4008356129.65,8037706
2018-04-22,Dash,DASH,467.71,3753277809.52,8024847
2018-04-15,Dash,DASH,381.7,3058232386.12,8012035
2018-04-08,Dash,DASH,310.85,2486593844.03,7999306
2018-04-01,Dash,DASH,291.53,2326517507.38,7980378
2018-07-01,Dash,DASH,235.7,1924453982.68,8164845
2018-03-25,Dash,DASH,411.79,3280915328.84,7967528
2018-03-18,Dash,DASH,394.15,3135133773.36,7954218
2018-03-11,Dash,DASH,531.8,4222765631.41,7940462
2018-03-04,Dash,DASH,620.48,4918412648.25,7926727
2018-02-25,Dash,DASH,591.69,4678037137.32,7906252
2018-02-18,Dash,DASH,689.28,5440153558.03,7892482
2018-02-04,Dash,DASH,549.96,4325431341.93,7864939
2018-01-28,Dash,DASH,812.24,6372785452.75,7845924
2018-01-21,Dash,DASH,818.27,6408817301.21,7832119
2018-01-14,Dash,DASH,1014.07,7928357240.88,7818390
2018-01-07,Dash,DASH,1285.43,10032309521.82,7804616
2017-12-31,Dash,DASH,1051.68,8189388164.0,7786970
2017-12-24,Dash,DASH,1184.69,9208779480.68,7773155
2017-12-17,Dash,DASH,1105.92,8581257771.97,7759383
2018-02-11,Dash,DASH,580.02,4569770533.04,7878688
2017-12-10,Dash,DASH,688.67,5334096639.62,7745554
2017-12-03,Dash,DASH,768.88,5944766230.65,7731760
2017-11-26,Dash,DASH,621.62,4794261359.86,7712487
2017-11-19,Dash,DASH,442.31,3405228769.26,7698724
2017-11-12,Dash,DASH,536.12,4120001306.23,7684901
2017-11-05,Dash,DASH,273.17,2095468228.88,7671066
2017-10-29,Dash,DASH,283.93,2172392016.98,7651216
2017-10-22,Dash,DASH,275.7,2105679307.62,7637437
2017-09-17,Dash,DASH,313.84,2373797302.2,7563712
2017-09-10,Dash,DASH,320.11,2416792514.18,7549938
2017-10-15,Dash,DASH,309.51,2359592289.51,7623631
2017-10-08,Dash,DASH,302.48,2301845842.59,7609811
2017-10-01,Dash,DASH,315.8,2397361020.98,7591342
2017-09-24,Dash,DASH,331.85,2514577587.79,7577532
2017-09-03,Dash,DASH,356.39,2685795201.47,7536105
2017-08-27,Dash,DASH,362.89,2728163507.58,7517880
2017-08-20,Dash,DASH,294.2,2207685200.12,7504078
2017-08-13,Dash,DASH,198.17,1484312177.21,7490259
2017-08-06,Dash,DASH,189.13,1414046355.63,7476442
2017-07-30,Dash,DASH,172.82,1288933998.58,7458079
2017-07-23,Dash,DASH,191.03,1422096913.71,7444274
2017-07-16,Dash,DASH,132.64,985597400.58,7430433
2017-07-09,Dash,DASH,195.64,1450959008.54,7416627
2017-07-02,Dash,DASH,173.49,1283557618.23,7398351
