Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2014-06-22,Dogecoin,DOGE,0.0003421,28678383.88,83821330432
2014-05-25,Dogecoin,DOGE,0.0004251,33755000.65,79396823040
2014-06-29,Dogecoin,DOGE,0.0002705,22979347.0,84949704704
2014-06-08,Dogecoin,DOGE,0.0003597,29346408.09,81594957824
2014-05-11,Dogecoin,DOGE,0.0004562,35195711.23,77153173504
2014-06-15,Dogecoin,DOGE,0.0003736,30894916.91,82692579328
2014-05-18,Dogecoin,DOGE,0.0004486,35125175.5,78300807168
2014-05-04,Dogecoin,DOGE,0.0004682,35579309.45,75990417408
2014-04-27,Dogecoin,DOGE,0.00044,32876232.54,74722787328
2014-03-23,Dogecoin,DOGE,0.0007438,47012111.95,63203540992
2014-04-20,Dogecoin,DOGE,0.0006285,45497438.97,72389541888
2014-04-13,Dogecoin,DOGE,0.0003893,27278919.27,70071287808
2014-04-06,Dogecoin,DOGE,0.0004599,31183528.2,67799293952
2014-03-30,Dogecoin,DOGE,0.0005301,34736765.65,65526542336
2014-06-01,Dogecoin,DOGE,0.0004027,32411576.04,80494583808
2022-05-15,Dogecoin,DOGE,0.09284,12317527158.07,132670764300
2022-05-08,Dogecoin,DOGE,0.1242,16478661440.15,132670764300
2022-05-01,Dogecoin,DOGE,0.1328,17615033707.19,132670764300
2022-04-03,Dogecoin,DOGE,0.1465,19430050406.19,132670764300
2022-04-24,Dogecoin,DOGE,0.1319,17505501096.17,132670764300
2022-04-17,Dogecoin,DOGE,0.1395,18502130208.75,132670764300
2022-03-27,Dogecoin,DOGE,0.1447,19201643339.56,132670764300
2022-03-20,Dogecoin,DOGE,0.1192,15808231747.9,132670764300
2022-04-10,Dogecoin,DOGE,0.1495,19838945900.65,132670764300
2022-03-13,Dogecoin,DOGE,0.1116,14807135517.0,132670764300
2022-02-27,Dogecoin,DOGE,0.1231,16333292542.72,132670764300
2022-02-20,Dogecoin,DOGE,0.1369,18158368479.33,132670764300
2022-02-13,Dogecoin,DOGE,0.1489,19761029254.18,132670764300
2022-03-06,Dogecoin,DOGE,0.1208,16022053796.04,132670764300
2022-02-06,Dogecoin,DOGE,0.1538,20400845319.46,132670764300
2022-01-30,Dogecoin,DOGE,0.1395,18503745857.41,132670764300
