Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2021-05-16,EOS,EOS,10.12,9649778824.81,953438431
2021-02-07,EOS,EOS,3.44,3272792711.56,950348329
2021-02-21,EOS,EOS,5.11,4861758696.94,950832528
2021-02-14,EOS,EOS,5.1,4843256697.44,950545338
2021-01-31,EOS,EOS,2.91,2769206402.13,950153513
2021-01-03,EOS,EOS,2.8,2625024378.63,939168384
2020-12-20,EOS,EOS,3.14,2943075513.43,938776322
2020-12-13,EOS,EOS,2.85,2673149023.9,938579629
2021-01-24,EOS,EOS,2.71,2551291495.58,939757474
2021-01-17,EOS,EOS,2.76,2596855040.16,939561446
2021-01-10,EOS,EOS,3.09,2900090457.83,939365114
2020-12-27,EOS,EOS,2.71,2549025780.05,938972219
2020-12-06,EOS,EOS,3.0,2811548431.18,938383887
2020-11-29,EOS,EOS,3.03,2845455531.96,938187808
2020-11-22,EOS,EOS,3.05,2862279200.75,937991694
2020-11-15,EOS,EOS,2.5,2342491068.59,937795598
2020-11-08,EOS,EOS,2.54,2381133944.65,937599576
2020-11-01,EOS,EOS,2.51,2354568950.58,937403631
2020-10-25,EOS,EOS,2.69,2525350721.92,937270545
2020-10-18,EOS,EOS,2.56,2395970786.03,937270545
2020-10-11,EOS,EOS,2.67,2497846111.14,937268290
2020-10-04,EOS,EOS,2.53,2367647982.48,937268290
2020-09-20,EOS,EOS,2.67,2502855509.1,936227967
2020-09-13,EOS,EOS,2.72,2545692153.16,936034948
2020-09-27,EOS,EOS,2.59,2431194008.61,937268290
2020-09-06,EOS,EOS,2.91,2725257761.1,935839187
2020-08-30,EOS,EOS,3.27,3056250509.84,935643424
2020-08-23,EOS,EOS,3.33,3110701508.74,935447698
2020-08-16,EOS,EOS,3.88,3627677085.71,935252394
2020-07-26,EOS,EOS,2.71,2536659504.18,934665827
2020-07-12,EOS,EOS,2.61,2440896878.23,934274355
2020-07-05,EOS,EOS,2.41,2248407010.23,934078941
2020-08-02,EOS,EOS,2.94,2748482971.28,934861292
2020-08-09,EOS,EOS,3.03,2836228730.48,935056853
2020-07-19,EOS,EOS,2.58,2408456950.74,934470397
2020-06-28,EOS,EOS,2.36,2204774960.03,933884327
2020-06-21,EOS,EOS,2.52,2349397862.78,933688764
2020-06-14,EOS,EOS,2.58,2405339450.79,933493413
2020-06-07,EOS,EOS,2.82,2628357333.97,933298819
2020-05-31,EOS,EOS,2.67,2491563530.52,933103520
2020-05-24,EOS,EOS,2.51,2340299894.15,932908261
2020-05-17,EOS,EOS,2.62,2413634125.6,922713039
2020-05-10,EOS,EOS,2.45,2262421180.69,922517855
2020-04-26,EOS,EOS,2.74,2522135021.91,922127928
2020-04-19,EOS,EOS,2.62,2415551517.24,921932528
2020-04-12,EOS,EOS,2.53,2335554643.45,921737493
2020-04-05,EOS,EOS,2.36,2177343710.71,921542573
2020-03-29,EOS,EOS,2.13,1963629943.96,921347741
2020-03-22,EOS,EOS,2.13,1965191547.22,921045767
2020-03-15,EOS,EOS,2.05,1888733327.3,920959040
2020-03-08,EOS,EOS,3.08,2832740555.25,920764587
2020-05-03,EOS,EOS,2.84,2621533307.94,922323058
2020-03-01,EOS,EOS,3.53,3253825123.55,920569793
2020-02-23,EOS,EOS,4.38,4181807799.5,954322744
2020-01-19,EOS,EOS,3.62,3432470109.49,949405509
2020-02-16,EOS,EOS,4.41,4206364673.14,953337786
2020-02-09,EOS,EOS,5.01,4766420166.44,951977462
2020-02-02,EOS,EOS,4.22,4017311929.48,951370481
2020-01-26,EOS,EOS,3.65,3469183865.06,950386962
2020-01-12,EOS,EOS,3.19,3027171393.44,948423407
2019-12-01,EOS,EOS,2.78,2618290742.23,942556942
2020-01-05,EOS,EOS,2.7,2559643917.93,947443787
2019-12-29,EOS,EOS,2.69,2548344835.55,946461537
2019-11-24,EOS,EOS,2.45,2307205604.79,941580899
2019-12-22,EOS,EOS,2.54,2402901553.75,945485663
2019-12-15,EOS,EOS,2.57,2430995703.17,944504388
2019-12-08,EOS,EOS,2.76,2603139257.61,943527147
2019-11-17,EOS,EOS,3.42,3218347132.48,940608996
2019-10-13,EOS,EOS,3.12,2920280356.33,935752765
2019-09-29,EOS,EOS,2.8,2611476257.42,933817036
2019-11-10,EOS,EOS,3.58,3368114310.2,939630194
2019-11-03,EOS,EOS,3.28,3083125736.82,938664398
2019-10-27,EOS,EOS,3.34,3130088274.71,937692132
2019-10-20,EOS,EOS,2.93,2740115299.66,936722563
2019-10-06,EOS,EOS,2.95,2760544953.59,934784447
2019-09-22,EOS,EOS,3.83,3575680045.06,932847190
2019-09-15,EOS,EOS,4.07,3790231233.46,931880981
2019-09-01,EOS,EOS,3.28,3047908479.86,929953584
2019-08-25,EOS,EOS,3.56,3305131642.39,928991811
2019-08-18,EOS,EOS,3.7,3436755575.19,928033272
