Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2021-08-15,Ethereum Classic,ETC,74.9,9658992135.24,128963931
2021-08-08,Ethereum Classic,ETC,57.16,7364345048.86,128839575
2021-07-25,Ethereum Classic,ETC,48.46,6239852922.12,128756891
2021-07-18,Ethereum Classic,ETC,41.99,5400358691.37,128613188
2021-07-04,Ethereum Classic,ETC,56.25,6542118089.1,116313299
2021-08-01,Ethereum Classic,ETC,50.42,6488271710.72,128692113
2021-05-23,Ethereum Classic,ETC,51.96,6044196831.23,116313299
2021-05-30,Ethereum Classic,ETC,66.37,7719247655.61,116313299
2021-07-11,Ethereum Classic,ETC,49.69,5779657381.25,116313299
2021-05-16,Ethereum Classic,ETC,93.79,10909010439.54,116313299
2021-05-09,Ethereum Classic,ETC,117.38,13652427949.21,116313299
2020-06-07,Ethereum Classic,ETC,6.85,796352760.76,116313299
2020-05-31,Ethereum Classic,ETC,6.93,806373306.32,116313299
2020-05-24,Ethereum Classic,ETC,6.61,768903376.97,116313299
2020-05-17,Ethereum Classic,ETC,6.67,776152597.94,116313299
2020-05-10,Ethereum Classic,ETC,6.2,721428587.42,116313299
2020-03-15,Ethereum Classic,ETC,5.06,588120115.62,116313299
2020-03-08,Ethereum Classic,ETC,6.49,755313500.09,116313299
2020-05-03,Ethereum Classic,ETC,7.23,840530196.32,116313299
2020-01-19,Ethereum Classic,ETC,8.51,989704404.88,116313299
2020-02-16,Ethereum Classic,ETC,9.64,1120733694.2,116313299
2020-02-09,Ethereum Classic,ETC,11.71,1362041152.53,116313299
2020-03-01,Ethereum Classic,ETC,7.76,902890981.98,116313299
2020-02-23,Ethereum Classic,ETC,9.73,1132269854.24,116313299
2020-02-02,Ethereum Classic,ETC,11.39,1324661544.7,116313299
2020-01-26,Ethereum Classic,ETC,9.14,1063542378.81,116313299
2019-09-29,Ethereum Classic,ETC,4.58,521298768.75,113872006
2019-10-06,Ethereum Classic,ETC,4.55,518461858.79,114057863
2019-09-22,Ethereum Classic,ETC,6.03,685271740.78,113686626
2019-09-01,Ethereum Classic,ETC,6.27,709299971.67,113150403
2019-08-25,Ethereum Classic,ETC,7.15,807922109.7,112979098
2019-09-15,Ethereum Classic,ETC,6.27,711078641.53,113498685
2019-08-18,Ethereum Classic,ETC,5.58,629472338.53,112806644
2019-08-04,Ethereum Classic,ETC,6.12,688533138.21,112464031
2019-09-08,Ethereum Classic,ETC,6.66,754701043.63,113321695
2019-06-09,Ethereum Classic,ETC,8.15,905908990.57,111094976
2019-07-14,Ethereum Classic,ETC,5.67,634811915.23,111949965
2019-07-07,Ethereum Classic,ETC,7.93,886493089.19,111779041
2019-06-30,Ethereum Classic,ETC,7.73,862249986.69,111607976
2019-06-23,Ethereum Classic,ETC,9.28,1033684279.46,111437501
2019-06-02,Ethereum Classic,ETC,9.52,1055459473.88,110923928
2019-05-26,Ethereum Classic,ETC,7.66,848537727.69,110751478
2019-05-19,Ethereum Classic,ETC,7.84,867391839.84,110580786
2019-05-12,Ethereum Classic,ETC,5.82,643014982.31,110409590
