Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2022-05-15,Ethereum,ETH,2145.71,259186464086.69,120793055
2022-05-08,Ethereum,ETH,2517.46,303859041426.83,120700644
2022-05-01,Ethereum,ETH,2827.76,341049885442.04,120607955
2022-04-24,Ethereum,ETH,2922.73,352230955093.53,120514258
2022-04-17,Ethereum,ETH,2993.4,360466921073.66,120420434
2022-04-03,Ethereum,ETH,3522.83,423557081705.0,120231936
2022-03-27,Ethereum,ETH,3291.58,395441924035.77,120137507
2022-03-20,Ethereum,ETH,2860.46,343377833604.3,120042908
2022-04-10,Ethereum,ETH,3211.87,386471827350.58,120326228
2022-03-13,Ethereum,ETH,2518.94,302142844336.0,119948188
2022-03-06,Ethereum,ETH,2555.04,306229430306.07,119853207
2022-02-27,Ethereum,ETH,2621.8,313983181396.22,119758550
2022-02-20,Ethereum,ETH,2628.65,314553542349.47,119663598
2022-02-13,Ethereum,ETH,2883.46,344772260795.07,119568797
2022-02-06,Ethereum,ETH,3057.48,365288302066.81,119473804
2022-01-30,Ethereum,ETH,2603.47,310798780839.25,119378825
2022-01-23,Ethereum,ETH,2535.04,302389263380.59,119283868
2021-12-12,Ethereum,ETH,4134.45,490816832310.18,118713840
2022-01-16,Ethereum,ETH,3350.92,399392136112.46,119188731
2022-01-02,Ethereum,ETH,3829.57,455713570380.85,118998781
2021-12-26,Ethereum,ETH,4067.33,483620188465.02,118903658
2021-12-19,Ethereum,ETH,3922.59,466037604378.56,118808565
2021-12-05,Ethereum,ETH,4198.32,498007875686.39,118620671
2021-11-28,Ethereum,ETH,4294.45,509016708179.06,118528862
2022-01-09,Ethereum,ETH,3157.75,376068612893.65,119093797
2021-11-21,Ethereum,ETH,4269.73,506100434404.75,118532103
2021-11-14,Ethereum,ETH,4626.36,547499259423.05,118343441
2021-11-07,Ethereum,ETH,4620.55,546381671971.18,118250238
2021-10-17,Ethereum,ETH,3847.1,453898402930.11,117984420
2021-10-31,Ethereum,ETH,4288.07,506663636947.23,118156446
2021-10-24,Ethereum,ETH,4087.9,482628847456.41,118062695
2021-10-10,Ethereum,ETH,3425.85,403822590445.88,117875054
2021-09-26,Ethereum,ETH,3062.27,360390447457.18,117687530
2021-09-19,Ethereum,ETH,3329.45,391520172702.19,117593122
2021-09-12,Ethereum,ETH,3410.13,400686506366.52,117498737
2021-09-05,Ethereum,ETH,3952.13,463997267858.18,117404250
2021-08-29,Ethereum,ETH,3227.0,378558550046.26,117309645
2021-08-15,Ethereum,ETH,3310.5,387728432649.6,117120660
2021-10-03,Ethereum,ETH,3418.36,402619122253.94,117781416
2021-08-08,Ethereum,ETH,3013.73,352685939542.18,117026282
2021-07-25,Ethereum,ETH,2191.37,256042010286.39,116840869
2021-07-18,Ethereum,ETH,1895.55,221300983040.96,116747505
2021-07-04,Ethereum,ETH,2321.72,270621669241.04,116560649
2021-08-01,Ethereum,ETH,2561.85,299564961374.27,116932962
2021-06-27,Ethereum,ETH,1978.89,230473556118.34,116465803
2021-06-20,Ethereum,ETH,2246.36,261416943133.96,116373340
2021-05-23,Ethereum,ETH,2109.58,244704904961.25,115996986
2021-06-13,Ethereum,ETH,2508.39,291673894434.5,116279249
2021-06-06,Ethereum,ETH,2715.09,315453931557.77,116185328
2021-05-30,Ethereum,ETH,2390.31,277492990926.56,116091024
2021-07-11,Ethereum,ETH,2139.66,249601597225.15,116654536
2021-05-16,Ethereum,ETH,3587.51,415801534961.89,115902666
2021-05-09,Ethereum,ETH,3928.84,454991994900.06,115808088
2021-05-02,Ethereum,ETH,2952.06,341593133885.93,115713634
2021-04-25,Ethereum,ETH,2316.06,267780847560.75,115619149
2021-04-18,Ethereum,ETH,2237.14,258444691650.46,115524748
2021-04-04,Ethereum,ETH,2093.12,241411837678.0,115335723
2021-04-11,Ethereum,ETH,2157.66,249059103191.91,115430348
2021-03-28,Ethereum,ETH,1691.36,194913443083.05,115240935
2021-02-28,Ethereum,ETH,1416.05,162650415374.43,114862145
2021-03-21,Ethereum,ETH,1788.22,205934626381.21,115161988
2021-03-14,Ethereum,ETH,1854.56,213370626929.98,115051615
2021-02-07,Ethereum,ETH,1614.23,184955254624.65,114578160
2021-03-07,Ethereum,ETH,1723.15,198088541069.55,114956971
2021-02-21,Ethereum,ETH,1935.6,222227107888.83,114810388
2021-02-14,Ethereum,ETH,1805.08,206994111569.56,114672839
