Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2017-05-07,Factom,FCT,9.85,86222891.83,8753219
2017-04-23,Factom,FCT,6.61,57820621.33,8753219
2017-04-16,Factom,FCT,6.31,55191031.05,8753219
2017-04-09,Factom,FCT,4.43,38804423.01,8753219
2017-04-02,Factom,FCT,4.01,35078267.87,8753219
2017-03-26,Factom,FCT,3.54,30994496.39,8753219
2017-04-30,Factom,FCT,8.08,70755426.22,8753219
2017-03-19,Factom,FCT,3.6,31518704.0,8753219
2017-03-12,Factom,FCT,3.48,30468888.45,8753219
2017-03-05,Factom,FCT,3.11,27196961.97,8753219
2017-02-19,Factom,FCT,3.28,28675455.91,8753219
2017-02-12,Factom,FCT,3.32,29060423.54,8753219
2017-02-05,Factom,FCT,3.55,31109177.37,8753219
2017-01-29,Factom,FCT,3.44,30103032.92,8753219
2017-01-22,Factom,FCT,3.16,27624183.68,8753219
2017-01-15,Factom,FCT,2.79,24459396.02,8753219
2017-01-08,Factom,FCT,2.94,25738942.91,8753219
2017-01-01,Factom,FCT,2.9,25392986.26,8753219
2016-12-25,Factom,FCT,2.49,21824198.16,8753219
2016-12-18,Factom,FCT,2.7,23640622.41,8753219
2016-12-11,Factom,FCT,2.07,18118674.4,8753219
2017-02-26,Factom,FCT,2.91,25468760.6,8753219
2016-12-04,Factom,FCT,1.98,17360813.07,8753219
2016-11-27,Factom,FCT,2.19,19172801.55,8753219
2016-11-20,Factom,FCT,2.21,19357267.38,8753219
2016-11-13,Factom,FCT,2.14,18760724.69,8753219
2016-10-30,Factom,FCT,2.22,19428995.17,8753219
2016-11-06,Factom,FCT,2.0,17472679.82,8753219
2016-10-16,Factom,FCT,2.51,21953395.82,8753219
2016-10-02,Factom,FCT,2.34,20511381.43,8753219
2016-09-25,Factom,FCT,3.05,26719893.94,8753219
2016-09-18,Factom,FCT,3.3,28885161.07,8753219
2016-09-11,Factom,FCT,3.25,28482172.79,8753219
2016-10-09,Factom,FCT,2.35,20551202.14,8753219
2016-09-04,Factom,FCT,2.83,24753104.29,8753219
2016-08-28,Factom,FCT,2.97,26008689.05,8753219
2016-08-21,Factom,FCT,2.38,20827958.28,8753219
2016-10-23,Factom,FCT,2.69,23540712.72,8753219
2016-08-14,Factom,FCT,2.18,19084511.89,8753219
2016-08-07,Factom,FCT,1.58,13809800.39,8753219
2016-07-31,Factom,FCT,1.7,14877980.92,8753219
2016-07-24,Factom,FCT,1.51,13217630.86,8753219
2016-07-17,Factom,FCT,1.68,14711297.82,8753219
2016-07-03,Factom,FCT,1.45,12661063.32,8753219
2016-06-26,Factom,FCT,1.07,9359349.05,8753219
2016-06-19,Factom,FCT,1.19,10410274.84,8753219
2016-05-22,Factom,FCT,1.13,9907445.74,8753219
2016-06-12,Factom,FCT,0.9798,8576373.59,8753219
2016-05-29,Factom,FCT,0.8163,7145436.62,8753219
2016-05-08,Factom,FCT,1.09,9521574.47,8753219
2016-05-01,Factom,FCT,1.2,10484937.89,8753219
2016-06-05,Factom,FCT,0.9542,8352313.48,8753219
2016-05-15,Factom,FCT,1.05,9186464.63,8753219
2016-07-10,Factom,FCT,1.53,13379676.81,8753219
2016-04-24,Factom,FCT,1.3,11337782.72,8753219
2016-04-03,Factom,FCT,1.66,14513849.2,8753219
2016-04-17,Factom,FCT,1.44,12574604.94,8753219
2016-04-10,Factom,FCT,1.23,10743542.96,8753219
2016-03-27,Factom,FCT,1.72,15035988.66,8753219
2016-03-20,Factom,FCT,1.6,14015144.92,8753219
2016-03-13,Factom,FCT,2.46,21530200.92,8753250
2016-03-06,Factom,FCT,1.89,16527437.8,8753363
2016-02-28,Factom,FCT,1.05,9211883.87,8753502
2016-02-21,Factom,FCT,1.01,8797784.96,8753502
2016-02-14,Factom,FCT,1.11,9748992.51,8753502
2016-02-07,Factom,FCT,0.9656,8452814.42,8753720
2016-01-31,Factom,FCT,0.8681,7599535.88,8753728
2016-01-24,Factom,FCT,1.02,8966776.63,8753819
2016-01-17,Factom,FCT,0.9678,8472205.53,8753819
2016-01-10,Factom,FCT,0.7174,6280052.62,8753873
2016-01-03,Factom,FCT,0.6451,5646934.57,8753873
2015-12-27,Factom,FCT,0.454,3973903.24,8753873
2015-12-20,Factom,FCT,0.2966,2597223.2,8756684
