Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2014-05-25,Feathercoin,FTC,0.07259,3204170.41,44142928
2014-06-08,Feathercoin,FTC,0.05243,2389774.41,45578288
2014-05-11,Feathercoin,FTC,0.07878,3362320.78,42680288
2014-05-18,Feathercoin,FTC,0.0757,3286294.01,43414608
2014-05-04,Feathercoin,FTC,0.08262,3464473.79,41934768
2014-03-30,Feathercoin,FTC,0.1205,4592451.57,38122800
2014-04-27,Feathercoin,FTC,0.08406,3462500.15,41192688
2014-03-23,Feathercoin,FTC,0.1508,5629610.24,37340000
2014-04-20,Feathercoin,FTC,0.1099,4441868.85,40411748
2014-04-13,Feathercoin,FTC,0.07898,3132422.67,39661848
2014-04-06,Feathercoin,FTC,0.1102,4290035.64,38915600
2014-06-01,Feathercoin,FTC,0.06105,2738997.85,44868448
2016-04-24,Feathercoin,FTC,0.0655,9720782.14,148407000
2014-11-23,Feathercoin,FTC,0.0257,1595262.38,62072050
2014-03-09,Feathercoin,FTC,0.2026,7263207.26,35857600
2014-03-02,Feathercoin,FTC,0.2067,7248950.27,35077352
2014-02-02,Feathercoin,FTC,0.2889,9240475.67,31987300
2014-02-16,Feathercoin,FTC,0.2474,8293340.81,33522850
2014-03-16,Feathercoin,FTC,0.2019,7388679.07,36595400
2014-02-09,Feathercoin,FTC,0.2045,6701452.3,32766850
2014-02-23,Feathercoin,FTC,0.268,9195530.48,34313752
2014-01-26,Feathercoin,FTC,0.3276,10211303.33,31174450
2014-01-19,Feathercoin,FTC,0.3223,9798797.58,30406950
2014-01-12,Feathercoin,FTC,0.3453,10222182.43,29604800
2014-01-05,Feathercoin,FTC,0.4388,12636810.2,28801250
2013-12-29,Feathercoin,FTC,0.3427,9589252.79,27979600
2013-12-22,Feathercoin,FTC,0.2592,7045544.63,27180250
2013-12-15,Feathercoin,FTC,0.4468,11783591.36,26372050
2013-12-08,Feathercoin,FTC,0.4457,11388199.45,25552000
2013-12-01,Feathercoin,FTC,0.975,24154271.26,24774450
2013-11-17,Feathercoin,FTC,0.06004,1388509.41,23127400
2013-11-10,Feathercoin,FTC,0.1078,2408398.36,22344550
2013-11-03,Feathercoin,FTC,0.08387,1806331.01,21537400
2013-10-27,Feathercoin,FTC,0.07465,1548705.52,20747000
2013-10-13,Feathercoin,FTC,0.09945,1907171.93,19176500
2013-10-06,Feathercoin,FTC,0.1187,2182887.18,18393050
2013-09-29,Feathercoin,FTC,0.1154,2028652.2,17584550
2013-09-22,Feathercoin,FTC,0.1175,1981195.18,16861350
2013-09-15,Feathercoin,FTC,0.1317,2133923.63,16206150
2013-09-08,Feathercoin,FTC,0.1338,2074463.63,15501200
2013-09-01,Feathercoin,FTC,0.1508,2258187.28,14975650
2013-08-25,Feathercoin,FTC,0.1307,1885131.96,14427900
2013-08-18,Feathercoin,FTC,0.1476,2041295.25,13834600
2013-08-04,Feathercoin,FTC,0.1661,2066053.89,12436600
2013-07-28,Feathercoin,FTC,0.08781,1013854.4,11546500
2013-07-14,Feathercoin,FTC,0.08238,825730.01,10023250
2013-07-07,Feathercoin,FTC,0.07531,711870.6,9452950
2013-06-30,Feathercoin,FTC,0.07826,694353.94,8872700
2013-06-23,Feathercoin,FTC,0.09899,799217.02,8073550
2013-11-24,Feathercoin,FTC,0.2323,5557748.31,23927450
2013-07-21,Feathercoin,FTC,0.08077,882015.91,10919550
2013-08-11,Feathercoin,FTC,0.1523,2001729.8,13147650
2013-06-02,Feathercoin,FTC,0.08194,545794.55,6661250
2013-05-26,Feathercoin,FTC,0.09878,654331.38,6624450
2013-05-05,Feathercoin,FTC,0.313,2017436.23,6444650
2013-06-16,Feathercoin,FTC,0.1085,817909.0,7540700
2013-05-19,Feathercoin,FTC,0.1269,833818.95,6572250
2013-06-09,Feathercoin,FTC,0.126,852774.31,6768050
2013-05-12,Feathercoin,FTC,0.1253,820221.45,6543450
2013-10-20,Feathercoin,FTC,0.07159,1428630.62,19955700
