Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2020-08-16,IOTA,MIOTA,0.4243,1179338392.73,2779530283
2020-02-02,IOTA,MIOTA,0.3085,857466759.98,2779530283
2019-12-01,IOTA,MIOTA,0.2066,574237706.74,2779530283
2019-11-24,IOTA,MIOTA,0.2036,565947118.61,2779530283
2019-10-13,IOTA,MIOTA,0.279,775394347.36,2779530283
2019-09-29,IOTA,MIOTA,0.2623,728991374.91,2779530283
2019-11-17,IOTA,MIOTA,0.2591,720280246.35,2779530283
2019-10-06,IOTA,MIOTA,0.2703,751393369.7,2779530283
2019-09-22,IOTA,MIOTA,0.2794,776502877.31,2779530283
2019-11-10,IOTA,MIOTA,0.2677,744181542.43,2779530283
2019-11-03,IOTA,MIOTA,0.27,750369699.18,2779530283
2019-10-27,IOTA,MIOTA,0.2736,760527581.12,2779530283
2019-10-20,IOTA,MIOTA,0.2709,752938604.36,2779530283
2019-09-15,IOTA,MIOTA,0.2495,693517441.87,2779530283
2019-09-01,IOTA,MIOTA,0.2416,671499176.38,2779530283
2019-08-25,IOTA,MIOTA,0.2646,735562218.73,2779530283
2019-08-18,IOTA,MIOTA,0.248,689377661.67,2779530283
2019-08-11,IOTA,MIOTA,0.2694,748804365.21,2779530283
2019-08-04,IOTA,MIOTA,0.2854,793152554.89,2779530283
2019-07-28,IOTA,MIOTA,0.2843,790201249.83,2779530283
2019-07-21,IOTA,MIOTA,0.3162,878807420.81,2779530283
2019-09-08,IOTA,MIOTA,0.2452,681418009.71,2779530283
2019-06-09,IOTA,MIOTA,0.411,1142343515.52,2779530283
2019-07-14,IOTA,MIOTA,0.3066,852338607.31,2779530283
2019-07-07,IOTA,MIOTA,0.3975,1104971993.85,2779530283
2019-06-30,IOTA,MIOTA,0.3921,1089939500.62,2779530283
2019-06-23,IOTA,MIOTA,0.4493,1248981682.72,2779530283
2019-06-02,IOTA,MIOTA,0.4902,1362585772.53,2779530283
2019-05-26,IOTA,MIOTA,0.4105,1140996815.89,2779530283
2019-05-19,IOTA,MIOTA,0.424,1178610948.95,2779530283
2019-05-12,IOTA,MIOTA,0.3047,846930950.6,2779530283
2019-05-05,IOTA,MIOTA,0.3043,845740596.64,2779530283
2019-04-28,IOTA,MIOTA,0.2741,761900479.35,2779530283
2019-06-16,IOTA,MIOTA,0.4469,1242215036.34,2779530283
2019-04-21,IOTA,MIOTA,0.3062,851156832.34,2779530283
2019-04-14,IOTA,MIOTA,0.3169,880875914.12,2779530283
2019-04-07,IOTA,MIOTA,0.3625,1007543918.2,2779530283
2019-03-31,IOTA,MIOTA,0.3075,854747405.5,2779530283
2019-03-24,IOTA,MIOTA,0.3092,859499944.44,2779530283
2019-03-17,IOTA,MIOTA,0.2982,828748903.27,2779530283
2019-03-10,IOTA,MIOTA,0.2822,784319090.8,2779530283
2019-02-17,IOTA,MIOTA,0.2778,772095479.01,2779530283
2019-03-03,IOTA,MIOTA,0.2864,796100170.13,2779530283
2019-02-10,IOTA,MIOTA,0.2798,777847783.58,2779530283
2019-02-24,IOTA,MIOTA,0.2846,791001091.1,2779530283
2019-02-03,IOTA,MIOTA,0.2495,693384830.13,2779530283
2019-01-27,IOTA,MIOTA,0.276,767212408.53,2779530283
2019-01-20,IOTA,MIOTA,0.3019,839047167.45,2779530283
2019-01-13,IOTA,MIOTA,0.2946,818882842.23,2779530283
2019-01-06,IOTA,MIOTA,0.3809,1058789309.41,2779530283
2018-12-30,IOTA,MIOTA,0.3608,1002877280.23,2779530283
2018-12-16,IOTA,MIOTA,0.2225,618399305.09,2779530283
2018-12-09,IOTA,MIOTA,0.2442,678867293.42,2779530283
2018-12-02,IOTA,MIOTA,0.2963,823651399.44,2779530283
2018-11-25,IOTA,MIOTA,0.2875,799100633.61,2779530283
2018-11-18,IOTA,MIOTA,0.4127,1146976743.41,2779530283
2018-11-11,IOTA,MIOTA,0.4828,1341983467.33,2779530283
2018-11-04,IOTA,MIOTA,0.4968,1380736899.12,2779530283
2018-12-23,IOTA,MIOTA,0.362,1006225204.74,2779530283
2018-10-28,IOTA,MIOTA,0.4811,1337151648.3,2779530283
2018-10-21,IOTA,MIOTA,0.4928,1369867327.37,2779530283
2018-10-14,IOTA,MIOTA,0.4838,1344675766.58,2779530283
