Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2018-03-18,Lisk,LSK,12.25,1261147194.46,102960330
2018-03-11,Lisk,LSK,14.92,1532649052.52,102718630
2018-03-04,Lisk,LSK,18.92,1939302218.84,102476831
2018-02-18,Lisk,LSK,29.69,3509431893.78,118210620
2018-02-25,Lisk,LSK,20.01,2045782335.97,102235112
2018-02-04,Lisk,LSK,20.01,2355455676.7,117727964
2018-01-21,Lisk,LSK,22.12,2593098873.89,117245196
2018-01-14,Lisk,LSK,27.72,3242889156.25,117005976
2018-01-07,Lisk,LSK,34.11,3983197347.79,116765592
2018-02-11,Lisk,LSK,25.28,2982158713.78,117969328
2017-12-24,Lisk,LSK,20.02,2327455595.18,116283508
2017-11-19,Lisk,LSK,9.74,1120631118.22,115076256
2017-12-10,Lisk,LSK,7.94,918971489.94,115801244
2017-12-03,Lisk,LSK,7.74,894327760.48,115559496
2017-11-26,Lisk,LSK,7.51,866591070.99,115317768
2017-10-22,Lisk,LSK,4.74,540257586.64,113887855
2017-11-12,Lisk,LSK,5.5,631277039.17,114794045
2017-11-05,Lisk,LSK,4.44,508803199.06,114492175
2017-10-29,Lisk,LSK,4.88,556930023.56,114189840
2017-09-17,Lisk,LSK,5.57,626100279.58,112377325
2017-09-10,Lisk,LSK,6.57,736327421.68,112075455
2017-10-01,Lisk,LSK,5.51,622907423.68,112981560
2017-09-24,Lisk,LSK,5.75,648344629.6,112679385
2017-10-15,Lisk,LSK,4.91,557859540.3,113585690
2017-10-08,Lisk,LSK,4.66,528449565.95,113283495
2017-09-03,Lisk,LSK,7.08,790981247.95,111773370
2017-08-27,Lisk,LSK,6.86,765071484.68,111482570
2017-08-20,Lisk,LSK,3.4,378305360.12,111182070
2017-06-25,Lisk,LSK,3.04,330272281.5,108786925
2017-06-11,Lisk,LSK,3.91,423160535.97,108186185
2017-04-30,Lisk,LSK,0.5885,62600537.24,106379215
2017-01-29,Lisk,LSK,0.1579,16180170.3,102481070
2017-01-22,Lisk,LSK,0.1556,15895153.99,102182855
2017-01-15,Lisk,LSK,0.1611,16418306.84,101883510
2017-01-08,Lisk,LSK,0.1577,16023730.34,101584820
2017-01-01,Lisk,LSK,0.1502,15220159.16,101301175
2016-12-25,Lisk,LSK,0.1419,14298781.5,100797735
2016-12-18,Lisk,LSK,0.1504,15039043.13,100000000
2016-12-11,Lisk,LSK,0.1355,13548110.43,100000000
2016-12-04,Lisk,LSK,0.1535,15346978.6,100000000
2016-11-27,Lisk,LSK,0.1573,15728764.24,100000000
2016-11-20,Lisk,LSK,0.1644,16435937.58,100000000
2016-11-13,Lisk,LSK,0.1813,18130256.24,100000000
2016-10-30,Lisk,LSK,0.1685,16847221.55,100000000
2016-11-06,Lisk,LSK,0.2152,21519413.59,100000000
2016-10-09,Lisk,LSK,0.2151,21513544.02,100000000
2016-10-16,Lisk,LSK,0.1808,18082371.35,100000000
2016-10-02,Lisk,LSK,0.2255,22549615.8,100000000
2016-09-25,Lisk,LSK,0.2467,24672304.09,100000000
2016-09-18,Lisk,LSK,0.2552,25516924.26,100000000
2016-09-11,Lisk,LSK,0.2449,24493908.88,100000000
2016-09-04,Lisk,LSK,0.2434,24339278.04,100000000
2016-08-28,Lisk,LSK,0.2584,25840425.49,100000000
2016-08-21,Lisk,LSK,0.3112,31119072.44,100000000
2016-08-14,Lisk,LSK,0.2392,23917366.56,100000000
2016-10-23,Lisk,LSK,0.1705,17047198.12,100000000
2016-08-07,Lisk,LSK,0.2233,22333556.41,100000000
2016-07-31,Lisk,LSK,0.2691,26908704.64,100000000
2016-07-24,Lisk,LSK,0.2872,28723785.28,100000000
2016-07-17,Lisk,LSK,0.3155,31546151.64,100000000
2016-07-03,Lisk,LSK,0.3014,30140632.39,100000000
2016-06-26,Lisk,LSK,0.3235,32354781.03,100000000
2016-06-19,Lisk,LSK,0.3631,36306253.08,100000000
2016-06-12,Lisk,LSK,0.4219,42187070.85,100000000
2016-05-29,Lisk,LSK,0.3773,37733700.87,100000000
2016-06-05,Lisk,LSK,0.4896,48962807.66,100000000
2016-07-10,Lisk,LSK,0.2957,29568928.48,100000000
