Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2013-04-28,Litecoin,LTC,4.35,74637021.57,17164230
2014-06-22,Litecoin,LTC,9.77,288634374.98,29533704
2014-05-25,Litecoin,LTC,11.53,330645753.88,28682654
2014-06-29,Litecoin,LTC,8.96,266478959.54,29748054
2014-06-08,Litecoin,LTC,11.27,328135874.85,29113104
2014-05-11,Litecoin,LTC,10.36,292765103.13,28267354
2014-06-15,Litecoin,LTC,9.94,291408589.21,29318004
2014-05-18,Litecoin,LTC,10.36,295067065.81,28480054
2014-05-04,Litecoin,LTC,10.32,289709891.41,28071404
2014-04-27,Litecoin,LTC,9.92,276208387.73,27855204
2014-03-23,Litecoin,LTC,15.36,412286541.91,26841654
2014-04-20,Litecoin,LTC,12.62,348853045.83,27636204
2014-04-13,Litecoin,LTC,10.31,283018225.14,27445854
2014-04-06,Litecoin,LTC,11.64,317256245.49,27248504
2014-03-30,Litecoin,LTC,13.14,355253343.22,27040654
2014-06-01,Litecoin,LTC,11.14,321886161.81,28898054
2022-05-15,Litecoin,LTC,71.53,5028037304.83,70292344
2022-03-27,Litecoin,LTC,129.4,9049850375.67,69938381
2022-03-20,Litecoin,LTC,114.83,8025097838.83,69887294
2022-02-20,Litecoin,LTC,110.83,7723216341.64,69683969
2022-02-13,Litecoin,LTC,126.2,8787953885.83,69632807
2021-12-12,Litecoin,LTC,159.2,11013058759.25,69175782
2022-01-02,Litecoin,LTC,151.26,10486459759.57,69329445
2021-12-26,Litecoin,LTC,155.99,10806756315.88,69277482
2021-12-19,Litecoin,LTC,153.08,10596915193.66,69225757
2021-12-05,Litecoin,LTC,156.41,10811735664.35,69124420
2021-11-28,Litecoin,LTC,199.35,13770000646.31,69073032
2021-11-14,Litecoin,LTC,278.01,19175487237.11,68974708
2021-11-21,Litecoin,LTC,221.77,15318820823.05,69074657
2021-11-07,Litecoin,LTC,202.05,13925853206.52,68922358
2021-10-17,Litecoin,LTC,183.73,12636945961.16,68779783
2021-10-31,Litecoin,LTC,191.82,13211081241.41,68873583
2021-10-24,Litecoin,LTC,190.91,13138607692.99,68822508
2021-10-10,Litecoin,LTC,175.32,12048025335.26,68720758
2021-09-26,Litecoin,LTC,150.64,10055671731.59,66752615
2021-09-05,Litecoin,LTC,231.33,15442148516.16,66752615
2021-09-19,Litecoin,LTC,175.74,11731144962.9,66752615
2021-09-12,Litecoin,LTC,183.23,12231380256.24,66752615
2021-08-29,Litecoin,LTC,174.7,11661964188.36,66752615
2021-08-15,Litecoin,LTC,184.9,12342845252.59,66752615
2021-10-03,Litecoin,LTC,170.61,11397285466.4,66803165
2021-08-08,Litecoin,LTC,149.85,10002728109.08,66752615
2021-07-18,Litecoin,LTC,119.51,7977715524.35,66752415
2021-07-04,Litecoin,LTC,144.91,9672815312.51,66752415
2021-07-25,Litecoin,LTC,127.6,8517473114.65,66752415
2021-08-01,Litecoin,LTC,140.74,9394436650.26,66752415
2021-06-27,Litecoin,LTC,132.35,8834541326.01,66752415
2021-06-20,Litecoin,LTC,155.09,10352804486.9,66752415
2021-05-23,Litecoin,LTC,143.52,9580263561.28,66752415
2021-06-13,Litecoin,LTC,170.93,11410049187.31,66752415
2021-05-30,Litecoin,LTC,170.98,11413209327.59,66752415
2021-06-06,Litecoin,LTC,176.64,11791108474.36,66752415
2021-07-11,Litecoin,LTC,134.25,8961233126.24,66752415
2021-05-16,Litecoin,LTC,296.63,19800570913.63,66752415
2021-05-09,Litecoin,LTC,386.45,25796522602.13,66752415
2021-05-02,Litecoin,LTC,269.1,17963366444.69,66752415
2021-04-25,Litecoin,LTC,223.63,14928033321.88,66752415
2021-04-18,Litecoin,LTC,273.1,18230006101.38,66752415
2021-04-04,Litecoin,LTC,204.04,13620356609.06,66752415
2021-04-11,Litecoin,LTC,253.63,16930713065.35,66752415
2021-03-28,Litecoin,LTC,185.03,12351098573.27,66752415
2021-02-28,Litecoin,LTC,164.93,10978655640.65,66566688
2021-03-21,Litecoin,LTC,196.43,13104314652.02,66713152
2021-03-14,Litecoin,LTC,215.3,14350314678.57,66653852
2021-02-07,Litecoin,LTC,151.14,10041267657.73,66436829
2021-03-07,Litecoin,LTC,190.76,12707914232.95,66617600
2021-02-21,Litecoin,LTC,227.23,15119642134.26,66538538
2021-02-14,Litecoin,LTC,214.43,14256947120.62,66487567
2021-08-22,Litecoin,LTC,186.31,12436886133.32,66752615
2021-01-31,Litecoin,LTC,129.57,8602571147.43,66392815
2021-01-24,Litecoin,LTC,141.48,9387244667.67,66351591
2021-01-17,Litecoin,LTC,142.43,9443391846.2,66301604
2021-01-10,Litecoin,LTC,171.11,11335608545.88,66245618
2021-01-03,Litecoin,LTC,160.19,10610100156.81,66234230
2020-12-27,Litecoin,LTC,127.52,8439551136.23,66183749
2020-12-20,Litecoin,LTC,114.67,7583089812.36,66131986
2020-12-13,Litecoin,LTC,82.0,5418690204.45,66081073
2020-12-06,Litecoin,LTC,83.56,5517178550.56,66030236
2020-11-29,Litecoin,LTC,79.24,5227758601.74,65977839
2020-11-22,Litecoin,LTC,82.7,5452444708.33,65927052
2020-11-15,Litecoin,LTC,62.28,4103576321.19,65889235
2020-11-08,Litecoin,LTC,61.06,4019845346.34,65839690
2020-11-01,Litecoin,LTC,55.59,3656933388.56,65786828
2020-10-25,Litecoin,LTC,58.67,3858297296.33,65757315
2020-10-18,Litecoin,LTC,47.62,3131333477.64,65757315
2020-10-11,Litecoin,LTC,50.73,3335710974.73,65756928
2020-10-04,Litecoin,LTC,46.73,3072828147.16,65756928
2020-09-27,Litecoin,LTC,46.09,3030848264.38,65756928
2020-09-20,Litecoin,LTC,47.1,3085167468.42,65501757
2020-09-13,Litecoin,LTC,48.07,3145983705.15,65451282
2020-09-06,Litecoin,LTC,48.05,3142675721.59,65399420
2020-08-30,Litecoin,LTC,62.73,4099231860.25,65352087
2020-08-23,Litecoin,LTC,60.62,3958807135.57,65301787
2020-08-16,Litecoin,LTC,63.83,4165123797.33,65256923
2020-08-02,Litecoin,LTC,56.64,3691130076.2,65166596
2020-07-26,Litecoin,LTC,47.98,3124123307.28,65114771
2020-07-12,Litecoin,LTC,44.64,2902091664.41,65016692
2020-07-05,Litecoin,LTC,41.6,2702477997.47,64966421
2020-08-09,Litecoin,LTC,57.14,3725788181.86,65205660
2020-07-19,Litecoin,LTC,42.55,2768772724.78,65066867
2020-06-28,Litecoin,LTC,41.41,2687972549.24,64913908
2020-06-21,Litecoin,LTC,43.09,2794826423.85,64864058
2020-06-14,Litecoin,LTC,44.08,2863412897.3,64952788
2020-06-07,Litecoin,LTC,46.67,3029051320.83,64906385
2020-05-31,Litecoin,LTC,45.59,2956928358.32,64856460
2020-05-24,Litecoin,LTC,42.45,2750870493.12,64804293
2020-05-17,Litecoin,LTC,43.64,2825893814.07,64753431
2020-05-10,Litecoin,LTC,42.37,2741254063.46,64701618
2020-04-26,Litecoin,LTC,44.69,2886855017.58,64598656
2020-04-19,Litecoin,LTC,42.63,2751996674.54,64548206
2020-04-12,Litecoin,LTC,42.45,2737892510.36,64496445
2020-04-05,Litecoin,LTC,40.67,2620968038.64,64444531
2020-03-29,Litecoin,LTC,37.33,2403961159.01,64393181
2020-03-22,Litecoin,LTC,35.63,2292391577.96,64342318
2020-03-15,Litecoin,LTC,36.44,2342660615.55,64293293
2020-03-08,Litecoin,LTC,51.73,3323571635.85,64250175
2020-05-03,Litecoin,LTC,48.27,3120493727.3,64650456
2020-03-01,Litecoin,LTC,57.96,3720790354.57,64199500
2020-02-23,Litecoin,LTC,79.54,5102126284.55,64148112
2020-01-19,Litecoin,LTC,57.8,3693201721.78,63895457
2020-02-16,Litecoin,LTC,75.15,4817137103.87,64098084
2020-02-09,Litecoin,LTC,77.09,4937660993.83,64048460
2020-02-02,Litecoin,LTC,70.23,4494447998.53,63994722
2020-01-26,Litecoin,LTC,56.21,3594505100.17,63944699
2020-01-12,Litecoin,LTC,51.08,3261300810.32,63846002
2019-12-01,Litecoin,LTC,47.71,3041545709.07,63749132
2020-01-05,Litecoin,LTC,43.55,2778396524.61,63793157
2019-12-29,Litecoin,LTC,43.67,2783708411.61,63743219
2019-11-24,Litecoin,LTC,44.73,2849656911.63,63701938
2019-12-22,Litecoin,LTC,41.97,2672823095.24,63691432
2019-12-15,Litecoin,LTC,43.76,2784724200.68,63640907
2019-12-08,Litecoin,LTC,45.95,2931804622.03,63800146
2019-11-17,Litecoin,LTC,59.57,3794900734.42,63701446
2019-10-13,Litecoin,LTC,56.71,3599137699.36,63461192
2019-09-29,Litecoin,LTC,54.32,3441861229.43,63363217
2019-11-10,Litecoin,LTC,63.84,4063643935.84,63652108
2019-11-03,Litecoin,LTC,58.63,3728676101.93,63601946
2019-10-27,Litecoin,LTC,59.91,3807830063.14,63554942
2019-10-20,Litecoin,LTC,54.93,3488800280.96,63508504
2019-10-06,Litecoin,LTC,55.41,3513746873.64,63411792
2019-09-22,Litecoin,LTC,72.62,4597645596.35,63314392
2019-09-15,Litecoin,LTC,70.32,4448378326.73,63263417
2019-09-01,Litecoin,LTC,66.14,4177872604.63,63162599
2019-08-25,Litecoin,LTC,72.31,4563612040.24,63113387
2019-08-18,Litecoin,LTC,76.27,4809876076.86,63063843
2019-08-11,Litecoin,LTC,89.75,5655924170.02,63016781
2019-08-04,Litecoin,LTC,93.2,5868857449.0,62968018
2019-07-28,Litecoin,LTC,89.77,5643415872.97,62865743
2019-07-21,Litecoin,LTC,99.63,6253213997.82,62765887
2019-09-08,Litecoin,LTC,70.55,4459610896.98,63212629
2019-07-14,Litecoin,LTC,89.77,5625773339.07,62668412
2019-07-07,Litecoin,LTC,120.32,7527688154.66,62563441
2019-06-30,Litecoin,LTC,122.25,7636046758.42,62463001
2019-06-23,Litecoin,LTC,136.88,8536077179.26,62360769
2019-06-09,Litecoin,LTC,115.13,7156126159.81,62155676
2019-06-02,Litecoin,LTC,114.7,7117549253.45,62052076
2019-05-26,Litecoin,LTC,111.42,6902346395.21,61949676
2019-05-19,Litecoin,LTC,95.32,5895349548.69,61847201
2019-05-12,Litecoin,LTC,84.57,5221525879.07,61745336
2019-05-05,Litecoin,LTC,75.98,4683927727.29,61643308
2019-04-28,Litecoin,LTC,69.73,4291106337.09,61541708
2019-06-16,Litecoin,LTC,137.12,8536706966.92,62256175
2019-04-21,Litecoin,LTC,77.33,4751522316.95,61443509
2019-04-14,Litecoin,LTC,82.94,5087597682.6,61342534
2019-04-07,Litecoin,LTC,92.31,5653406711.33,61242136
2019-03-31,Litecoin,LTC,60.76,3714371560.23,61136486
2019-03-24,Litecoin,LTC,60.22,3675521098.03,61030961
2019-03-17,Litecoin,LTC,61.24,3731425000.77,60927411
2019-03-10,Litecoin,LTC,57.18,3478033205.33,60824061
2019-02-17,Litecoin,LTC,43.93,2658324155.44,60514975
2019-03-03,Litecoin,LTC,48.38,2937680217.52,60720561
2019-02-10,Litecoin,LTC,46.83,2828937241.05,60412000
2019-02-24,Litecoin,LTC,44.68,2708358746.26,60618711
2019-02-03,Litecoin,LTC,33.44,2016740847.84,60310581
2019-01-27,Litecoin,LTC,32.59,1962484749.3,60212150
2019-01-20,Litecoin,LTC,31.18,1873953844.26,60108075
2019-01-13,Litecoin,LTC,30.33,1820214943.64,60007950
2019-01-06,Litecoin,LTC,39.3,2354185201.46,59904678
2018-12-30,Litecoin,LTC,31.98,1912263647.77,59802127
2018-12-16,Litecoin,LTC,25.6,1525579985.74,59599463
2018-12-09,Litecoin,LTC,25.95,1543919019.04,59502742
2018-12-02,Litecoin,LTC,33.71,2002705712.11,59404288
2018-11-25,Litecoin,LTC,30.89,1832204951.66,59309663
2018-11-18,Litecoin,LTC,42.33,2506544313.18,59217313
2018-11-11,Litecoin,LTC,51.36,3036597315.24,59118088
2018-11-04,Litecoin,LTC,53.61,3164414394.8,59023852
2018-12-23,Litecoin,LTC,33.46,1997631552.17,59702659
2018-10-28,Litecoin,LTC,51.94,3060376979.05,58924252
2018-10-21,Litecoin,LTC,52.92,3112804523.52,58825652
2018-10-14,Litecoin,LTC,52.19,3064782038.13,58726427
2018-10-07,Litecoin,LTC,58.16,3409619931.88,58624527
2018-09-30,Litecoin,LTC,61.14,3578366271.14,58525577
2018-09-23,Litecoin,LTC,61.37,3585373355.85,58425706
2018-09-16,Litecoin,LTC,56.97,3322793844.85,58322556
2018-09-09,Litecoin,LTC,54.92,3197783032.54,58221728
2018-09-02,Litecoin,LTC,65.65,3815602835.1,58120904
2018-08-26,Litecoin,LTC,57.33,3326564155.1,58020705
2018-07-29,Litecoin,LTC,84.08,4845428768.9,57625982
2018-07-22,Litecoin,LTC,83.16,4783253117.26,57521307
2018-07-15,Litecoin,LTC,78.94,4532784780.95,57421358
2018-07-08,Litecoin,LTC,82.4,4722977737.5,57320471
2018-08-19,Litecoin,LTC,57.94,3355767780.98,57919023
2018-08-05,Litecoin,LTC,74.59,4305371522.04,57720932
2018-06-24,Litecoin,LTC,80.78,4614286041.69,57123696
2018-06-17,Litecoin,LTC,96.1,5480224167.45,57024746
2018-06-10,Litecoin,LTC,107.04,6093553542.77,56925873
2018-06-03,Litecoin,LTC,125.5,7131021784.5,56820673
2018-05-27,Litecoin,LTC,117.99,6692979336.9,56723923
2018-08-12,Litecoin,LTC,59.33,3430381755.24,57820484
2018-05-20,Litecoin,LTC,139.7,7910018538.18,56622313
2018-05-13,Litecoin,LTC,144.59,8172172289.61,56520263
2018-05-06,Litecoin,LTC,171.8,9692237655.61,56415788
2018-04-29,Litecoin,LTC,153.63,8650931430.07,56309738
2018-04-22,Litecoin,LTC,146.77,8249634515.38,56206363
2018-04-15,Litecoin,LTC,132.04,7407712992.14,56100063
2018-04-08,Litecoin,LTC,117.67,6589375276.68,55998437
2018-04-01,Litecoin,LTC,115.22,6440317479.29,55894645
2018-07-01,Litecoin,LTC,80.24,4591722923.09,57222796
2018-03-25,Litecoin,LTC,160.08,8931031385.19,55789806
2018-03-18,Litecoin,LTC,154.07,8580212638.43,55688756
2018-03-11,Litecoin,LTC,188.95,10502772246.49,55586218
2018-03-04,Litecoin,LTC,213.8,11862054985.01,55482245
2018-02-25,Litecoin,LTC,220.47,12209954707.35,55380233
2018-02-18,Litecoin,LTC,215.74,11925651797.93,55278908
2018-02-04,Litecoin,LTC,148.02,8151907849.49,55071158
2018-01-28,Litecoin,LTC,193.87,10656048011.33,54966283
2018-01-21,Litecoin,LTC,190.42,10446768151.11,54861458
2018-01-14,Litecoin,LTC,238.68,13069643556.5,54759083
2018-01-07,Litecoin,LTC,288.45,15766509797.32,54659308
2017-12-31,Litecoin,LTC,232.1,12663197417.17,54560158
2017-12-24,Litecoin,LTC,275.98,15028951029.22,54456683
2017-12-17,Litecoin,LTC,318.72,17323837062.47,54354533
2018-02-11,Litecoin,LTC,148.99,8220589670.62,55175308
2017-12-10,Litecoin,LTC,148.66,8063855846.81,54243508
2017-12-03,Litecoin,LTC,101.26,5479548241.69,54112108
2017-11-26,Litecoin,LTC,85.93,4640578368.35,54006208
2017-11-19,Litecoin,LTC,71.59,3858886714.21,53903108
2017-11-12,Litecoin,LTC,59.01,3174661131.13,53802907
2017-11-05,Litecoin,LTC,54.75,2939686652.0,53696457
2017-10-29,Litecoin,LTC,57.11,3060678891.61,53596032
2017-10-22,Litecoin,LTC,56.81,3038822953.13,53492957
2017-09-17,Litecoin,LTC,48.49,2568944683.8,52978632
2017-09-10,Litecoin,LTC,61.61,3257754252.61,52874057
2017-10-15,Litecoin,LTC,65.47,3495463290.93,53392407
2017-10-08,Litecoin,LTC,53.14,2832003111.61,53290607
2017-10-01,Litecoin,LTC,54.54,2901079182.35,53188507
2017-09-24,Litecoin,LTC,47.62,2527744022.99,53083507
2017-09-03,Litecoin,LTC,76.84,4054988819.86,52769807
2017-08-27,Litecoin,LTC,61.16,3220426376.25,52656832
2017-08-20,Litecoin,LTC,46.23,2429289240.67,52546782
2017-08-13,Litecoin,LTC,45.81,2402844118.49,52449207
2017-08-06,Litecoin,LTC,45.1,2360944162.52,52345607
2017-07-30,Litecoin,LTC,40.42,2111805504.49,52243982
2017-07-23,Litecoin,LTC,44.06,2296963846.49,52137507
2017-07-16,Litecoin,LTC,40.91,2128385514.95,52022407
2017-07-09,Litecoin,LTC,49.58,2574187082.47,51919307
2017-07-02,Litecoin,LTC,41.57,2153779043.32,51813832
2017-06-25,Litecoin,LTC,43.92,2271525851.06,51714482
2017-06-18,Litecoin,LTC,46.04,2376273084.09,51611432
2017-06-11,Litecoin,LTC,33.22,1710729365.69,51502782
2017-06-04,Litecoin,LTC,27.94,1436514967.86,51415482
2017-05-28,Litecoin,LTC,24.22,1242754871.3,51309882
2017-05-21,Litecoin,LTC,26.3,1346702261.78,51208957
2017-05-14,Litecoin,LTC,28.89,1476620104.6,51106507
2017-05-07,Litecoin,LTC,30.29,1544711754.97,50995607
2017-04-23,Litecoin,LTC,13.94,707832279.23,50780432
2017-04-16,Litecoin,LTC,10.71,542862913.31,50664282
2017-04-09,Litecoin,LTC,8.71,440413282.78,50564982
2017-04-02,Litecoin,LTC,7.74,390795689.84,50461032
2017-03-26,Litecoin,LTC,4.06,204508708.4,50362382
2017-04-30,Litecoin,LTC,15.71,799087241.91,50879132
2017-03-19,Litecoin,LTC,3.96,198853205.59,50260982
2017-03-12,Litecoin,LTC,3.84,192735021.15,50157832
2017-03-05,Litecoin,LTC,3.9,195313674.46,50060407
2017-02-19,Litecoin,LTC,3.76,187593055.55,49861857
