Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2014-06-22,MaidSafeCoin,MAID,0.01406,6362881.89,452552416
2014-05-25,MaidSafeCoin,MAID,0.0137,6200535.83,452552416
2014-06-08,MaidSafeCoin,MAID,0.01902,8608359.76,452552416
2014-06-29,MaidSafeCoin,MAID,0.01541,6974928.34,452552416
2014-05-11,MaidSafeCoin,MAID,0.01206,5458978.53,452552416
2014-06-15,MaidSafeCoin,MAID,0.01581,7156411.36,452552416
2014-05-18,MaidSafeCoin,MAID,0.01322,5984489.14,452552416
2014-05-04,MaidSafeCoin,MAID,0.01269,5743611.4,452552416
2014-06-01,MaidSafeCoin,MAID,0.01439,6512654.6,452552416
2017-05-28,MaidSafeCoin,MAID,0.3574,161748719.39,452552412
2017-05-14,MaidSafeCoin,MAID,0.3488,157857687.33,452552412
2017-05-07,MaidSafeCoin,MAID,0.324,146606454.53,452552412
2017-04-23,MaidSafeCoin,MAID,0.2291,103687109.8,452552412
2017-04-16,MaidSafeCoin,MAID,0.2073,93792275.95,452552412
2017-04-09,MaidSafeCoin,MAID,0.1875,84873895.59,452552412
2017-04-02,MaidSafeCoin,MAID,0.1743,78871199.74,452552412
2017-03-26,MaidSafeCoin,MAID,0.1393,63029992.23,452552412
2017-04-30,MaidSafeCoin,MAID,0.2536,114767521.57,452552412
2017-03-19,MaidSafeCoin,MAID,0.1662,75201680.02,452552412
2017-03-12,MaidSafeCoin,MAID,0.1696,76730990.49,452552412
2017-03-05,MaidSafeCoin,MAID,0.1675,75819909.04,452552412
2017-02-19,MaidSafeCoin,MAID,0.191,86427840.27,452552412
2017-02-12,MaidSafeCoin,MAID,0.1812,81990000.19,452552412
2017-02-05,MaidSafeCoin,MAID,0.1502,67984388.74,452552412
2017-01-29,MaidSafeCoin,MAID,0.1342,60747729.97,452552412
2017-01-22,MaidSafeCoin,MAID,0.1206,54574182.75,452552412
2017-01-15,MaidSafeCoin,MAID,0.1076,48713593.87,452552412
2017-01-08,MaidSafeCoin,MAID,0.09385,42473430.43,452552412
2017-01-01,MaidSafeCoin,MAID,0.09692,43862002.88,452552412
2016-12-25,MaidSafeCoin,MAID,0.09881,44717207.22,452552412
2016-12-18,MaidSafeCoin,MAID,0.09472,42866981.02,452552412
2016-12-11,MaidSafeCoin,MAID,0.06617,29944246.49,452552412
2017-02-26,MaidSafeCoin,MAID,0.1756,79468044.95,452552412
2016-12-04,MaidSafeCoin,MAID,0.06123,27710832.86,452552412
2016-11-27,MaidSafeCoin,MAID,0.07026,31795292.04,452552412
2016-11-20,MaidSafeCoin,MAID,0.07064,31968318.21,452552412
2016-11-13,MaidSafeCoin,MAID,0.08,36202836.7,452552412
2016-11-06,MaidSafeCoin,MAID,0.07818,35381748.01,452552412
2016-10-30,MaidSafeCoin,MAID,0.07767,35148535.6,452552412
2016-10-16,MaidSafeCoin,MAID,0.08926,40395939.63,452552412
2016-10-09,MaidSafeCoin,MAID,0.08523,38571426.6,452552412
2016-10-02,MaidSafeCoin,MAID,0.08885,40210427.76,452552412
2016-09-25,MaidSafeCoin,MAID,0.08533,38614383.06,452552412
2016-09-18,MaidSafeCoin,MAID,0.0952,43083799.84,452552412
2016-09-11,MaidSafeCoin,MAID,0.1016,45976323.62,452552412
2016-09-04,MaidSafeCoin,MAID,0.08825,39937472.2,452552412
