Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2014-06-22,Monero,XMR,4.35,6961751.63,1601599
2014-05-25,Monero,XMR,3.14,2993342.43,953730
2014-06-29,Monero,XMR,2.54,4480594.56,1761064
2014-06-15,Monero,XMR,2.69,3863689.13,1435227
2021-02-28,Monero,XMR,217.99,3891382922.75,17851239
2021-02-14,Monero,XMR,230.7,4115608586.5,17839685
2021-01-31,Monero,XMR,138.06,2461328838.56,17827874
2021-01-03,Monero,XMR,138.06,2458046204.5,17803618
2020-12-13,Monero,XMR,151.91,2701686452.85,17784792
2021-01-24,Monero,XMR,137.47,2449982300.7,17821881
2021-01-17,Monero,XMR,159.58,2843108153.8,17815879
2021-01-10,Monero,XMR,185.14,3297266767.21,17809780
2020-12-27,Monero,XMR,157.26,2798785869.76,17797384
2020-12-20,Monero,XMR,152.5,2713151523.74,17791156
2020-12-06,Monero,XMR,134.65,2393871508.29,17778400
2020-11-22,Monero,XMR,123.33,2190908439.18,17764045
2020-11-08,Monero,XMR,120.33,2136196488.4,17752206
2020-11-01,Monero,XMR,126.56,2245789059.92,17745516
2020-10-25,Monero,XMR,130.8,2320502857.62,17740941
2020-11-29,Monero,XMR,123.99,2203590270.62,17771961
2020-11-15,Monero,XMR,114.62,2035536334.01,17758852
2020-10-18,Monero,XMR,123.63,2193241718.62,17740941
2020-10-11,Monero,XMR,125.92,2233963468.25,17740868
2020-10-04,Monero,XMR,105.56,1872781773.73,17740868
2020-09-27,Monero,XMR,97.18,1724090454.15,17740868
2020-09-20,Monero,XMR,93.36,1652871343.41,17703942
2020-09-13,Monero,XMR,89.5,1583940389.59,17696821
2020-09-06,Monero,XMR,80.33,1421048812.82,17689555
2020-08-30,Monero,XMR,96.15,1700118059.16,17682268
2020-08-23,Monero,XMR,91.31,1613950623.31,17675003
2020-08-16,Monero,XMR,91.22,1611628957.02,17667451
2020-07-26,Monero,XMR,77.94,1375282378.19,17644846
2020-08-02,Monero,XMR,84.97,1499891745.77,17652556
2020-07-12,Monero,XMR,69.13,1218778549.09,17629292
2020-07-05,Monero,XMR,63.22,1114029332.87,17621438
2020-07-19,Monero,XMR,68.77,1212942081.58,17637027
2020-08-09,Monero,XMR,93.06,1643384225.34,17660056
2020-06-28,Monero,XMR,63.31,1115194094.01,17613454
2020-06-21,Monero,XMR,64.55,1136407052.19,17605363
2020-06-14,Monero,XMR,65.73,1156493686.01,17593691
2020-06-07,Monero,XMR,66.61,1171616023.65,17589085
2020-05-31,Monero,XMR,65.07,1143896843.52,17580761
2020-04-26,Monero,XMR,61.23,1073830046.49,17538140
2020-05-24,Monero,XMR,61.19,1075316626.68,17572433
2020-05-17,Monero,XMR,65.21,1145389118.18,17564030
2020-05-10,Monero,XMR,58.86,1033284688.21,17555441
2020-04-19,Monero,XMR,57.45,1007026800.78,17529411
2020-04-05,Monero,XMR,53.49,936704888.6,17511580
2020-03-29,Monero,XMR,44.11,772022406.58,17502625
2020-04-12,Monero,XMR,53.98,945794928.89,17520585
2020-05-03,Monero,XMR,62.44,1095645952.25,17546867
2020-03-22,Monero,XMR,38.34,670755461.83,17493454
2020-03-15,Monero,XMR,38.07,665634161.67,17484202
2020-03-08,Monero,XMR,56.37,985094218.52,17474956
2020-03-01,Monero,XMR,64.74,1130665391.85,17465678
2020-02-23,Monero,XMR,85.0,1483720712.96,17456218
2020-01-19,Monero,XMR,65.13,1133678611.49,17407388
2020-02-16,Monero,XMR,88.42,1542623269.59,17446612
2020-02-09,Monero,XMR,87.62,1527812199.03,17436944
2020-02-02,Monero,XMR,75.04,1307725291.11,17427184
2020-01-26,Monero,XMR,63.87,1112450843.96,17417316
2020-01-12,Monero,XMR,59.32,1032093745.25,17397351
2019-12-01,Monero,XMR,53.59,928901682.79,17334698
2020-01-05,Monero,XMR,54.1,940587960.2,17387097
2019-11-24,Monero,XMR,48.22,835374693.01,17323449
2019-12-29,Monero,XMR,46.83,813746410.83,17376880
2019-12-22,Monero,XMR,47.46,824143648.6,17366506
2019-12-15,Monero,XMR,50.92,883861446.02,17356155
2019-12-08,Monero,XMR,54.24,940877036.48,17345476
2019-11-17,Monero,XMR,62.14,1075882950.17,17312551
2019-10-13,Monero,XMR,53.53,923683478.79,17256893
2019-09-29,Monero,XMR,56.16,967928070.54,17233800
2019-11-10,Monero,XMR,63.9,1105294084.01,17296526
2019-11-03,Monero,XMR,63.47,1097392280.75,17290651
2019-10-27,Monero,XMR,59.75,1032497926.34,17279470
2019-10-20,Monero,XMR,56.42,974338218.93,17268294
2019-10-06,Monero,XMR,55.5,957040023.99,17245370
2019-09-22,Monero,XMR,73.19,1260457544.45,17222051
2019-09-15,Monero,XMR,75.69,1302670692.64,17210363
2019-09-01,Monero,XMR,71.78,1233580704.17,17186343
2019-08-25,Monero,XMR,80.37,1380344265.4,17174207
2019-08-18,Monero,XMR,88.02,1510667110.24,17161841
2019-08-11,Monero,XMR,92.25,1582098857.94,17149467
2019-08-04,Monero,XMR,88.18,1511132702.24,17136889
2019-07-28,Monero,XMR,79.49,1361217351.86,17124239
2019-09-08,Monero,XMR,77.38,1330742273.26,17198396
2019-07-21,Monero,XMR,83.96,1436640153.59,17111546
2019-07-14,Monero,XMR,85.92,1469061989.2,17098574
2019-07-07,Monero,XMR,107.18,1831299478.21,17085691
2019-06-30,Monero,XMR,87.74,1497868508.83,17070711
2019-06-23,Monero,XMR,115.13,1964078842.54,17059271
2019-06-09,Monero,XMR,83.78,1427027278.67,17032194
2019-06-02,Monero,XMR,94.94,1615842701.71,17018743
2019-05-26,Monero,XMR,92.0,1564370682.15,17004919
2019-05-19,Monero,XMR,90.62,1539746808.46,16990939
2019-05-05,Monero,XMR,66.08,1120902040.97,16962766
2019-04-28,Monero,XMR,61.23,1037458845.78,16943649
2019-06-16,Monero,XMR,95.86,1634068688.96,17045839
2019-04-21,Monero,XMR,68.72,1163658345.33,16933697
2019-05-12,Monero,XMR,74.21,1259819570.62,16976902
2019-04-14,Monero,XMR,66.58,1126513833.46,16919320
2019-04-07,Monero,XMR,69.81,1180056140.44,16904552
2019-03-31,Monero,XMR,55.89,943881892.47,16889616
2019-03-24,Monero,XMR,53.74,906925110.08,16874695
2019-03-17,Monero,XMR,53.54,902585866.92,16859544
2019-03-10,Monero,XMR,50.95,858202872.1,16844613
2019-02-17,Monero,XMR,48.07,807554570.83,16799990
2019-03-03,Monero,XMR,50.11,843385247.82,16831437
2019-02-10,Monero,XMR,49.83,836265588.9,16783157
2019-02-24,Monero,XMR,49.01,824146428.25,16815722
2019-02-03,Monero,XMR,42.9,719406512.16,16767882
2019-01-27,Monero,XMR,46.58,780207473.11,16751487
2019-01-20,Monero,XMR,44.11,738232142.7,16735001
2019-01-13,Monero,XMR,43.11,719835396.81,16697487
2019-01-06,Monero,XMR,54.88,916301117.67,16697487
2018-12-30,Monero,XMR,48.36,806939516.43,16684608
2018-12-16,Monero,XMR,39.34,655016344.61,16650353
2018-12-09,Monero,XMR,47.75,794173848.08,16633056
2018-12-02,Monero,XMR,59.1,982006148.45,16615722
2018-11-25,Monero,XMR,58.05,963569060.86,16598011
2018-11-18,Monero,XMR,89.39,1482156655.31,16580232
2018-11-11,Monero,XMR,106.38,1761826015.31,16562300
2018-11-04,Monero,XMR,111.8,1849576023.16,16544184
2018-12-23,Monero,XMR,52.76,879305229.26,16667468
2018-10-28,Monero,XMR,104.98,1734802710.54,16525726
2018-10-21,Monero,XMR,105.1,1734896513.35,16507082
2018-10-14,Monero,XMR,100.91,1663865070.07,16489068
2018-10-07,Monero,XMR,113.72,1872936437.84,16470166
2018-09-30,Monero,XMR,116.26,1912551108.13,16451251
2018-09-23,Monero,XMR,122.5,2012835318.92,16431820
2018-09-16,Monero,XMR,117.04,1920866708.7,16412310
2018-09-09,Monero,XMR,106.22,1741180688.19,16392768
2018-09-02,Monero,XMR,120.5,1972849952.46,16372721
2018-08-26,Monero,XMR,95.3,1558438890.75,16352611
2018-07-29,Monero,XMR,135.36,2201591009.18,16264830
2018-07-22,Monero,XMR,128.72,2091722931.72,16249673
2018-07-15,Monero,XMR,123.96,2011654074.12,16228383
2018-07-08,Monero,XMR,138.12,2238474320.06,16206971
2018-08-19,Monero,XMR,98.42,1607490235.03,16332289
2018-08-05,Monero,XMR,117.27,1907665145.94,16266706
2018-06-24,Monero,XMR,121.29,1960474717.44,16163384
2018-06-17,Monero,XMR,124.06,2002539486.35,16141316
2018-06-10,Monero,XMR,139.51,2248777643.7,16119004
2018-06-03,Monero,XMR,169.36,2726017917.87,16096459
2018-05-27,Monero,XMR,166.08,2669597683.6,16074007
2018-08-12,Monero,XMR,93.21,1516148257.38,16266706
2018-05-20,Monero,XMR,203.45,3265582343.57,16051351
2018-05-13,Monero,XMR,209.58,3359123377.36,16028157
2018-05-06,Monero,XMR,235.49,3768991277.89,16004841
2018-04-29,Monero,XMR,256.87,4105186714.13,15981498
2018-04-22,Monero,XMR,271.3,4329346558.22,15957680
2018-04-15,Monero,XMR,200.62,3196612615.75,15933570
2018-04-08,Monero,XMR,173.97,2767655569.63,15908693
2018-04-01,Monero,XMR,175.51,2788623376.39,15888854
2018-07-01,Monero,XMR,129.77,2100427219.22,16185395
2018-03-25,Monero,XMR,211.78,3359773507.2,15864147
2018-03-18,Monero,XMR,209.63,3320404042.34,15839147
2018-03-11,Monero,XMR,282.35,4465046504.53,15813801
2018-03-04,Monero,XMR,368.97,5825637059.76,15788753
2018-02-25,Monero,XMR,281.02,4429771037.29,15763019
