Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2021-02-28,NEM,XEM,0.6041,5437313056.99,8999999999
2021-02-07,NEM,XEM,0.3052,2746684187.5,8999999999
2021-03-07,NEM,XEM,0.7082,6373778997.12,8999999999
2021-02-21,NEM,XEM,0.5665,5098805951.18,8999999999
2020-12-13,NEM,XEM,0.2527,2274566033.28,8999999999
2021-01-10,NEM,XEM,0.2356,2119987262.45,8999999999
2021-01-03,NEM,XEM,0.2105,1894334537.88,8999999999
2020-12-27,NEM,XEM,0.2359,2123154048.23,8999999999
2020-12-20,NEM,XEM,0.2892,2602881250.22,8999999999
2020-12-06,NEM,XEM,0.249,2240616067.91,8999999999
2020-11-29,NEM,XEM,0.178,1601727676.93,8999999999
2020-09-06,NEM,XEM,0.1351,1215903514.08,8999999999
2019-06-23,NEM,XEM,0.09081,817280305.06,8999999999
2019-06-02,NEM,XEM,0.09534,858087702.81,8999999999
2019-05-26,NEM,XEM,0.08799,791940061.98,8999999999
2019-05-19,NEM,XEM,0.09456,851043504.32,8999999999
2019-06-16,NEM,XEM,0.08747,787226989.42,8999999999
2019-04-07,NEM,XEM,0.072,647987653.64,8999999999
2019-03-24,NEM,XEM,0.05102,459187259.31,8999999999
2019-03-17,NEM,XEM,0.0506,455426312.38,8999999999
2019-03-10,NEM,XEM,0.04506,405534516.6,8999999999
2019-02-17,NEM,XEM,0.04187,376859105.58,8999999999
2019-03-03,NEM,XEM,0.04335,390123986.17,8999999999
2019-02-10,NEM,XEM,0.04011,360979001.67,8999999999
2019-02-24,NEM,XEM,0.04293,386361143.13,8999999999
2019-01-27,NEM,XEM,0.05272,474438962.32,8999999999
2019-01-20,NEM,XEM,0.05594,503473664.42,8999999999
2019-01-13,NEM,XEM,0.05484,493580946.86,8999999999
2019-01-06,NEM,XEM,0.06663,599643070.52,8999999999
2018-12-16,NEM,XEM,0.06064,545768095.63,8999999999
2019-02-03,NEM,XEM,0.03926,353382891.86,8999999999
2018-12-30,NEM,XEM,0.0688,619220627.98,8999999999
2018-12-09,NEM,XEM,0.07433,668936746.84,8999999999
2018-12-02,NEM,XEM,0.0779,701127573.4,8999999999
2018-11-25,NEM,XEM,0.06929,623595851.03,8999999999
2018-11-18,NEM,XEM,0.09327,839390177.48,8999999999
2018-11-04,NEM,XEM,0.09487,853795891.42,8999999999
2018-12-23,NEM,XEM,0.07396,665642997.66,8999999999
2018-11-11,NEM,XEM,0.09303,837228680.38,8999999999
2018-10-28,NEM,XEM,0.09337,840345337.89,8999999999
2018-10-21,NEM,XEM,0.0995,895462386.21,8999999999
2018-10-07,NEM,XEM,0.1058,952496945.75,8999999999
2018-10-14,NEM,XEM,0.09225,830249302.0,8999999999
2018-09-30,NEM,XEM,0.09689,872053004.7,8999999999
2018-09-23,NEM,XEM,0.1016,914520218.87,8999999999
2018-09-16,NEM,XEM,0.09083,817482389.42,8999999999
2018-09-09,NEM,XEM,0.09756,878023870.19,8999999999
2018-09-02,NEM,XEM,0.1125,1012851744.78,8999999999
2018-07-29,NEM,XEM,0.1769,1592216938.56,8999999999
2018-07-22,NEM,XEM,0.1703,1533051028.68,8999999999
2018-07-15,NEM,XEM,0.1625,1462652966.22,8999999999
2018-07-08,NEM,XEM,0.1847,1661868005.81,8999999999
2018-08-26,NEM,XEM,0.1041,936734408.04,8999999999
2018-08-19,NEM,XEM,0.1085,976434655.38,8999999999
2018-08-05,NEM,XEM,0.1468,1321388929.94,8999999999
