Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2013-04-28,Namecoin,NMC,1.11,5995997.19,5415300
2014-06-22,Namecoin,NMC,1.9,17313762.3,9092032
2014-05-25,Namecoin,NMC,2.69,24066058.13,8940150
2014-06-29,Namecoin,NMC,1.67,15251348.7,9147332
2014-06-08,Namecoin,NMC,2.08,18654019.44,8972082
2014-05-11,Namecoin,NMC,2.05,17897532.76,8734232
2014-06-15,Namecoin,NMC,1.84,16610118.39,9033132
2014-05-18,Namecoin,NMC,1.98,17412679.43,8795332
2014-05-04,Namecoin,NMC,2.1,18203779.44,8675732
2014-04-27,Namecoin,NMC,1.99,17141640.79,8621182
2014-03-23,Namecoin,NMC,2.9,24153106.2,8330443
2014-04-20,Namecoin,NMC,2.6,22302086.92,8564332
2014-04-13,Namecoin,NMC,1.64,13968238.95,8505032
2014-04-06,Namecoin,NMC,1.96,16532305.26,8445382
2014-03-30,Namecoin,NMC,2.29,19224302.95,8386982
2014-06-01,Namecoin,NMC,2.28,20355604.12,8912132
2016-05-01,Namecoin,NMC,0.4262,6051260.25,14198500
2016-04-24,Namecoin,NMC,0.454,6422794.88,14147300
2016-04-03,Namecoin,NMC,0.4489,6278283.24,13986850
2016-04-17,Namecoin,NMC,0.4304,6066976.76,14094800
2016-04-10,Namecoin,NMC,0.4271,5996105.98,14040750
2016-03-27,Namecoin,NMC,0.4747,6615266.27,13935550
2016-03-20,Namecoin,NMC,0.4447,6173178.28,13881550
2016-03-13,Namecoin,NMC,0.5012,6932762.88,13832400
2016-03-06,Namecoin,NMC,0.4214,5809109.85,13784050
2016-02-28,Namecoin,NMC,0.4243,5826363.33,13733250
2016-02-21,Namecoin,NMC,0.4344,5943085.82,13681000
2016-02-14,Namecoin,NMC,0.4257,5802978.19,13630300
2016-02-07,Namecoin,NMC,0.4015,5449388.8,13572400
2016-01-31,Namecoin,NMC,0.3971,5365115.52,13511850
2016-01-17,Namecoin,NMC,0.3927,5261458.29,13397700
2016-01-24,Namecoin,NMC,0.4043,5437711.45,13451250
2016-01-10,Namecoin,NMC,0.4253,5675439.99,13345100
2016-01-03,Namecoin,NMC,0.4569,6073338.46,13291450
2015-12-27,Namecoin,NMC,0.4186,5541075.54,13236950
2015-12-20,Namecoin,NMC,0.4465,5885431.17,13181650
2015-12-13,Namecoin,NMC,0.4628,6074049.29,13125000
2015-12-06,Namecoin,NMC,0.4209,5500771.84,13070450
2015-11-29,Namecoin,NMC,0.4849,6310503.2,13013100
2015-11-22,Namecoin,NMC,0.3825,4955222.85,12954700
2015-11-15,Namecoin,NMC,0.3812,4918071.08,12902700
2015-11-08,Namecoin,NMC,0.4302,5528704.59,12850500
2015-11-01,Namecoin,NMC,0.3937,5038319.66,12796350
2015-10-25,Namecoin,NMC,0.3484,4439620.68,12742450
2015-10-18,Namecoin,NMC,0.3613,4585863.1,12692200
2015-10-11,Namecoin,NMC,0.3768,4763839.83,12642850
2015-10-04,Namecoin,NMC,0.3703,4664037.43,12594150
2015-09-27,Namecoin,NMC,0.3733,4679815.07,12536650
2015-09-20,Namecoin,NMC,0.39,4869124.01,12485200
2015-09-13,Namecoin,NMC,0.3589,4465057.23,12440500
2015-07-26,Namecoin,NMC,0.6421,7742456.38,12058350
2015-09-06,Namecoin,NMC,0.4091,5068510.94,12389800
