Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2020-10-25,Neo,NEO,17.88,1261040938.87,70538831
2020-10-18,Neo,NEO,17.41,1228205517.78,70538831
2020-10-11,Neo,NEO,17.82,1257155288.9,70538831
2020-10-04,Neo,NEO,18.18,1282273915.16,70538831
2020-09-27,Neo,NEO,21.14,1490885707.84,70538831
2020-09-20,Neo,NEO,23.66,1669106077.68,70538831
2020-09-13,Neo,NEO,20.29,1431241340.87,70538831
2020-08-30,Neo,NEO,20.7,1460075411.68,70538831
2020-08-23,Neo,NEO,18.2,1283920528.35,70538831
2020-06-14,Neo,NEO,10.68,753105272.99,70538831
2020-06-07,Neo,NEO,11.78,831035876.51,70538831
2020-03-08,Neo,NEO,10.13,714399873.3,70538831
2020-03-01,Neo,NEO,11.37,801741236.7,70538831
2020-02-23,Neo,NEO,14.33,1010670403.27,70538831
2020-01-19,Neo,NEO,11.24,792985472.65,70538831
2020-02-16,Neo,NEO,14.77,1042133346.07,70538831
2020-02-09,Neo,NEO,14.14,997111566.88,70538831
2020-02-02,Neo,NEO,12.07,851110870.82,70538831
2020-01-26,Neo,NEO,10.79,761197052.24,70538831
2020-01-12,Neo,NEO,10.27,724098648.22,70538831
2019-12-01,Neo,NEO,9.29,655229253.43,70538831
2020-01-05,Neo,NEO,9.07,639703565.89,70538831
2019-12-29,Neo,NEO,9.25,652749972.22,70538831
2019-11-24,Neo,NEO,9.15,645495987.74,70538831
2019-12-15,Neo,NEO,8.96,632257321.46,70538831
2019-12-08,Neo,NEO,9.09,641236530.19,70538831
2019-11-17,Neo,NEO,12.17,858760423.11,70538831
2019-11-10,Neo,NEO,11.05,779188899.96,70538831
2019-11-03,Neo,NEO,11.07,781207002.94,70538831
2019-10-27,Neo,NEO,11.54,814128670.11,70538831
2019-09-22,Neo,NEO,9.12,643616173.62,70538831
2019-08-25,Neo,NEO,9.66,681634893.86,70538831
2019-08-18,Neo,NEO,9.88,696953952.22,70538831
2019-08-11,Neo,NEO,11.09,782180245.89,70538831
2019-08-04,Neo,NEO,11.95,842787100.99,70538831
2019-07-28,Neo,NEO,11.25,793796259.2,70538831
2019-07-21,Neo,NEO,13.0,916839610.4,70538831
2019-09-08,Neo,NEO,9.3,656020815.27,70538831
2019-07-07,Neo,NEO,17.24,1216041947.67,70538831
2019-06-09,Neo,NEO,11.56,815128352.62,70538831
2019-07-14,Neo,NEO,12.09,852593626.96,70538831
2019-06-30,Neo,NEO,16.71,1179050780.64,70538831
2019-06-23,Neo,NEO,16.77,1183242524.44,70538831
2019-06-02,Neo,NEO,14.13,918650726.96,65000000
2019-05-26,Neo,NEO,11.98,778932349.77,65000000
2019-05-19,Neo,NEO,11.8,767203241.28,65000000
2019-05-12,Neo,NEO,9.33,606248644.9,65000000
2019-05-05,Neo,NEO,9.28,603147150.8,65000000
2019-04-28,Neo,NEO,9.3,604582831.92,65000000
2019-06-16,Neo,NEO,14.05,990993090.69,70538831
2019-04-21,Neo,NEO,10.55,685603542.87,65000000
2019-04-14,Neo,NEO,11.3,734427000.65,65000000
2019-04-07,Neo,NEO,12.9,838234869.09,65000000
2019-03-17,Neo,NEO,9.29,603828091.56,65000000
2019-03-10,Neo,NEO,8.87,576572175.59,65000000
2019-02-17,Neo,NEO,8.39,545230967.38,65000000
2019-02-10,Neo,NEO,7.96,517438260.5,65000000
