Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2013-04-28,Novacoin,NVC,4.25,1162266.3,273706
2014-05-11,Novacoin,NVC,2.68,2125375.5,793222
2014-05-04,Novacoin,NVC,2.75,2166263.13,787120
2014-04-27,Novacoin,NVC,3.16,2466796.17,779789
2014-03-23,Novacoin,NVC,6.43,4793703.49,744977
2014-04-20,Novacoin,NVC,4.15,3202051.11,772462
2014-04-13,Novacoin,NVC,3.48,2670160.37,766263
2014-04-06,Novacoin,NVC,4.55,3458426.76,759430
2014-03-30,Novacoin,NVC,5.05,3794234.16,751930
2014-03-02,Novacoin,NVC,7.15,5159564.72,721740
2014-02-02,Novacoin,NVC,12.83,7464186.88,581572
2014-02-16,Novacoin,NVC,8.65,6109919.88,706423
2014-02-09,Novacoin,NVC,9.89,6916244.15,699417
2014-03-16,Novacoin,NVC,6.63,4887584.39,737165
2014-03-09,Novacoin,NVC,7.74,5649165.34,729740
2014-02-23,Novacoin,NVC,8.42,6007961.52,713685
2014-01-26,Novacoin,NVC,14.71,8438005.96,573493
2014-01-19,Novacoin,NVC,15.02,8511812.79,566545
2014-01-12,Novacoin,NVC,15.41,8597857.84,557995
2014-01-05,Novacoin,NVC,17.33,9501307.08,548374
2013-12-29,Novacoin,NVC,13.78,7426824.86,538823
2013-12-22,Novacoin,NVC,11.5,6087466.25,529434
2013-12-15,Novacoin,NVC,17.43,9066531.49,520025
2013-12-08,Novacoin,NVC,16.94,8671710.8,512025
2013-12-01,Novacoin,NVC,21.54,10848054.0,503734
2013-11-17,Novacoin,NVC,4.87,2355870.65,483751
2013-11-10,Novacoin,NVC,5.17,2458420.76,475180
2013-11-03,Novacoin,NVC,4.25,1991593.65,468441
2013-10-27,Novacoin,NVC,4.16,1922215.12,461786
2013-10-13,Novacoin,NVC,4.33,1937980.26,447246
2013-10-06,Novacoin,NVC,4.18,1764749.4,422229
2013-09-29,Novacoin,NVC,4.02,1659935.08,412643
2013-09-22,Novacoin,NVC,4.65,1879720.41,404387
2013-09-15,Novacoin,NVC,3.57,1416042.23,396124
2013-09-08,Novacoin,NVC,3.6,1398183.32,388787
2013-09-01,Novacoin,NVC,4.07,1552776.08,381781
2013-08-25,Novacoin,NVC,4.64,1711800.36,369099
2013-08-18,Novacoin,NVC,5.27,1890229.07,358922
2013-08-04,Novacoin,NVC,5.46,1855987.14,340114
2013-07-28,Novacoin,NVC,6.01,1976019.96,328773
2013-07-14,Novacoin,NVC,3.98,1230893.18,309426
2013-07-07,Novacoin,NVC,2.84,867500.25,305695
2013-06-30,Novacoin,NVC,3.09,931437.38,301181
2013-06-23,Novacoin,NVC,3.5,1042586.72,298137
2013-11-24,Novacoin,NVC,8.2,4059827.38,495143
2013-07-21,Novacoin,NVC,3.85,1204790.03,312791
2013-08-11,Novacoin,NVC,5.15,1799905.11,349764
2013-06-02,Novacoin,NVC,3.9,1117980.01,286310
2013-05-26,Novacoin,NVC,4.31,1225595.4,284444
2013-06-16,Novacoin,NVC,3.25,943738.73,290648
2013-05-19,Novacoin,NVC,3.62,1020004.7,281908
2013-06-09,Novacoin,NVC,3.31,953097.98,288381
2013-05-05,Novacoin,NVC,3.69,1015804.46,275503
2013-05-12,Novacoin,NVC,3.52,984531.38,279685
2013-10-20,Novacoin,NVC,4.54,2068554.51,455818
