Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2014-06-22,Nxt,NXT,0.06634,66344315.97,999997120
2014-05-25,Nxt,NXT,0.04087,40872374.18,999997120
2014-06-29,Nxt,NXT,0.05725,57250327.52,999996992
2014-06-08,Nxt,NXT,0.06463,64633756.99,999997120
2014-05-11,Nxt,NXT,0.02999,29994067.97,999997120
2014-06-15,Nxt,NXT,0.07629,76290663.41,999997120
2014-05-18,Nxt,NXT,0.03905,39047534.81,999997120
2014-05-04,Nxt,NXT,0.02259,22593027.11,999997120
2014-04-27,Nxt,NXT,0.01981,19811470.75,999997120
2014-03-23,Nxt,NXT,0.04179,41788550.81,999997120
2014-04-20,Nxt,NXT,0.02575,25749616.67,999997120
2014-04-13,Nxt,NXT,0.02114,21142049.34,999997120
2014-04-06,Nxt,NXT,0.02844,28436584.46,999997120
2014-03-30,Nxt,NXT,0.02803,28028118.73,999997120
2014-06-01,Nxt,NXT,0.05721,57204901.33,999997120
2017-12-24,Nxt,NXT,1.79,1790601304.95,998999942
2016-09-25,Nxt,NXT,0.01618,16163551.11,998999983
2016-09-18,Nxt,NXT,0.01721,17195872.48,998999994
2016-09-11,Nxt,NXT,0.01989,19868311.55,998999994
2016-09-04,Nxt,NXT,0.01996,19938597.02,998999994
2016-10-02,Nxt,NXT,0.01119,11181083.68,998999983
2016-08-28,Nxt,NXT,0.02204,22021854.67,998999994
2016-08-21,Nxt,NXT,0.0269,26872527.59,998999994
2016-08-14,Nxt,NXT,0.02948,29448466.48,998999994
2016-08-07,Nxt,NXT,0.02838,28347117.84,998999999
2016-07-31,Nxt,NXT,0.02688,26851437.61,998999999
2016-07-24,Nxt,NXT,0.02683,26801631.91,998999999
2016-07-17,Nxt,NXT,0.02532,25294321.79,998999999
2016-07-03,Nxt,NXT,0.02134,21318402.7,998999999
2016-06-26,Nxt,NXT,0.01774,17725812.26,998999999
2016-06-19,Nxt,NXT,0.009759,9749380.13,999000000
2016-06-12,Nxt,NXT,0.007757,7756828.62,999997096
2016-05-29,Nxt,NXT,0.006685,6684962.34,999997096
2016-06-05,Nxt,NXT,0.007203,7202925.66,999997096
2016-05-15,Nxt,NXT,0.006308,6307651.13,999997096
2016-05-08,Nxt,NXT,0.006751,6751343.56,999997096
2016-05-01,Nxt,NXT,0.006944,6944125.84,999997096
2016-07-10,Nxt,NXT,0.02035,20333190.94,998999999
2016-04-24,Nxt,NXT,0.007063,7063231.41,999997096
2016-04-03,Nxt,NXT,0.008151,8151155.51,999997096
2016-04-17,Nxt,NXT,0.006941,6941341.2,999997096
2016-04-10,Nxt,NXT,0.007518,7518420.05,999997096
2016-03-06,Nxt,NXT,0.007399,7398481.42,999997096
2016-03-27,Nxt,NXT,0.007826,7825812.88,999997096
2016-03-20,Nxt,NXT,0.008226,8226006.62,999997096
2016-03-13,Nxt,NXT,0.009034,9033576.43,999997096
2016-02-28,Nxt,NXT,0.00747,7469706.9,999997096
2016-02-21,Nxt,NXT,0.008249,8248670.29,999997096
2016-02-14,Nxt,NXT,0.009566,9566196.4,999997096
2016-02-07,Nxt,NXT,0.008757,8756743.46,999997096
2016-01-31,Nxt,NXT,0.008191,8190742.19,999997096
2016-01-24,Nxt,NXT,0.007325,7325013.78,999997096
2016-01-17,Nxt,NXT,0.006991,6990852.95,999997096
2016-01-10,Nxt,NXT,0.0064,6400114.43,999997096
2016-01-03,Nxt,NXT,0.006864,6863998.34,999997096
2015-12-27,Nxt,NXT,0.006436,6435492.48,999997096
2015-12-20,Nxt,NXT,0.006303,6302549.36,999997096
2015-12-13,Nxt,NXT,0.006431,6431315.51,999997096
2015-12-06,Nxt,NXT,0.006438,6437784.46,999997096
2015-11-29,Nxt,NXT,0.006056,6055758.44,999997096
2015-11-22,Nxt,NXT,0.006049,6048999.86,999997096
2015-11-15,Nxt,NXT,0.006431,6430662.65,999997096
2015-11-08,Nxt,NXT,0.006362,6361859.07,999997096
2015-11-01,Nxt,NXT,0.007625,7624970.96,999997096
2015-10-25,Nxt,NXT,0.007343,7342570.56,999997096
2015-10-18,Nxt,NXT,0.007052,7051735.66,999997096
2015-10-11,Nxt,NXT,0.007744,7743500.5,999997096
2015-10-04,Nxt,NXT,0.008106,8106208.15,999997096
2015-09-27,Nxt,NXT,0.009042,9042287.99,999997096
2015-09-20,Nxt,NXT,0.008392,8391527.3,999997096
2015-09-13,Nxt,NXT,0.008077,8077191.02,999997096
2015-07-26,Nxt,NXT,0.01288,12882220.4,999997096
2015-09-06,Nxt,NXT,0.008569,8568766.79,999997096
