Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2013-04-28,Peercoin,PPC,0.3865,7250186.65,18757362
2014-06-22,Peercoin,PPC,1.79,38408446.16,21503334
2014-05-25,Peercoin,PPC,2.42,51949059.82,21428466
2014-06-29,Peercoin,PPC,1.42,30655444.71,21519564
2014-06-08,Peercoin,PPC,1.85,39714881.23,21462758
2014-05-11,Peercoin,PPC,2.07,44197252.82,21391686
2014-06-15,Peercoin,PPC,1.74,37412236.25,21483908
2014-05-18,Peercoin,PPC,2.07,44387387.33,21412062
2014-05-04,Peercoin,PPC,2.09,44692398.3,21374380
2014-04-27,Peercoin,PPC,2.02,43036897.63,21353680
2014-03-23,Peercoin,PPC,2.85,60516523.53,21253154
2014-04-20,Peercoin,PPC,2.64,56286524.19,21334810
2014-04-13,Peercoin,PPC,1.7,36145607.21,21310272
2014-04-06,Peercoin,PPC,1.86,39686572.39,21289340
2014-03-30,Peercoin,PPC,2.0,42454421.33,21271128
2014-06-01,Peercoin,PPC,2.02,43310327.77,21445900
2016-06-19,Peercoin,PPC,0.471,10948186.84,23245966
2016-05-29,Peercoin,PPC,0.3864,8967994.2,23206953
2016-05-22,Peercoin,PPC,0.354,8209540.57,23192503
2016-06-12,Peercoin,PPC,0.3887,9029822.19,23230056
2016-05-15,Peercoin,PPC,0.4085,9447256.65,23127589
2016-05-08,Peercoin,PPC,0.4383,10137534.21,23127574
2016-05-01,Peercoin,PPC,0.4293,9929501.69,23127575
2016-06-05,Peercoin,PPC,0.3626,8418956.94,23216651
2016-04-24,Peercoin,PPC,0.4417,10214171.63,23124802
2016-04-17,Peercoin,PPC,0.426,9846455.83,23112105
2016-04-10,Peercoin,PPC,0.4214,9733336.05,23097749
2016-04-03,Peercoin,PPC,0.4539,10480159.58,23087188
2016-03-27,Peercoin,PPC,0.4754,10966884.32,23070757
2016-03-20,Peercoin,PPC,0.4626,10664855.2,23056026
2016-03-13,Peercoin,PPC,0.5158,11885873.59,23043461
2016-03-06,Peercoin,PPC,0.4671,10757856.14,23032605
2016-02-28,Peercoin,PPC,0.4791,11028585.92,23019662
2016-02-21,Peercoin,PPC,0.5077,11679589.81,23004020
2016-02-14,Peercoin,PPC,0.4639,10663729.16,22986871
2016-02-07,Peercoin,PPC,0.4207,9664849.72,22973519
2016-01-31,Peercoin,PPC,0.4246,9746278.43,22956551
2016-01-24,Peercoin,PPC,0.4167,9558437.96,22937300
2016-01-17,Peercoin,PPC,0.4113,9427550.46,22921429
2016-01-10,Peercoin,PPC,0.4159,9525077.03,22904563
2016-01-03,Peercoin,PPC,0.4263,9756958.98,22888585
2015-12-27,Peercoin,PPC,0.4317,9872343.12,22867470
2015-12-20,Peercoin,PPC,0.4203,9605544.36,22853575
2015-12-13,Peercoin,PPC,0.4244,9690644.88,22834098
2015-12-06,Peercoin,PPC,0.4139,9445951.96,22819543
2015-11-29,Peercoin,PPC,0.463,10557223.88,22803713
2015-11-22,Peercoin,PPC,0.3752,8549549.7,22787627
2015-11-15,Peercoin,PPC,0.3686,8394552.83,22773823
2015-11-08,Peercoin,PPC,0.413,9395281.99,22749843
2015-11-01,Peercoin,PPC,0.3817,8677780.62,22734964
2015-10-25,Peercoin,PPC,0.3584,8140854.45,22716197
2015-10-18,Peercoin,PPC,0.366,8309433.01,22702336
2015-10-11,Peercoin,PPC,0.3863,8763147.38,22686845
2015-10-04,Peercoin,PPC,0.3748,8496701.86,22671233
2015-09-27,Peercoin,PPC,0.3805,8621206.21,22656655
2015-09-20,Peercoin,PPC,0.3911,8853988.71,22640781
2015-09-13,Peercoin,PPC,0.3353,7585957.56,22626143
2015-07-26,Peercoin,PPC,0.5468,12309454.69,22511509
2015-09-06,Peercoin,PPC,0.3682,8324839.97,22609095
2015-08-30,Peercoin,PPC,0.3512,7935256.16,22593476
2015-08-23,Peercoin,PPC,0.339,7653412.71,22575834
2015-08-16,Peercoin,PPC,0.4324,9755142.11,22562483
2015-08-09,Peercoin,PPC,0.4614,10402581.38,22544831
