Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2022-05-15,Solana,SOL,58.81,19846538361.82,337461546
2022-05-08,Solana,SOL,75.22,25222885523.01,335320721
2022-05-01,Solana,SOL,89.67,29986417059.76,334402963
2022-04-24,Solana,SOL,99.24,33101881730.6,333567967
2022-04-03,Solana,SOL,136.78,44563278264.23,325813733
2022-04-17,Solana,SOL,100.41,33448341308.02,333118638
2022-03-27,Solana,SOL,107.08,34798921340.59,324967786
2022-03-20,Solana,SOL,88.61,28388486843.57,320358097
2022-04-10,Solana,SOL,111.74,36612845093.24,327653902
2022-03-13,Solana,SOL,78.94,25492592996.76,322952389
2022-03-06,Solana,SOL,84.54,27115147513.74,320729197
2022-02-27,Solana,SOL,85.52,27371485041.05,320063008
2022-02-20,Solana,SOL,90.9,29057463086.34,319659085
2022-02-13,Solana,SOL,93.24,29629765453.55,317765575
2022-02-06,Solana,SOL,115.3,36532195892.09,316845383
2022-01-30,Solana,SOL,93.3,29398127131.31,315100324
2022-01-23,Solana,SOL,99.58,31336377846.28,314691080
2021-12-12,Solana,SOL,173.43,53355770601.39,307647226
2022-01-16,Solana,SOL,147.86,46428403266.75,314009861
2022-01-02,Solana,SOL,176.38,54552495291.77,309284593
2021-12-26,Solana,SOL,198.0,61170181005.5,308939172
2021-12-19,Solana,SOL,180.1,55490684848.85,308113743
2021-12-05,Solana,SOL,196.17,59983315118.44,305774824
2021-11-28,Solana,SOL,200.68,61015258055.83,304047623
2022-01-09,Solana,SOL,140.84,43849094270.1,311341963
2021-11-21,Solana,SOL,231.28,70320903400.09,304047493
2021-11-14,Solana,SOL,238.43,72293544193.71,303212270
2021-11-07,Solana,SOL,249.82,75574730064.49,302512515
2021-10-17,Solana,SOL,159.74,48010299921.57,300545627
2021-10-31,Solana,SOL,202.42,61003141449.57,301367632
2021-10-24,Solana,SOL,202.36,60902871289.69,300960044
2021-10-10,Solana,SOL,148.05,44350090749.45,299564177
2021-09-26,Solana,SOL,135.7,40359412132.89,297417816
2021-09-19,Solana,SOL,152.52,45292491129.39,296967427
2021-09-12,Solana,SOL,174.54,51204891389.06,293374523
2021-09-05,Solana,SOL,142.07,41399255561.46,291398606
2021-08-29,Solana,SOL,94.47,27485451270.31,290944715
2021-08-15,Solana,SOL,53.75,15386975520.95,286295093
2021-10-03,Solana,SOL,172.59,51403969858.98,297840086
2021-08-08,Solana,SOL,37.67,10271294579.9,272637428
2021-07-18,Solana,SOL,26.75,7293572047.71,272637428
2021-07-25,Solana,SOL,28.17,7679861962.97,272637428
2021-07-04,Solana,SOL,34.31,9354354086.57,272637428
2021-08-01,Solana,SOL,34.25,9339020650.68,272637428
2021-06-27,Solana,SOL,31.93,8705146914.45,272637428
2021-06-20,Solana,SOL,35.32,9630102393.55,272637428
2021-06-13,Solana,SOL,38.77,10570271763.76,272637428
2021-05-23,Solana,SOL,24.69,6731076772.71,272637428
2021-06-06,Solana,SOL,42.31,11534847407.95,272637428
2021-07-11,Solana,SOL,32.18,8772884240.23,272637428
2021-05-30,Solana,SOL,28.6,7798155350.85,272637428
2021-05-16,Solana,SOL,47.2,12868711981.4,272637428
2021-04-25,Solana,SOL,47.37,12782467830.76,269856623
2021-05-09,Solana,SOL,44.33,12086070501.99,272637428
2021-05-02,Solana,SOL,46.89,12784244033.4,272637554
2021-04-18,Solana,SOL,32.3,8722397354.82,270018859
2021-04-11,Solana,SOL,27.93,7542139623.19,270018951
2021-02-28,Solana,SOL,13.09,3428075566.65,261900137
2021-08-22,Solana,SOL,72.8,20875322466.33,286733521
