Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2017-10-01,Steem,STEEM,1.41,340369407.06,241986414
2017-07-23,Steem,STEEM,1.61,382352297.17,237440626
2017-08-06,Steem,STEEM,1.38,328498552.27,238614754
2017-07-30,Steem,STEEM,1.2,286350863.37,238329170
2017-07-16,Steem,STEEM,0.8969,213580979.94,238130567
2017-07-09,Steem,STEEM,1.53,360491273.25,236356906
2017-07-02,Steem,STEEM,1.64,387756046.73,235870964
2017-06-18,Steem,STEEM,2.0,468183020.74,234640882
2017-06-11,Steem,STEEM,2.45,574412944.71,234063327
2017-05-28,Steem,STEEM,0.9574,224025436.98,233990789
2017-05-21,Steem,STEEM,1.3,303226531.9,233387600
2017-06-25,Steem,STEEM,1.89,445070341.36,235054917
2017-06-04,Steem,STEEM,1.3,305209600.95,234199265
2017-05-14,Steem,STEEM,0.7554,176353680.34,233468492
2017-05-07,Steem,STEEM,0.5275,123885799.87,234850177
2017-04-23,Steem,STEEM,0.2281,53662896.83,235257753
2017-04-16,Steem,STEEM,0.2156,51009716.89,236640897
2017-04-02,Steem,STEEM,0.1647,38760304.08,235385460
2017-03-26,Steem,STEEM,0.1691,39828200.23,235581606
2017-03-19,Steem,STEEM,0.1981,46349338.52,234003003
2017-04-30,Steem,STEEM,0.2779,65374702.11,235208205
2017-03-05,Steem,STEEM,0.09906,23673975.68,238982815
2017-02-19,Steem,STEEM,0.1191,27920640.91,234518955
2017-02-12,Steem,STEEM,0.1425,33238949.88,233318153
2017-02-05,Steem,STEEM,0.1599,37100604.78,232067747
2017-01-29,Steem,STEEM,0.1628,37808563.53,232272713
2017-01-22,Steem,STEEM,0.161,37220584.17,231144969
2017-01-15,Steem,STEEM,0.1393,32313161.75,231989996
2017-01-08,Steem,STEEM,0.1525,35132804.42,230348857
2017-01-01,Steem,STEEM,0.1612,36999609.61,229582096
2016-12-25,Steem,STEEM,0.1363,31444070.65,230698649
2016-12-18,Steem,STEEM,0.1698,38786627.81,228459836
2016-12-11,Steem,STEEM,0.1873,42360811.32,226185819
2017-02-26,Steem,STEEM,0.1097,25908670.3,236153825
2016-12-04,Steem,STEEM,0.209,47387619.93,226701187
2016-11-27,Steem,STEEM,0.1816,40623704.31,223675057
2016-11-20,Steem,STEEM,0.1155,25170124.19,217962783
2016-11-13,Steem,STEEM,0.1163,24338255.38,209306053
2016-11-06,Steem,STEEM,0.2025,41447994.22,204699664
2016-10-30,Steem,STEEM,0.1312,25697169.89,195825765
2016-10-16,Steem,STEEM,0.2582,45754024.76,177175211
2016-10-09,Steem,STEEM,0.3502,58937339.82,168290875
2016-10-02,Steem,STEEM,0.444,71450170.29,160936509
2016-09-25,Steem,STEEM,0.6048,93660593.31,154857380
2016-09-18,Steem,STEEM,0.5235,77235476.5,147528170
2016-09-11,Steem,STEEM,0.6411,90055217.99,140462313
2016-09-04,Steem,STEEM,0.8239,110210811.32,133766911
2016-08-28,Steem,STEEM,0.7841,99580162.62,126997481
2016-08-21,Steem,STEEM,1.42,170792140.08,120317642
2016-10-23,Steem,STEEM,0.2008,37167998.88,185054565
2016-08-14,Steem,STEEM,1.47,167525099.46,114070799
2016-08-07,Steem,STEEM,2.12,227716372.83,107635162
2016-07-31,Steem,STEEM,2.31,233585848.92,101291226
2016-07-24,Steem,STEEM,3.5,330869587.04,94581162
2016-07-17,Steem,STEEM,3.28,283447990.59,86516987
2016-07-03,Steem,STEEM,0.2356,16971219.92,72043260
2016-06-19,Steem,STEEM,0.3356,20068855.48,59807970
2016-06-12,Steem,STEEM,0.3764,20207265.4,53684570
2016-06-26,Steem,STEEM,0.1979,13044795.43,65929580
2016-05-29,Steem,STEEM,0.4506,18676993.53,41448430
2016-05-22,Steem,STEEM,0.428,15118964.34,35322420
2016-06-05,Steem,STEEM,0.3698,17589446.67,47569770
2016-05-15,Steem,STEEM,0.3741,10920350.35,29193730
2016-05-01,Steem,STEEM,0.466,7814072.1,16769100
2016-07-10,Steem,STEEM,0.5573,44511077.7,79868600
2016-05-08,Steem,STEEM,0.3102,7156505.86,23067070
