Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2021-08-15,Stellar,XLM,0.3916,9208299191.04,23514031138
2021-08-08,Stellar,XLM,0.2873,6734382702.07,23437307124
2021-07-25,Stellar,XLM,0.2617,6110295221.24,23344746515
2021-07-18,Stellar,XLM,0.2307,5374668430.58,23293340104
2021-08-01,Stellar,XLM,0.2762,6460780552.91,23393654148
2021-06-27,Stellar,XLM,0.2586,5999612086.91,23196088878
2021-06-20,Stellar,XLM,0.2976,6896122157.44,23170089495
2021-05-23,Stellar,XLM,0.3678,8499029822.02,23107442035
2021-06-13,Stellar,XLM,0.3447,7975828641.13,23136435349
2021-06-06,Stellar,XLM,0.3813,8817021792.17,23126290517
2021-05-30,Stellar,XLM,0.3757,8683546919.96,23113746450
2021-05-16,Stellar,XLM,0.7143,16518486070.18,23125356136
2021-07-11,Stellar,XLM,0.2462,5728285721.68,23270822845
2021-04-18,Stellar,XLM,0.5447,12464478374.81,22881768129
2021-05-09,Stellar,XLM,0.6286,14496263952.85,23061608247
2021-05-02,Stellar,XLM,0.5595,12854880744.98,22975993990
2021-04-11,Stellar,XLM,0.5888,13432941770.04,22813714153
2021-04-25,Stellar,XLM,0.4164,9544090932.28,22918382701
2021-04-04,Stellar,XLM,0.4378,9958214739.17,22745681441
2021-03-28,Stellar,XLM,0.3993,9060062003.41,22687533551
2021-02-28,Stellar,XLM,0.4067,9159071308.05,22523179943
2021-03-21,Stellar,XLM,0.405,9174794305.16,22653880538
2021-03-14,Stellar,XLM,0.3915,8852179197.84,22609025907
2021-02-07,Stellar,XLM,0.3835,8561005916.78,22324934033
2021-03-07,Stellar,XLM,0.4128,9318321013.21,22571069795
2021-02-21,Stellar,XLM,0.4988,11221258827.91,22497955630
2021-02-14,Stellar,XLM,0.5176,11593719034.93,22397093788
2021-08-22,Stellar,XLM,0.3731,8790804414.2,23560955905
2021-01-31,Stellar,XLM,0.3057,6802946003.14,22253500694
2021-01-24,Stellar,XLM,0.2716,6000202935.16,22095601011
2021-01-17,Stellar,XLM,0.3036,6707475316.09,22095601011
2021-01-10,Stellar,XLM,0.2887,6362493022.63,22034677966
2021-01-03,Stellar,XLM,0.1364,2989656210.89,21914609976
2020-12-27,Stellar,XLM,0.145,3170263194.62,21867979643
2020-12-20,Stellar,XLM,0.177,3864704195.27,21837110720
2020-12-13,Stellar,XLM,0.1749,3808388514.52,21780693153
2020-12-06,Stellar,XLM,0.1756,3814433496.66,21718544971
2020-11-29,Stellar,XLM,0.1942,4207379426.28,21662497347
2020-11-22,Stellar,XLM,0.1035,2176343295.36,21022140391
2020-11-08,Stellar,XLM,0.08154,1706139182.78,20924349876
2020-11-15,Stellar,XLM,0.08029,1681113432.3,20936884556
2020-11-01,Stellar,XLM,0.07848,1638302979.69,20876025183
2020-10-25,Stellar,XLM,0.08314,1734274325.83,20858997273
2020-10-18,Stellar,XLM,0.07955,1659346828.72,20858997273
2020-10-11,Stellar,XLM,0.07723,1610924157.21,20858997275
2020-10-04,Stellar,XLM,0.07296,1521768152.93,20858997275
2020-09-27,Stellar,XLM,0.07334,1529717096.62,20858997275
2020-09-20,Stellar,XLM,0.07741,1603591843.25,20716569318
2020-09-13,Stellar,XLM,0.08006,1653024464.44,20647025974
2020-08-30,Stellar,XLM,0.09825,2024558917.83,20606868618
2020-08-23,Stellar,XLM,0.1031,2120493486.76,20577243518
2020-09-06,Stellar,XLM,0.07786,1607347697.62,20643613557
2020-08-16,Stellar,XLM,0.1146,2354748533.88,20544224625
2020-07-26,Stellar,XLM,0.09873,2020075131.15,20460133305
2020-07-12,Stellar,XLM,0.095,1942383395.39,20445757434
2020-07-05,Stellar,XLM,0.06718,1369104858.06,20380687202
2020-08-02,Stellar,XLM,0.1026,2101488479.52,20492279572
2020-08-09,Stellar,XLM,0.1051,2157887345.65,20534399452
