Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2022-05-15,TRON,TRX,0.07236,7089172173.58,97973768830
2022-05-08,TRON,TRX,0.08753,8626071847.16,98553054679
2021-05-09,TRON,TRX,0.1429,10238383825.72,71659657369
2021-05-02,TRON,TRX,0.1277,9147573886.83,71659657369
2021-04-25,TRON,TRX,0.1015,7271369540.9,71659657369
2021-04-18,TRON,TRX,0.1429,10238638365.63,71659657369
2021-04-04,TRON,TRX,0.1294,9270853014.9,71659657369
2021-04-11,TRON,TRX,0.1224,8767748385.55,71659657369
2021-01-31,TRON,TRX,0.0316,2264672300.14,71659657369
2020-12-13,TRON,TRX,0.02918,2091318238.66,71659657369
2021-01-24,TRON,TRX,0.03002,2151247381.72,71659657369
2021-01-17,TRON,TRX,0.03014,2159870004.6,71659657369
2021-01-10,TRON,TRX,0.03293,2360097139.08,71659657369
2021-01-03,TRON,TRX,0.02949,2113567006.58,71659657369
2020-12-27,TRON,TRX,0.02885,2067107839.2,71659657369
2020-12-20,TRON,TRX,0.03123,2237591259.65,71659657369
2020-12-06,TRON,TRX,0.03093,2216094907.47,71659657369
2020-11-08,TRON,TRX,0.02537,1817653512.4,71659657369
2020-11-01,TRON,TRX,0.02573,1843620256.34,71659657369
2020-10-25,TRON,TRX,0.02694,1930173253.49,71659657369
2020-11-29,TRON,TRX,0.0307,2199852493.69,71659657369
2020-11-22,TRON,TRX,0.0287,2056592720.81,71659657369
2020-11-15,TRON,TRX,0.02541,1820797810.31,71659657369
2020-10-18,TRON,TRX,0.02594,1858579869.16,71659657369
2020-10-11,TRON,TRX,0.02647,1896631752.61,71659657369
2020-10-04,TRON,TRX,0.02636,1889047249.6,71659657369
2020-09-27,TRON,TRX,0.02659,1905348243.37,71659657369
2020-09-20,TRON,TRX,0.02696,1932299456.72,71659657369
2020-09-13,TRON,TRX,0.03058,2191568821.28,71659657369
2020-09-06,TRON,TRX,0.03152,2258950779.64,71659657369
2020-08-30,TRON,TRX,0.02695,1931397451.98,71659657369
2020-08-23,TRON,TRX,0.02447,1753164209.01,71659657369
2020-08-16,TRON,TRX,0.02821,2021333618.75,71659657369
2020-07-26,TRON,TRX,0.01852,1327482791.03,71659657369
2020-08-02,TRON,TRX,0.01904,1364340754.96,71659657369
2020-07-12,TRON,TRX,0.01815,1210498998.69,66682072191
2020-07-05,TRON,TRX,0.01684,1122957416.64,66682072191
2020-07-19,TRON,TRX,0.01748,1165434572.51,66682072191
2020-08-09,TRON,TRX,0.02047,1467055935.28,71659657369
2020-06-28,TRON,TRX,0.01582,1054594838.09,66682072191
2020-06-21,TRON,TRX,0.01584,1056201955.23,66682072191
2020-06-14,TRON,TRX,0.01626,1084038087.57,66682072191
2020-06-07,TRON,TRX,0.01818,1212213636.77,66682072191
2020-05-31,TRON,TRX,0.01589,1059652188.51,66682072191
2020-05-24,TRON,TRX,0.01443,962195908.36,66682072191
2020-05-17,TRON,TRX,0.015,1000491131.7,66682072191
2020-05-10,TRON,TRX,0.01428,952402372.54,66682072191
2020-04-26,TRON,TRX,0.01425,950377220.37,66682072191
2020-03-29,TRON,TRX,0.01075,716778848.83,66682072191
2020-04-19,TRON,TRX,0.01303,869003069.03,66682072191
2020-04-12,TRON,TRX,0.0129,860322761.26,66682072191
2020-04-05,TRON,TRX,0.0126,840399150.43,66682072191
2020-05-03,TRON,TRX,0.01602,1068267999.38,66682072191
2020-03-22,TRON,TRX,0.01036,691142087.37,66682072191
2020-03-15,TRON,TRX,0.01034,689783659.42,66682072191
2020-03-08,TRON,TRX,0.01487,991275581.82,66682072191
2020-02-23,TRON,TRX,0.02131,1420667728.22,66682072191
2020-01-19,TRON,TRX,0.01662,1108254027.54,66682072191
2020-02-16,TRON,TRX,0.02246,1497920272.92,66682072191
2020-02-09,TRON,TRX,0.02203,1469244382.69,66682072191
