Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2022-05-15,Tether,USDT,0.9991,75681576735.59,75752120651
2022-05-08,Tether,USDT,0.9999,83205227593.81,83217377095
2022-05-01,Tether,USDT,1.0,83162272400.21,83152877108
2022-04-24,Tether,USDT,1.0,83142781297.01,83114200507
2022-04-17,Tether,USDT,1.0,82744322400.8,82718361450
2022-04-03,Tether,USDT,1.0,82324402977.49,82301930534
2022-03-27,Tether,USDT,1.0,81362292667.84,81331736008
2022-03-20,Tether,USDT,1.0,80781817395.21,80747335458
2022-04-10,Tether,USDT,1.0,82559031739.45,82534930597
2022-03-13,Tether,USDT,1.0,80088619803.15,80072716129
2022-03-06,Tether,USDT,1.0,79732529564.37,79713056448
2022-02-27,Tether,USDT,1.0,79587144285.24,79548056347
2022-02-20,Tether,USDT,1.0,79051748940.72,79019501686
2022-02-13,Tether,USDT,1.0,78458775425.11,78423051214
2022-02-06,Tether,USDT,1.0,77961684799.0,77908751039
2022-01-30,Tether,USDT,1.0,78144090895.92,78117427986
2022-01-23,Tether,USDT,1.0,78350199961.52,78311766178
2021-12-12,Tether,USDT,1.0,76236307022.1,76156304084
2022-01-16,Tether,USDT,1.0,78432253976.7,78399566141
2022-01-02,Tether,USDT,1.0,78373882136.14,78337882507
2021-12-26,Tether,USDT,1.0,78020576206.34,77985581940
2021-12-19,Tether,USDT,1.0,76288982077.53,76289909012
2021-12-05,Tether,USDT,1.0,75159692180.87,75112354134
2021-11-28,Tether,USDT,1.0,73130412909.53,73121243702
2022-01-09,Tether,USDT,1.0,78312801194.12,78292663468
2021-11-21,Tether,USDT,1.0,73185056292.77,73121243702
2021-11-14,Tether,USDT,1.0,73886983972.75,73859886039
2021-11-07,Tether,USDT,1.0,72645304847.62,72535304635
2021-10-17,Tether,USDT,1.0,69062408782.35,69043109914
2021-10-31,Tether,USDT,1.0,70286558907.95,70260109912
2021-10-24,Tether,USDT,1.0,69589618742.78,69574109914
2021-10-10,Tether,USDT,1.0,68474173177.09,68404570064
2021-09-26,Tether,USDT,1.0,68592692453.23,68542995825
2021-09-19,Tether,USDT,1.0,68322670124.26,68292505887
2021-09-12,Tether,USDT,0.9997,68319955757.67,68340615736
2021-09-05,Tether,USDT,1.0,66796325582.43,66778877886
2021-08-29,Tether,USDT,1.0,65569682754.78,65489475281
2021-08-15,Tether,USDT,1.0,63387480053.31,63346734131
2021-10-03,Tether,USDT,1.0,68037739842.11,68024069675
2021-08-08,Tether,USDT,1.0,62215698170.05,62200234131
2021-07-25,Tether,USDT,1.0,61820395074.47,61810332357
2021-07-18,Tether,USDT,1.0,62022722460.76,61984248695
2021-07-04,Tether,USDT,0.9995,62342742987.58,62373875280
2021-08-01,Tether,USDT,1.0,61892139970.2,61871052218
2021-06-27,Tether,USDT,1.0,62565275501.32,62525151502
2021-06-20,Tether,USDT,1.0,62631120301.17,62576335047
2021-05-23,Tether,USDT,1.0,59533859940.62,59434391387
2021-06-13,Tether,USDT,0.9997,62574982573.8,62591701539
2021-06-06,Tether,USDT,1.0,62298516610.6,62246255385
2021-05-30,Tether,USDT,1.0,61742398035.71,61738511498
2021-07-11,Tether,USDT,1.0,62219396885.76,62205422762
2021-05-16,Tether,USDT,1.0,58308356800.72,58309798199
2021-05-09,Tether,USDT,1.0,55539697236.75,55536494298
2021-05-02,Tether,USDT,1.0,51788836339.95,51781989851
2021-04-25,Tether,USDT,0.9999,49961963196.98,49965254439
2021-04-18,Tether,USDT,1.0,48080200312.27,48075190515
2021-04-04,Tether,USDT,1.0,42503862983.73,42359752850
2021-04-11,Tether,USDT,1.0,44521618210.48,44424922421
2021-03-28,Tether,USDT,1.0,40500517196.83,40475941170
2021-02-28,Tether,USDT,1.0,35051423319.75,34977434546
2021-03-21,Tether,USDT,1.0,39706127967.31,39655367576
2021-03-14,Tether,USDT,0.9998,38235568474.54,38243573409
2021-02-07,Tether,USDT,1.0,28640986238.57,28606332458
2021-03-07,Tether,USDT,1.0,36472973681.61,36461381803
2021-02-21,Tether,USDT,1.0,34895372107.19,34883796222
2021-02-14,Tether,USDT,1.0,32031576069.7,32007698002
2021-08-22,Tether,USDT,1.0,64683626346.53,64626834131
2021-01-31,Tether,USDT,1.0,26451988954.48,26430641890
2021-01-24,Tether,USDT,1.0,24852549110.9,24817394865
2021-01-17,Tether,USDT,1.0,24335202163.05,24325132871
