Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2021-01-24,Tezos,XTZ,3.04,2306657465.66,757762398
2021-01-17,Tezos,XTZ,2.97,2244822024.32,757029421
2021-01-10,Tezos,XTZ,2.77,2095911475.58,756305179
2020-12-27,Tezos,XTZ,2.0,1510425125.03,754807229
2020-12-20,Tezos,XTZ,2.27,1708882906.02,754020902
2020-12-13,Tezos,XTZ,2.23,1678033597.08,753232765
2020-12-06,Tezos,XTZ,2.33,1750066452.13,752440114
2020-11-29,Tezos,XTZ,2.36,1774575600.96,751651288
2020-11-22,Tezos,XTZ,2.27,1704073184.46,750875508
2020-11-15,Tezos,XTZ,2.02,1514960761.14,750132742
2020-11-08,Tezos,XTZ,2.09,1564259619.16,749369105
2020-11-01,Tezos,XTZ,1.99,1486194807.34,748580278
2020-10-25,Tezos,XTZ,2.17,1621604983.1,748126477
2020-10-18,Tezos,XTZ,2.3,1722682121.77,748126477
2020-10-11,Tezos,XTZ,2.29,1711562633.63,748126477
2020-10-04,Tezos,XTZ,2.11,1580771088.85,748126477
2020-09-27,Tezos,XTZ,2.23,1664859268.53,748126477
2020-09-20,Tezos,XTZ,2.22,1652940927.21,743862304
2020-09-13,Tezos,XTZ,2.62,1947010277.93,743089290
2020-09-06,Tezos,XTZ,2.57,1904959109.56,742318130
2020-08-30,Tezos,XTZ,3.38,2507624668.31,741546948
2020-08-23,Tezos,XTZ,3.52,2608955404.14,740775957
2020-08-16,Tezos,XTZ,4.24,3136665702.85,739997119
2020-07-26,Tezos,XTZ,2.98,2199951158.84,737658849
2020-07-12,Tezos,XTZ,2.81,2070061599.48,736074111
2020-07-05,Tezos,XTZ,2.28,1679994710.81,735283983
2020-08-02,Tezos,XTZ,2.88,2124910456.29,738447690
2020-08-09,Tezos,XTZ,3.68,2723508485.13,739231006
2020-07-19,Tezos,XTZ,2.98,2192784633.8,736866386
2020-06-28,Tezos,XTZ,2.37,1742583006.64,734494233
2020-06-21,Tezos,XTZ,2.59,1898245315.99,733702388
2020-06-14,Tezos,XTZ,2.6,1904813417.45,732912735
2020-06-07,Tezos,XTZ,2.89,2115782949.69,732123822
2020-05-31,Tezos,XTZ,2.8,1992319654.19,712330570
2020-05-24,Tezos,XTZ,2.67,1900845648.68,711541827
2020-05-17,Tezos,XTZ,2.62,1864777719.31,710744654
2020-05-10,Tezos,XTZ,2.55,1812470793.78,709954095
2020-04-26,Tezos,XTZ,2.77,1958813041.19,708369475
2020-04-19,Tezos,XTZ,2.27,1602764732.35,707574068
2020-04-12,Tezos,XTZ,2.01,1423197304.74,706775994
2020-04-05,Tezos,XTZ,1.67,1177969542.75,705020740
2020-03-29,Tezos,XTZ,1.48,1043564077.34,705020740
2020-03-22,Tezos,XTZ,1.47,1038511561.46,704565511
2020-03-15,Tezos,XTZ,1.54,1086084385.73,703807707
2020-03-08,Tezos,XTZ,2.6,1829363684.2,703076263
2020-05-03,Tezos,XTZ,2.74,1944016243.63,709161521
2020-03-01,Tezos,XTZ,2.62,1842690210.54,702487452
2020-02-23,Tezos,XTZ,3.51,2465440668.52,701730538
2020-02-16,Tezos,XTZ,3.25,2255211170.19,694191974
2020-02-09,Tezos,XTZ,2.64,1835944548.57,694191974
2020-01-19,Tezos,XTZ,1.42,987050589.99,694191974
2020-02-02,Tezos,XTZ,1.91,1326090827.2,694191974
2020-01-12,Tezos,XTZ,1.31,909993423.09,694191974
2020-01-26,Tezos,XTZ,1.52,1057063607.37,694191974
2019-12-29,Tezos,XTZ,1.31,911327053.77,694191974
2019-11-24,Tezos,XTZ,1.34,887731654.43,660373612
2019-12-22,Tezos,XTZ,1.47,1018816410.23,694191974
2019-12-15,Tezos,XTZ,1.68,1108106235.46,660373612
2019-12-08,Tezos,XTZ,1.61,1061776776.18,660373612
2019-12-01,Tezos,XTZ,1.25,828296390.47,660373612
2020-01-05,Tezos,XTZ,1.26,877159746.89,694191974
2019-11-17,Tezos,XTZ,1.16,767707352.92,660373612
2019-10-13,Tezos,XTZ,0.9037,596776442.21,660373612
2019-09-29,Tezos,XTZ,0.8879,586346796.21,660373612
2019-11-10,Tezos,XTZ,1.23,812505003.9,660373612
2019-10-20,Tezos,XTZ,0.8774,579437173.87,660373612
2019-10-06,Tezos,XTZ,0.8769,579113085.98,660373612
2019-09-22,Tezos,XTZ,1.06,696868197.84,660373612
2019-09-15,Tezos,XTZ,1.0,662384863.41,660373612
2019-08-11,Tezos,XTZ,1.38,908558770.69,660373612
