Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2020-12-27,UNUS SED LEO,LEO,1.36,1354911353.37,999498893
2020-12-13,UNUS SED LEO,LEO,1.36,1355210085.8,999498893
2020-11-22,UNUS SED LEO,LEO,1.28,1275054480.7,999498893
2020-11-15,UNUS SED LEO,LEO,1.27,1270549898.4,999498893
2020-11-08,UNUS SED LEO,LEO,1.29,1285288798.4,999498893
2020-11-01,UNUS SED LEO,LEO,1.26,1262119794.87,999498893
2020-10-04,UNUS SED LEO,LEO,1.23,1227783281.14,999498893
2020-09-27,UNUS SED LEO,LEO,1.25,1245905567.63,999498893
2020-09-13,UNUS SED LEO,LEO,1.23,1229205277.44,999498893
2020-09-06,UNUS SED LEO,LEO,1.22,1218954588.53,999498893
2020-08-30,UNUS SED LEO,LEO,1.27,1271889191.31,999498893
2020-08-23,UNUS SED LEO,LEO,1.27,1264542739.11,999498893
2020-08-16,UNUS SED LEO,LEO,1.29,1285043520.34,999498893
2020-07-05,UNUS SED LEO,LEO,1.18,1182857301.31,999498893
2020-08-02,UNUS SED LEO,LEO,1.27,1269855246.81,999498893
2020-07-26,UNUS SED LEO,LEO,1.21,1213178467.48,999498893
2020-07-12,UNUS SED LEO,LEO,1.12,1123337557.48,999498893
2020-08-09,UNUS SED LEO,LEO,1.27,1273668670.4,999498893
2020-07-19,UNUS SED LEO,LEO,1.15,1146251555.18,999498893
2020-06-28,UNUS SED LEO,LEO,1.25,1245083463.74,999498893
2020-06-21,UNUS SED LEO,LEO,1.16,1161844214.9,999498893
2020-06-07,UNUS SED LEO,LEO,1.25,1244833512.33,999498893
2020-06-14,UNUS SED LEO,LEO,1.18,1174742575.22,999498893
2020-05-31,UNUS SED LEO,LEO,1.18,1183375905.96,999498893
2020-05-24,UNUS SED LEO,LEO,1.14,1139876849.81,999498893
2020-05-17,UNUS SED LEO,LEO,1.08,1081119307.39,999498893
2020-05-10,UNUS SED LEO,LEO,1.1,1098607134.61,999498893
2020-04-26,UNUS SED LEO,LEO,1.05,1045888549.62,999498893
2020-04-19,UNUS SED LEO,LEO,1.04,1041370672.75,999498893
2020-04-12,UNUS SED LEO,LEO,1.02,1023562556.81,999498893
2020-04-05,UNUS SED LEO,LEO,1.03,1030817805.1,999498893
2020-03-29,UNUS SED LEO,LEO,1.02,1014821454.27,999498893
2020-03-22,UNUS SED LEO,LEO,1.0,1003519747.15,999498893
2020-03-15,UNUS SED LEO,LEO,0.9029,902431067.97,999498893
2020-03-08,UNUS SED LEO,LEO,0.9921,991604550.48,999498893
2020-05-03,UNUS SED LEO,LEO,1.06,1064018112.69,999498893
2020-03-01,UNUS SED LEO,LEO,0.9566,956124212.55,999498893
2020-02-23,UNUS SED LEO,LEO,0.9475,947016530.33,999498893
2020-01-19,UNUS SED LEO,LEO,0.8737,873246390.97,999498893
2020-02-16,UNUS SED LEO,LEO,0.9679,967450343.27,999498893
2020-02-09,UNUS SED LEO,LEO,0.9654,964961818.37,999498893
2020-02-02,UNUS SED LEO,LEO,0.8876,887179304.23,999498893
2020-01-26,UNUS SED LEO,LEO,0.8978,897302847.02,999498893
2020-01-12,UNUS SED LEO,LEO,0.8707,870268309.37,999498893
2019-12-01,UNUS SED LEO,LEO,0.9205,920004249.02,999498893
2019-11-24,UNUS SED LEO,LEO,0.9362,935760479.05,999498893
2019-12-22,UNUS SED LEO,LEO,0.8755,875067257.55,999498893
2020-01-05,UNUS SED LEO,LEO,0.857,856553225.03,999498893
2019-12-29,UNUS SED LEO,LEO,0.824,823580467.65,999498893
2019-12-15,UNUS SED LEO,LEO,0.8756,875206828.34,999498893
2019-12-08,UNUS SED LEO,LEO,0.9135,913036740.68,999498893
2019-11-17,UNUS SED LEO,LEO,0.9755,975032312.59,999498893
2019-10-13,UNUS SED LEO,LEO,0.9977,997246024.26,999498893
2019-09-29,UNUS SED LEO,LEO,1.05,1045263883.3,999498893
2019-11-10,UNUS SED LEO,LEO,0.9919,991422947.03,999498893
2019-11-03,UNUS SED LEO,LEO,1.0,1004268683.34,999498893
2019-10-27,UNUS SED LEO,LEO,0.9813,980763585.05,999498893
2019-10-20,UNUS SED LEO,LEO,1.02,1020843881.89,999498893
2019-10-06,UNUS SED LEO,LEO,0.9731,972579234.13,999498893
2019-09-22,UNUS SED LEO,LEO,1.08,1081340504.05,999498893
2019-09-15,UNUS SED LEO,LEO,1.07,1068257352.08,999498893
2019-09-01,UNUS SED LEO,LEO,1.15,1148665271.96,999498893
2019-08-25,UNUS SED LEO,LEO,1.18,1175540521.11,999498893
2019-08-18,UNUS SED LEO,LEO,1.31,1314337611.76,999498893
2019-08-11,UNUS SED LEO,LEO,1.31,1308090043.35,999498893
2019-08-04,UNUS SED LEO,LEO,1.32,1317753308.83,999498893
2019-07-28,UNUS SED LEO,LEO,1.28,1281358226.83,999498893
2019-09-08,UNUS SED LEO,LEO,1.07,1069757898.0,999498893
2019-07-21,UNUS SED LEO,LEO,1.28,1282211379.13,999498893
2019-07-14,UNUS SED LEO,LEO,1.41,1406070899.52,999498893
2019-07-07,UNUS SED LEO,LEO,1.7,1699473826.01,999498893
2019-06-30,UNUS SED LEO,LEO,1.76,1756992667.43,999498893
2019-06-23,UNUS SED LEO,LEO,1.88,1878226067.04,999498893
