Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2022-05-15,USD Coin,USDC,1.0,51148192672.29,51138846685
2022-05-08,USD Coin,USDC,1.0,48681199304.73,48676959278
2022-05-01,USD Coin,USDC,1.0,49298296906.65,49279500715
2022-04-24,USD Coin,USDC,1.0,49890528149.94,49892351394
2022-04-17,USD Coin,USDC,0.9993,50008804043.11,50045910866
2022-04-03,USD Coin,USDC,1.0,51633984578.7,51629119959
2022-03-27,USD Coin,USDC,1.0,52083027076.46,52080992407
2022-03-20,USD Coin,USDC,0.9999,53000906379.47,53004490761
2022-04-10,USD Coin,USDC,0.9996,50992961339.02,51012046682
2022-03-13,USD Coin,USDC,1.0,52427364797.89,52429204079
2022-03-06,USD Coin,USDC,0.9999,52838496192.22,52846388125
2022-02-27,USD Coin,USDC,0.9997,53370799001.14,53385655660
2022-02-20,USD Coin,USDC,1.0,52596647717.63,52596483785
2022-02-13,USD Coin,USDC,1.0,52360369755.16,52361250170
2022-02-06,USD Coin,USDC,1.0,51054224335.1,51036025522
2022-01-30,USD Coin,USDC,1.0,49800880429.14,49797637583
2022-01-23,USD Coin,USDC,1.0,47651385218.76,47644490426
2021-12-12,USD Coin,USDC,1.0,41641107198.51,41631177738
2022-01-16,USD Coin,USDC,0.9997,45434277767.95,45448296433
2022-01-02,USD Coin,USDC,0.9998,42562534941.23,42572544666
2021-12-26,USD Coin,USDC,0.9991,42392023711.45,42429875308
2021-12-19,USD Coin,USDC,0.9999,42061885365.57,42066799177
2021-12-05,USD Coin,USDC,0.9987,40884696965.55,40937321254
2021-11-28,USD Coin,USDC,0.9999,38387942291.41,38392743774
2022-01-09,USD Coin,USDC,0.9998,43635467097.34,43642646024
2021-11-21,USD Coin,USDC,1.0,38399613597.76,38390605453
2021-11-14,USD Coin,USDC,0.9996,34412186959.27,34424351584
2021-11-07,USD Coin,USDC,1.0,34343466491.13,34321193884
2021-10-17,USD Coin,USDC,1.0,32706400844.5,32696635999
2021-10-31,USD Coin,USDC,0.9997,33171892682.46,33181046821
2021-10-24,USD Coin,USDC,1.0,32598764545.06,32588712506
2021-10-10,USD Coin,USDC,1.0,33174239300.06,33154427990
2021-09-26,USD Coin,USDC,1.0,31087854743.24,31079938619
2021-09-19,USD Coin,USDC,1.0,29443458704.74,29435964786
2021-09-12,USD Coin,USDC,0.9995,29218183032.74,29233079596
2021-09-05,USD Coin,USDC,0.9996,27797091080.19,27808907632
2021-08-29,USD Coin,USDC,1.0,27229668411.96,27216121456
2021-08-15,USD Coin,USDC,0.9998,27646951090.44,27651125346
2021-10-03,USD Coin,USDC,0.9997,32215973731.74,32226249729
2021-08-08,USD Coin,USDC,0.9996,27689009820.37,27700394050
2021-07-25,USD Coin,USDC,0.9996,27044509769.76,27055677535
2021-07-18,USD Coin,USDC,1.0,26652079403.79,26636799827
2021-07-04,USD Coin,USDC,0.9995,25511718609.01,25524471079
2021-08-01,USD Coin,USDC,1.0,27421062363.65,27416649779
2021-06-27,USD Coin,USDC,1.0,25791977537.2,25776737766
2021-06-20,USD Coin,USDC,1.0,24440364970.14,24416881481
2021-05-23,USD Coin,USDC,1.0,14386222481.21,14380157844
2021-06-13,USD Coin,USDC,0.9996,23641140562.15,23649890102
2021-06-06,USD Coin,USDC,1.0,23003536496.45,22990271580
2021-05-30,USD Coin,USDC,0.9995,22421676957.19,22432927813
