Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2021-12-12,Uniswap,UNI,16.02,10058251272.85,627936759
2022-01-16,Uniswap,UNI,17.81,11169605695.54,627297566
2022-01-02,Uniswap,UNI,18.37,11522501073.32,627270117
2021-12-26,Uniswap,UNI,18.69,11745630155.55,628512669
2021-12-19,Uniswap,UNI,14.96,9391851785.42,627966357
2021-12-05,Uniswap,UNI,16.53,10378935853.19,627917729
2021-11-28,Uniswap,UNI,20.17,12663569952.57,627857379
2022-01-09,Uniswap,UNI,15.81,9914708201.82,627285937
2021-10-17,Uniswap,UNI,25.93,15858166089.38,611643724
2021-10-31,Uniswap,UNI,24.99,15685350733.04,627596089
2021-10-24,Uniswap,UNI,25.84,15803193850.13,611643724
2021-11-21,Uniswap,UNI,21.7,13625356074.96,627857379
2021-11-14,Uniswap,UNI,24.57,15419200243.03,627596089
2021-11-07,Uniswap,UNI,25.35,15908732558.17,627596089
2021-10-10,Uniswap,UNI,24.25,14833791310.82,611643724
2021-09-26,Uniswap,UNI,24.03,14697295899.01,611643724
2021-09-19,Uniswap,UNI,23.92,14633432192.02,611643724
2021-09-12,Uniswap,UNI,23.69,14489119861.25,611643724
2021-09-05,Uniswap,UNI,29.36,17960589699.36,611643724
2021-08-29,Uniswap,UNI,26.81,16399402433.14,611621089
2021-08-15,Uniswap,UNI,30.25,17770939865.8,587427280
2021-10-03,Uniswap,UNI,26.0,15905262491.67,611643724
2021-08-08,Uniswap,UNI,26.72,15696933988.76,587403080
2021-07-25,Uniswap,UNI,18.27,10731069069.25,587351876
2021-07-18,Uniswap,UNI,16.36,9609205603.83,587318148
2021-07-04,Uniswap,UNI,20.77,12198611170.77,587265785
2021-08-01,Uniswap,UNI,22.03,12941271988.56,587376043
2021-06-27,Uniswap,UNI,17.1,9833906939.68,575228023
2021-06-20,Uniswap,UNI,20.81,11967307035.91,575171206
2021-05-23,Uniswap,UNI,16.84,9523322177.02,565641065
2021-06-13,Uniswap,UNI,23.27,13386217335.99,575149653
2021-06-06,Uniswap,UNI,25.91,14639766964.58,564969717
2021-05-30,Uniswap,UNI,25.74,14562759375.83,565708400
2021-07-11,Uniswap,UNI,20.68,12145668777.95,587285243
2021-05-16,Uniswap,UNI,36.56,20459744565.42,559597986
2021-05-02,Uniswap,UNI,42.33,22153449417.44,523384244
2021-04-25,Uniswap,UNI,33.89,17736838127.63,523384244
2021-04-18,Uniswap,UNI,31.75,16615561411.86,523385460
2021-04-04,Uniswap,UNI,31.07,16219657547.08,522110657
2021-05-09,Uniswap,UNI,39.43,20637058034.89,523384244
2021-04-11,Uniswap,UNI,29.98,15689099387.79,523334542
2021-03-28,Uniswap,UNI,27.84,14532441592.39,521996292
2021-02-28,Uniswap,UNI,22.19,6916197524.34,311687012
2021-03-21,Uniswap,UNI,32.68,17057432330.1,521893382
2021-03-14,Uniswap,UNI,30.8,16067786777.55,521748766
2021-03-07,Uniswap,UNI,34.28,17864556536.12,521162962
2021-02-07,Uniswap,UNI,18.69,5623224621.63,300918579
2021-02-21,Uniswap,UNI,28.83,8695407152.51,301612659
2021-02-14,Uniswap,UNI,20.93,6305047039.78,301233344
2021-08-22,Uniswap,UNI,28.43,16699458499.98,587469214
2021-01-31,Uniswap,UNI,17.67,5111402819.63,289330793
2021-01-24,Uniswap,UNI,12.05,3450685058.9,286446900
2021-01-17,Uniswap,UNI,8.66,2402396385.25,277346955
