Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2019-02-03,Waves,WAVES,2.82,281634095.5,100000000
2018-12-23,Waves,WAVES,3.76,376324396.96,100000000
2017-12-10,Waves,WAVES,9.76,976155948.64,100000000
2017-10-22,Waves,WAVES,3.58,358151173.59,100000000
2017-10-01,Waves,WAVES,4.97,497467613.22,100000000
2017-09-17,Waves,WAVES,3.64,364448094.37,100000000
2017-09-10,Waves,WAVES,4.41,440792083.74,100000000
2017-10-15,Waves,WAVES,3.8,380121779.44,100000000
2017-10-08,Waves,WAVES,4.44,444113969.8,100000000
2017-09-24,Waves,WAVES,3.97,396756267.55,100000000
2017-08-20,Waves,WAVES,4.86,486464214.32,100000000
2017-08-13,Waves,WAVES,4.79,478845930.1,100000000
2017-08-06,Waves,WAVES,5.21,520620298.39,100000000
2017-09-03,Waves,WAVES,5.2,519635486.6,100000000
2017-08-27,Waves,WAVES,5.23,522568988.8,100000000
2017-07-30,Waves,WAVES,2.72,271808552.74,100000000
2017-07-23,Waves,WAVES,3.65,364767956.73,100000000
2017-07-09,Waves,WAVES,3.75,374990820.88,100000000
2017-07-02,Waves,WAVES,3.62,362346601.49,100000000
2017-06-25,Waves,WAVES,4.62,462485313.42,100000000
2017-06-18,Waves,WAVES,4.99,498612689.97,100000000
2017-06-11,Waves,WAVES,6.32,632091331.48,100000000
2017-06-04,Waves,WAVES,5.35,534606266.02,100000000
2017-05-28,Waves,WAVES,2.47,246542358.4,100000000
2017-05-21,Waves,WAVES,1.77,176811444.76,100000000
2017-05-14,Waves,WAVES,1.37,137142992.02,100000000
2017-04-23,Waves,WAVES,0.5599,55993574.86,100000000
2017-04-09,Waves,WAVES,0.3928,39276552.2,100000000
2017-03-26,Waves,WAVES,0.3188,31884905.7,100000000
2017-03-12,Waves,WAVES,0.2568,25681787.73,100000000
2017-03-05,Waves,WAVES,0.2288,22879038.75,100000000
2017-03-19,Waves,WAVES,0.2783,27830165.62,100000000
2017-02-19,Waves,WAVES,0.2409,24091626.7,100000000
2017-02-12,Waves,WAVES,0.25,25004494.19,100000000
2017-02-05,Waves,WAVES,0.2245,22453065.22,100000000
2017-01-29,Waves,WAVES,0.2391,23909516.63,100000000
2017-01-22,Waves,WAVES,0.2495,24954265.36,100000000
2017-01-15,Waves,WAVES,0.2373,23728686.57,100000000
2017-01-08,Waves,WAVES,0.2135,21354107.56,100000000
2017-01-01,Waves,WAVES,0.2213,22132165.73,100000000
2016-12-18,Waves,WAVES,0.2285,22850313.78,100000000
2016-12-25,Waves,WAVES,0.2031,20314945.28,100000000
2016-12-11,Waves,WAVES,0.2288,22876805.07,100000000
2017-02-26,Waves,WAVES,0.2159,21589741.11,100000000
2016-12-04,Waves,WAVES,0.2377,23771739.01,100000000
2016-11-27,Waves,WAVES,0.2575,25745123.62,100000000
2016-11-20,Waves,WAVES,0.2773,27726256.85,100000000
2016-11-13,Waves,WAVES,0.3904,39035031.2,100000000
2016-11-06,Waves,WAVES,0.3683,36827874.18,100000000
2016-10-30,Waves,WAVES,0.3537,35374295.71,100000000
2016-10-16,Waves,WAVES,0.2352,23521344.36,100000000
2016-10-09,Waves,WAVES,0.2123,21225909.89,100000000
2016-10-02,Waves,WAVES,0.1966,19662939.01,100000000
2016-09-25,Waves,WAVES,0.1749,17492781.58,100000000
2016-09-18,Waves,WAVES,0.1866,18663212.66,100000000
2016-09-11,Waves,WAVES,0.1608,16084922.85,100000000
2016-08-28,Waves,WAVES,0.1588,15880404.41,100000000
2016-09-04,Waves,WAVES,0.1656,16563907.27,100000000
2016-08-21,Waves,WAVES,0.1744,17442530.39,100000000
2016-10-23,Waves,WAVES,0.3136,31362968.68,100000000
2016-08-14,Waves,WAVES,0.1734,17342951.89,100000000
2016-07-24,Waves,WAVES,0.2022,20216947.79,100000000
2016-07-17,Waves,WAVES,0.197,19703130.42,100000000
2016-08-07,Waves,WAVES,0.1609,16093409.06,100000000
2016-07-31,Waves,WAVES,0.1706,17057451.61,100000000
2016-07-03,Waves,WAVES,0.1928,19279256.46,100000000
2016-06-26,Waves,WAVES,0.166,16597662.87,100000000
2016-07-10,Waves,WAVES,0.2183,21833075.58,100000000
