Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2022-05-15,Wrapped Bitcoin,WBTC,31259.19,8896487183.86,284604
2022-05-08,Wrapped Bitcoin,WBTC,34066.44,9671634941.9,283905
2022-05-01,Wrapped Bitcoin,WBTC,38467.0,10844078932.67,281906
2022-04-24,Wrapped Bitcoin,WBTC,39473.12,11076369018.03,280605
2022-04-17,Wrapped Bitcoin,WBTC,39690.26,11040106656.8,278157
2022-04-03,Wrapped Bitcoin,WBTC,46522.6,12809060678.96,275330
2022-03-27,Wrapped Bitcoin,WBTC,46756.95,12826849672.7,274330
2022-03-20,Wrapped Bitcoin,WBTC,41208.58,11253279811.45,273081
2022-04-10,Wrapped Bitcoin,WBTC,42250.07,11658042047.38,275930
2022-03-13,Wrapped Bitcoin,WBTC,37860.71,10329317576.22,272824
2022-03-06,Wrapped Bitcoin,WBTC,38386.76,10233030241.56,266577
2022-02-27,Wrapped Bitcoin,WBTC,37685.96,9902445896.69,262762
2022-02-20,Wrapped Bitcoin,WBTC,38448.36,10106626968.54,262862
2022-02-13,Wrapped Bitcoin,WBTC,42211.69,11055847796.73,261914
2022-02-06,Wrapped Bitcoin,WBTC,42249.07,11067758773.96,261965
2022-01-30,Wrapped Bitcoin,WBTC,37961.94,10297443985.3,271257
2022-01-23,Wrapped Bitcoin,WBTC,36278.64,9815456850.84,270557
2021-12-12,Wrapped Bitcoin,WBTC,49638.46,12746647491.77,256790
2022-01-16,Wrapped Bitcoin,WBTC,43166.19,11520225391.6,266881
2022-01-02,Wrapped Bitcoin,WBTC,47344.51,12221555860.5,258141
2021-12-26,Wrapped Bitcoin,WBTC,50703.69,13129214895.89,258940
2021-12-19,Wrapped Bitcoin,WBTC,46596.29,12065643113.01,258940
2021-12-05,Wrapped Bitcoin,WBTC,49009.36,12585100920.42,256790
2021-11-28,Wrapped Bitcoin,WBTC,56022.03,14183450977.94,253176
2022-01-09,Wrapped Bitcoin,WBTC,42006.22,11200154678.05,266631
2021-10-31,Wrapped Bitcoin,WBTC,61380.59,14041557835.31,228762
2021-11-21,Wrapped Bitcoin,WBTC,58316.12,14781744990.69,253476
