Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2014-06-22,XRP,XRP,0.004187,32729685.56,7817889792
2014-05-25,XRP,XRP,0.003646,28500220.49,7817889792
2014-06-29,XRP,XRP,0.004013,31372373.06,7817889792
2014-06-08,XRP,XRP,0.003974,31071544.93,7817889792
2014-05-11,XRP,XRP,0.005754,44981568.0,7817889792
2014-06-15,XRP,XRP,0.004197,32813860.94,7817889792
2014-05-18,XRP,XRP,0.006004,46938108.57,7817889792
2014-05-04,XRP,XRP,0.005024,39279332.33,7817889792
2014-04-27,XRP,XRP,0.004859,37983602.34,7817889792
2014-03-23,XRP,XRP,0.01265,98902421.35,7817889792
2014-04-20,XRP,XRP,0.006214,48577872.02,7817889792
2014-04-13,XRP,XRP,0.005987,46807007.29,7817889792
2014-04-06,XRP,XRP,0.008247,64471699.28,7817889792
2014-03-30,XRP,XRP,0.009653,75463492.11,7817889792
2014-06-01,XRP,XRP,0.004092,31988958.98,7817889792
2022-05-15,XRP,XRP,0.4474,21627310018.45,48343101197
2022-05-08,XRP,XRP,0.5665,27387673911.86,48343101197
2022-05-01,XRP,XRP,0.6078,29240494806.07,48105234849
2022-04-24,XRP,XRP,0.6987,33613015003.12,48105234849
2022-04-17,XRP,XRP,0.7532,36253212424.26,48135209660
2022-04-03,XRP,XRP,0.843,40575582678.21,48135209660
2022-03-27,XRP,XRP,0.8573,41256704402.49,48121609012
2022-03-20,XRP,XRP,0.8061,38791824340.83,48121609012
2022-04-10,XRP,XRP,0.7566,36419765609.95,48135209660
2022-03-13,XRP,XRP,0.7614,36579969142.85,48046106688
2022-03-06,XRP,XRP,0.726,34810891621.79,47949281138
2022-02-27,XRP,XRP,0.722,34619021225.69,47949281138
2022-02-20,XRP,XRP,0.7783,37318724162.96,47949281138
2022-02-13,XRP,XRP,0.8103,38757348317.38,47832461678
2022-02-06,XRP,XRP,0.6836,32700536071.05,47832461678
2022-01-30,XRP,XRP,0.6032,28793982069.82,47736918345
2022-01-23,XRP,XRP,0.6288,30014890499.04,47736918345
2021-12-12,XRP,XRP,0.8413,39750263455.56,47247295769
2022-01-16,XRP,XRP,0.779,37127364883.23,47663117635
2022-01-02,XRP,XRP,0.8591,40838984413.81,47535964473
2021-12-26,XRP,XRP,0.9212,43789189735.81,47535964473
2021-12-19,XRP,XRP,0.835,39453059810.78,47247295769
2021-12-05,XRP,XRP,0.8056,38062181528.71,47247295769
2021-11-28,XRP,XRP,0.9688,45685317112.37,47158974920
2022-01-09,XRP,XRP,0.7545,35897214432.04,47577198013
2021-11-21,XRP,XRP,1.06,49996674605.71,47158974920
2021-11-14,XRP,XRP,1.19,56053003302.56,47158974920
2021-11-07,XRP,XRP,1.22,57323540669.26,47081679946
2021-10-17,XRP,XRP,1.09,51259722973.64,46878114887
2021-10-31,XRP,XRP,1.11,52339587880.1,47015237181
2021-10-24,XRP,XRP,1.08,50903113917.35,46946349017
2021-10-10,XRP,XRP,1.14,53286170975.51,46805773456
2021-09-26,XRP,XRP,0.9447,44135149070.75,46717640571
2021-09-19,XRP,XRP,1.05,48880060223.91,46622239005
2021-09-12,XRP,XRP,1.12,52158563410.69,46585282244
2021-09-05,XRP,XRP,1.31,60760906594.85,46542338341
2021-08-29,XRP,XRP,1.14,53064210217.42,46513604835
2021-08-15,XRP,XRP,1.29,59793290470.88,46417606117
2021-10-03,XRP,XRP,1.06,49329658369.86,46750439262
2021-08-08,XRP,XRP,0.7787,36147218021.42,46417606117
2021-07-25,XRP,XRP,0.6064,28053282512.19,46265302471
2021-07-18,XRP,XRP,0.5879,27171802324.92,46216687135
2021-07-04,XRP,XRP,0.6949,32069596319.39,46146927647
2021-08-01,XRP,XRP,0.7259,33619230716.93,46312443360
2021-06-27,XRP,XRP,0.6469,29916626946.07,46244517593
2021-06-20,XRP,XRP,0.7764,35873098743.8,46205772880
2021-05-23,XRP,XRP,0.797,36770599361.44,46135372183
2021-06-13,XRP,XRP,0.8832,40792805237.04,46189574356
2021-06-06,XRP,XRP,0.9453,43625920334.92,46151013329
2021-05-30,XRP,XRP,0.9066,41834196844.25,46143602688
2021-07-11,XRP,XRP,0.6359,29362251755.44,46171815477
2021-05-16,XRP,XRP,1.45,50998556787.34,35108326973
2021-05-09,XRP,XRP,1.54,53901564261.5,35108326973
2021-05-02,XRP,XRP,1.56,70950198082.14,45404028640
2021-04-25,XRP,XRP,1.03,46868572792.79,45404028640
2021-04-18,XRP,XRP,1.41,63837977820.22,45404028640
2021-04-04,XRP,XRP,0.6467,29364108460.54,45404028640
2021-04-11,XRP,XRP,1.36,61773544985.42,45404028640
2021-03-28,XRP,XRP,0.5508,25006533341.53,45404028640
2021-02-28,XRP,XRP,0.415,18840545903.33,45404028640
2021-03-21,XRP,XRP,0.5198,23602621698.97,45404028640
2021-03-14,XRP,XRP,0.4421,20073643665.36,45404028640
2021-02-07,XRP,XRP,0.418,18976956806.59,45404028640
2021-03-07,XRP,XRP,0.4669,21197655054.81,45404028640
2021-02-21,XRP,XRP,0.5486,24906840533.95,45404028640
2021-02-14,XRP,XRP,0.5942,26978760718.16,45404028640
2021-08-22,XRP,XRP,1.23,57054490733.29,46471846087
2021-01-31,XRP,XRP,0.4923,22353042408.26,45404028640
2021-01-24,XRP,XRP,0.2735,12418387933.0,45404028640
2021-01-17,XRP,XRP,0.2774,12594335138.24,45404028640
2021-01-10,XRP,XRP,0.3183,14453755388.35,45404028640
2021-01-03,XRP,XRP,0.2258,10254417776.8,45404028640
2020-12-27,XRP,XRP,0.283,12851124973.13,45404028640
2020-12-20,XRP,XRP,0.5561,25247252304.51,45404028640
2020-12-13,XRP,XRP,0.5115,23222510728.94,45404028640
2020-12-06,XRP,XRP,0.6199,28100510377.08,45334295892
2020-11-29,XRP,XRP,0.6062,27492190917.68,45348221180
2020-11-22,XRP,XRP,0.4437,20112122023.93,45328155123
2020-11-15,XRP,XRP,0.2696,12222354606.18,45328155123
2020-11-08,XRP,XRP,0.2539,11506594736.95,45312488850
2020-11-01,XRP,XRP,0.2398,10859147268.26,45284665028
2020-10-25,XRP,XRP,0.2532,11461969663.84,45266091298
2020-10-18,XRP,XRP,0.2422,10964559015.79,45266091298
2020-10-11,XRP,XRP,0.2557,11575382196.77,45266091298
2020-10-04,XRP,XRP,0.2477,11211741545.35,45266091298
2020-09-27,XRP,XRP,0.2428,10988563554.28,45266091298
2020-09-20,XRP,XRP,0.2467,11113896108.36,45042338912
2020-09-13,XRP,XRP,0.2418,10883759100.85,45011240343
2020-09-06,XRP,XRP,0.2407,10835602512.3,45011240343
2020-08-30,XRP,XRP,0.283,12735064439.16,44994863318
2020-08-23,XRP,XRP,0.2854,12826002016.17,44942589751
2020-08-16,XRP,XRP,0.3035,13632465821.46,44918719274
2020-08-02,XRP,XRP,0.2871,12878374454.02,44862646997
2020-07-26,XRP,XRP,0.215,9641671805.39,44848773395
2020-07-12,XRP,XRP,0.2005,8875371016.55,44257803618
2020-07-05,XRP,XRP,0.177,7834382404.72,44257803618
2020-08-09,XRP,XRP,0.2887,12949750916.51,44862646997
2020-07-19,XRP,XRP,0.1991,8813276312.8,44257803618
2020-06-28,XRP,XRP,0.1777,7864270564.43,44257803618
2020-06-21,XRP,XRP,0.1856,8214686194.62,44257803618
2020-06-14,XRP,XRP,0.1916,8452767513.64,44112853111
2020-06-07,XRP,XRP,0.2034,8974728442.39,44112853111
2020-05-31,XRP,XRP,0.2029,8950742760.18,44112853111
2020-05-24,XRP,XRP,0.1954,8621039124.77,44112853111
2020-05-17,XRP,XRP,0.2013,8877940577.66,44112853111
2020-05-10,XRP,XRP,0.1982,8742104205.96,44112853111
2020-04-26,XRP,XRP,0.1968,8677070504.04,44089620959
2020-04-19,XRP,XRP,0.1909,8414904360.5,44089620959
2020-04-12,XRP,XRP,0.1901,8361929949.12,43978966311
2020-04-05,XRP,XRP,0.1794,7882313124.22,43935664307
2020-03-29,XRP,XRP,0.1638,7193114648.24,43906191900
2020-03-22,XRP,XRP,0.1502,6585765148.81,43842625397
2020-03-15,XRP,XRP,0.1539,6743672546.94,43818008717
2020-03-08,XRP,XRP,0.2069,9066135755.42,43818008717
2020-05-03,XRP,XRP,0.2194,9678990068.2,44112853111
2020-03-01,XRP,XRP,0.2288,10018780809.13,43779512655
2020-02-23,XRP,XRP,0.2827,12368433149.4,43749413421
2020-01-19,XRP,XRP,0.2356,10284187005.37,43653776034
2020-02-16,XRP,XRP,0.295,12895529009.82,43708646822
2020-02-09,XRP,XRP,0.2825,12342888603.98,43698224662
2020-02-02,XRP,XRP,0.2507,10953472897.59,43685558183
2020-01-26,XRP,XRP,0.2307,10075423154.95,43675903665
2020-01-12,XRP,XRP,0.2156,9351208273.31,43366238611
2019-12-01,XRP,XRP,0.2253,9756884340.97,43299885509
2020-01-05,XRP,XRP,0.1955,8474172239.53,43337903409
2019-12-29,XRP,XRP,0.1971,8536136120.35,43319477613
2019-11-24,XRP,XRP,0.2232,9663857830.99,43299885509
2019-12-22,XRP,XRP,0.197,8532972545.85,43319477613
2019-12-15,XRP,XRP,0.2186,9467680409.95,43310265523
2019-12-08,XRP,XRP,0.2304,9974529031.25,43285660917
2019-11-17,XRP,XRP,0.2653,11485052604.3,43298481757
2019-10-13,XRP,XRP,0.2778,11990204702.59,43166787298
2019-09-29,XRP,XRP,0.2414,10399003153.25,43080011224
2019-11-10,XRP,XRP,0.2802,12132388502.12,43298481757
2019-11-03,XRP,XRP,0.2913,12596463117.22,43248091671
2019-10-27,XRP,XRP,0.2981,12892254870.9,43248091671
2019-10-20,XRP,XRP,0.2942,12721101190.4,43242653330
2019-10-06,XRP,XRP,0.2577,11112666133.08,43121735112
2019-09-22,XRP,XRP,0.2789,12009356967.93,43055012634
2019-09-15,XRP,XRP,0.2616,11256389684.49,43024433511
2019-09-01,XRP,XRP,0.2581,11092364971.53,42984656144
2019-08-25,XRP,XRP,0.2701,11589356109.38,42909539227
2019-08-18,XRP,XRP,0.2826,12122901988.39,42890708341
2019-08-11,XRP,XRP,0.3019,12943909473.68,42872646068
2019-08-04,XRP,XRP,0.3198,13712472284.6,42872646068
2019-07-28,XRP,XRP,0.3123,13376153627.09,42832704971
2019-07-21,XRP,XRP,0.3313,14190843703.79,42832704971
2019-09-08,XRP,XRP,0.2631,11308589244.51,42984656144
2019-07-14,XRP,XRP,0.3064,13043521741.91,42566596173
2019-07-07,XRP,XRP,0.397,16900947895.06,42566596173
2019-06-30,XRP,XRP,0.3964,16873846275.02,42566596173
2019-06-23,XRP,XRP,0.4683,19903281582.06,42501950124
2019-06-09,XRP,XRP,0.3883,16399949893.4,42238947941
2019-06-02,XRP,XRP,0.4448,18761924960.17,42181995112
2019-05-26,XRP,XRP,0.4084,17200982209.75,42116677673
2019-05-19,XRP,XRP,0.4177,17599092589.2,42133310721
2019-05-12,XRP,XRP,0.3101,13064438400.02,42133310721
2019-05-05,XRP,XRP,0.3023,12724692457.41,42087046846
2019-04-28,XRP,XRP,0.2974,12493351058.33,42004966728
2019-06-16,XRP,XRP,0.4275,18170284661.1,42501950124
2019-04-21,XRP,XRP,0.3224,13533407429.74,41970748057
2019-04-14,XRP,XRP,0.3288,13741639598.82,41792108527
2019-04-07,XRP,XRP,0.3599,15021731304.72,41743765071
2019-03-31,XRP,XRP,0.3092,12896872921.66,41706564590
2019-03-24,XRP,XRP,0.309,12874448651.72,41666017553
2019-03-17,XRP,XRP,0.3176,13159356178.0,41432141931
2019-03-10,XRP,XRP,0.3131,12972692491.35,41432141931
2019-02-17,XRP,XRP,0.3034,12501307769.46,41208093050
2019-03-03,XRP,XRP,0.3126,12949767220.58,41432141931
2019-02-10,XRP,XRP,0.3099,12758715489.78,41169202069
2019-02-24,XRP,XRP,0.3014,12469397084.6,41365634610
2019-02-03,XRP,XRP,0.3024,12445862136.99,41163466448
2019-01-27,XRP,XRP,0.3094,12737591538.84,41163466448
2019-01-20,XRP,XRP,0.3212,13181215053.67,41040405095
2019-01-13,XRP,XRP,0.3179,13045216854.28,41040405095
2019-01-06,XRP,XRP,0.3684,15028369642.24,40794121066
2018-12-30,XRP,XRP,0.3696,15076740856.33,40794121066
2018-12-16,XRP,XRP,0.2879,11784050728.6,40926963305
2018-12-09,XRP,XRP,0.3134,12825284623.71,40926963305
2018-12-02,XRP,XRP,0.3676,14825428857.61,40327341704
2018-11-25,XRP,XRP,0.3746,15104629871.82,40327341704
2018-11-18,XRP,XRP,0.5105,20557660380.97,40271748947
2018-11-11,XRP,XRP,0.5059,20340485946.75,40205508733
2018-11-04,XRP,XRP,0.4627,18602749467.8,40205513967
2018-12-23,XRP,XRP,0.3713,15145652798.47,40794121066
2018-10-28,XRP,XRP,0.4624,18591272469.01,40205513967
2018-10-21,XRP,XRP,0.4567,18266671575.92,39997634397
2018-10-14,XRP,XRP,0.4033,16130498306.71,39997634397
2018-10-07,XRP,XRP,0.482,19250423140.09,39935410492
2018-09-30,XRP,XRP,0.5816,23187793631.07,39870907279
2018-09-23,XRP,XRP,0.5707,22718615346.01,39809069106
2018-09-16,XRP,XRP,0.2812,11192950284.81,39809069106
2018-09-09,XRP,XRP,0.2787,11049706905.39,39650153121
2018-09-02,XRP,XRP,0.3425,13581073194.53,39650153121
2018-08-26,XRP,XRP,0.3238,12797080608.96,39524508956
2018-07-29,XRP,XRP,0.4533,17822034801.11,39315683476
2018-07-22,XRP,XRP,0.4493,17664968593.88,39315683476
2018-07-15,XRP,XRP,0.4459,17506888639.07,39262444717
2018-07-08,XRP,XRP,0.4777,18757593310.79,39262444717
2018-08-19,XRP,XRP,0.344,13543257516.41,39372399467
2018-08-05,XRP,XRP,0.4336,17041936839.31,39299874590
2018-06-24,XRP,XRP,0.4774,18734914484.45,39245304677
2018-06-17,XRP,XRP,0.5282,20730009722.84,39245304677
2018-06-10,XRP,XRP,0.5881,23080617114.82,39244312603
2018-06-03,XRP,XRP,0.6712,26339121770.19,39241525848
2018-05-27,XRP,XRP,0.6079,23822837458.48,39189968239
2018-08-12,XRP,XRP,0.2979,11706265754.8,39299874590
2018-05-20,XRP,XRP,0.7002,27442552171.17,39189968239
2018-05-13,XRP,XRP,0.7457,29225830442.31,39189968239
2018-05-06,XRP,XRP,0.8714,34140866995.4,39178259468
2018-04-29,XRP,XRP,0.8728,34165954381.7,39146203398
2018-04-22,XRP,XRP,0.87,34036649920.49,39122794968
2018-04-15,XRP,XRP,0.6825,26702639267.28,39122794968
2018-04-08,XRP,XRP,0.5004,19562828478.01,39094520623
2018-04-01,XRP,XRP,0.4851,18964013318.93,39094520623
2018-07-01,XRP,XRP,0.4614,18113883122.32,39262097329
2018-03-25,XRP,XRP,0.6419,25093610596.24,39094227299
2018-03-18,XRP,XRP,0.6588,25752735323.64,39091716516
2018-03-11,XRP,XRP,0.8311,32490170523.91,39091956706
2018-03-04,XRP,XRP,1.01,39308508026.1,39091956706
2018-02-25,XRP,XRP,0.9435,36885425536.71,39094802192
2018-02-18,XRP,XRP,1.12,43708327734.8,39009215838
2018-02-04,XRP,XRP,0.8157,31819952004.57,39009215838
2018-01-28,XRP,XRP,1.4,54219480887.89,38739142811
2018-01-21,XRP,XRP,1.38,53461573182.6,38739142811
2018-01-14,XRP,XRP,1.86,72101005311.81,38739142811
2018-01-07,XRP,XRP,3.38,130853590978.56,38739144847
2017-12-31,XRP,XRP,2.3,89121967114.06,38739144847
