Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2016-05-29,YbCoin,YBC,2.45,7367754.52,3009419
2016-05-22,YbCoin,YBC,2.2,6612205.28,3008229
2016-05-01,YbCoin,YBC,2.56,7690800.2,3007018
2016-05-15,YbCoin,YBC,2.23,6717090.53,3008182
2016-05-08,YbCoin,YBC,2.25,6780216.05,3008115
2016-03-13,YbCoin,YBC,1.84,5519198.21,3006662
2016-02-21,YbCoin,YBC,2.33,7011822.99,3006647
2016-03-06,YbCoin,YBC,1.81,5438432.71,3006660
2016-02-14,YbCoin,YBC,2.43,7307346.94,3006616
2016-02-07,YbCoin,YBC,2.4,7226621.9,3006613
2016-02-28,YbCoin,YBC,2.11,6340097.0,3006656
2016-01-31,YbCoin,YBC,1.77,5328826.64,3006607
2016-01-24,YbCoin,YBC,2.47,7423599.37,3006598
2016-01-17,YbCoin,YBC,1.96,5900571.18,3006578
2016-01-10,YbCoin,YBC,0.7812,2348433.38,3006009
2016-01-03,YbCoin,YBC,0.6331,1903017.13,3005916
2015-12-06,YbCoin,YBC,0.6383,1918611.89,3005814
2015-11-29,YbCoin,YBC,0.6579,1977550.04,3005813
2015-11-22,YbCoin,YBC,0.6776,2032859.27,3000000
2015-11-15,YbCoin,YBC,0.6396,1918903.47,3000000
2015-11-08,YbCoin,YBC,0.7078,2123533.31,3000000
2015-11-01,YbCoin,YBC,0.7094,2128245.06,3000000
2015-10-25,YbCoin,YBC,0.6113,1833871.01,3000000
2015-10-18,YbCoin,YBC,0.5657,1697019.52,3000000
2015-10-11,YbCoin,YBC,0.5545,1663611.53,3000000
2015-10-04,YbCoin,YBC,0.5884,1765125.81,3000000
2015-09-27,YbCoin,YBC,0.568,1703854.86,3000000
2015-09-20,YbCoin,YBC,0.6191,1857159.91,3000000
2015-07-26,YbCoin,YBC,0.9393,2817868.17,3000000
2015-08-23,YbCoin,YBC,0.7655,2296362.34,3000000
2015-09-13,YbCoin,YBC,0.5944,1783091.25,3000000
2015-09-06,YbCoin,YBC,0.6445,1933471.44,3000000
2015-08-30,YbCoin,YBC,0.6585,1975448.73,3000000
2015-08-16,YbCoin,YBC,0.8162,2448501.53,3000000
2015-08-09,YbCoin,YBC,0.9152,2745739.28,3000000
2015-08-02,YbCoin,YBC,0.8884,2665276.59,3000000
2015-06-28,YbCoin,YBC,1.0,3009405.97,3000000
2015-07-19,YbCoin,YBC,0.9069,2720694.07,3000000
2015-07-12,YbCoin,YBC,1.08,3238283.87,3000000
2015-07-05,YbCoin,YBC,1.01,3020601.51,3000000
2015-06-07,YbCoin,YBC,0.8748,2624436.02,3000000
2015-06-14,YbCoin,YBC,0.9164,2749138.18,3000000
2015-05-24,YbCoin,YBC,0.9413,2823865.06,3000000
2015-05-17,YbCoin,YBC,0.9239,2771822.51,3000000
2015-05-31,YbCoin,YBC,0.9762,2928705.63,3000000
2015-06-21,YbCoin,YBC,1.05,3161465.76,3000000
2015-05-10,YbCoin,YBC,0.9318,2795488.18,3000000
2015-05-03,YbCoin,YBC,0.9518,2855468.45,3000000
2015-04-26,YbCoin,YBC,0.9759,2927799.22,3000000
2015-04-19,YbCoin,YBC,1.01,3039521.81,3000000
2015-04-12,YbCoin,YBC,1.02,3051723.36,3000000
2015-04-05,YbCoin,YBC,1.16,3466204.4,3000000
2015-03-08,YbCoin,YBC,0.9132,2739582.36,3000000
2015-03-22,YbCoin,YBC,0.9307,2792240.92,3000000
2015-03-15,YbCoin,YBC,0.9258,2777541.16,3000000
2015-02-22,YbCoin,YBC,0.8894,2668308.38,3000000
2015-02-15,YbCoin,YBC,0.9257,2777092.52,3000000
2015-02-08,YbCoin,YBC,1.06,3171787.26,3000000
2015-03-01,YbCoin,YBC,0.9197,2758976.7,3000000
2015-01-25,YbCoin,YBC,1.15,3451597.09,3000000
2015-02-01,YbCoin,YBC,0.962,2885873.79,3000000
2015-03-29,YbCoin,YBC,0.9929,2978842.38,3000000
2014-12-21,YbCoin,YBC,0.9116,2734655.68,3000000
2015-01-11,YbCoin,YBC,0.9633,2889983.83,3000000
2015-01-04,YbCoin,YBC,0.8921,2676393.45,3000000
2014-12-28,YbCoin,YBC,1.11,3343699.69,3000000
2014-12-14,YbCoin,YBC,0.8902,2670654.42,3000000
2014-11-23,YbCoin,YBC,0.8547,1989031.81,2327300
2015-01-18,YbCoin,YBC,0.9753,2925775.95,3000000
2014-02-09,YbCoin,YBC,3.41,3501581.55,1025440
2014-01-26,YbCoin,YBC,4.06,3903549.55,961440
