Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2019-02-17,Zcash,ZEC,51.98,307575942.4,5917006
2019-03-03,Zcash,ZEC,51.06,307232239.74,6017444
2019-02-10,Zcash,ZEC,50.89,298581547.06,5866881
2019-01-06,Zcash,ZEC,61.62,346091701.27,5616144
2018-12-30,Zcash,ZEC,59.66,332048193.21,5566044
2018-12-16,Zcash,ZEC,51.41,280970055.23,5465531
2018-12-09,Zcash,ZEC,61.09,330811401.47,5415306
2018-12-02,Zcash,ZEC,79.16,424699693.45,5365256
2018-11-25,Zcash,ZEC,70.28,373542073.49,5315094
2018-11-18,Zcash,ZEC,113.03,595094404.36,5264994
2018-11-11,Zcash,ZEC,129.34,674479716.5,5214819
2018-11-04,Zcash,ZEC,120.46,622103808.53,5164569
2018-12-23,Zcash,ZEC,64.99,358483164.28,5515744
2018-10-28,Zcash,ZEC,123.42,631216608.6,5114519
2018-10-21,Zcash,ZEC,125.24,634161030.38,5063569
2018-09-02,Zcash,ZEC,155.68,733690967.35,4712894
2018-08-26,Zcash,ZEC,136.33,635656448.92,4662656
2018-07-29,Zcash,ZEC,217.2,969156662.99,4462006
2018-08-19,Zcash,ZEC,143.98,664093548.55,4612456
2018-08-05,Zcash,ZEC,181.33,818211146.59,4512269
2018-08-12,Zcash,ZEC,157.79,719915371.5,4562419
2017-11-26,Zcash,ZEC,340.14,920840987.82,2707206
2017-11-19,Zcash,ZEC,299.33,795318934.11,2656969
2017-12-03,Zcash,ZEC,322.81,890061728.94,2757231
2017-11-12,Zcash,ZEC,288.67,752552800.66,2606956
2017-11-05,Zcash,ZEC,225.35,576194461.33,2556831
2017-10-29,Zcash,ZEC,234.33,587365419.84,2506619
2017-10-22,Zcash,ZEC,213.73,525067417.2,2456644
2017-09-10,Zcash,ZEC,212.91,458994578.92,2155856
2017-10-01,Zcash,ZEC,263.94,608739278.25,2306319
2017-09-24,Zcash,ZEC,205.63,463917366.97,2256131
2017-09-17,Zcash,ZEC,174.18,384207577.14,2205856
2017-10-15,Zcash,ZEC,232.63,559821351.67,2406531
2017-10-08,Zcash,ZEC,241.06,568052515.78,2356519
2017-08-06,Zcash,ZEC,206.3,393000390.85,1904994
2017-09-03,Zcash,ZEC,260.09,547669313.22,2105719
2017-07-23,Zcash,ZEC,214.42,386960943.55,1804694
2017-08-27,Zcash,ZEC,273.37,561929811.93,2055594
2017-08-20,Zcash,ZEC,241.07,483462666.48,2005456
2017-08-13,Zcash,ZEC,214.3,419021176.34,1955256
2017-07-16,Zcash,ZEC,165.98,291212953.2,1754519
2017-07-30,Zcash,ZEC,175.42,325351631.9,1854731
2017-07-09,Zcash,ZEC,241.43,411482403.73,1704344
2017-07-02,Zcash,ZEC,301.88,468653574.53,1552444
2017-06-25,Zcash,ZEC,330.04,512366179.67,1552444
2017-06-18,Zcash,ZEC,376.82,584999445.54,1552444
2017-05-28,Zcash,ZEC,196.32,275469705.63,1403181
2017-06-11,Zcash,ZEC,331.1,497822473.0,1503544
2017-06-04,Zcash,ZEC,239.52,348108361.18,1453381
2017-04-23,Zcash,ZEC,66.34,76417404.64,1151981
2017-04-16,Zcash,ZEC,71.5,78788785.31,1101906
2017-04-09,Zcash,ZEC,62.55,65783830.51,1051744
2017-05-14,Zcash,ZEC,96.7,125974894.46,1302694
2017-04-02,Zcash,ZEC,63.73,63812242.96,1001356
2017-03-26,Zcash,ZEC,59.93,57012540.24,951319
2017-05-07,Zcash,ZEC,103.83,130037433.81,1252444
2017-04-30,Zcash,ZEC,93.2,112048489.7,1202206
2017-03-19,Zcash,ZEC,69.89,62974802.19,901106
2017-03-12,Zcash,ZEC,40.16,34167751.1,850894
2017-03-05,Zcash,ZEC,39.44,31578698.16,800731
2017-02-19,Zcash,ZEC,30.58,21419629.02,700481
2017-02-12,Zcash,ZEC,31.61,20555554.43,650281
2017-02-05,Zcash,ZEC,38.16,22907739.23,600269
2017-01-29,Zcash,ZEC,38.67,21272583.11,550156
2017-01-22,Zcash,ZEC,43.31,21659241.36,500119
2017-01-15,Zcash,ZEC,45.15,20309414.67,449844
2017-01-08,Zcash,ZEC,46.11,18438535.36,399881
2017-01-01,Zcash,ZEC,48.47,16958473.74,349869
2016-12-25,Zcash,ZEC,45.85,13741401.91,299706
2017-02-26,Zcash,ZEC,29.45,22108230.44,750669
